Cancer Type,Adrenal Gland,Biliary tract,Bladder/UT,Bone,Bowel,Breast,CNS/Brain,Distant LN,Female Genital,Head and Neck,Intra-Abdominal,Kidney,Liver,Lung,Male Genital,Mediastinum,Ovary,Pleura,PNS,Skin,Unspecified
Anal Cancer,1,4,7,15,15,0,6,35,13,0,17,1,37,34,11,3,0,7,1,5,44
Appendiceal Cancer,6,68,40,17,123,0,2,18,63,1,167,3,89,25,5,1,63,17,1,13,168
Bladder Cancer,43,31,317,249,80,6,47,385,39,6,153,83,196,242,124,12,9,48,41,22,763
Breast Cancer,111,106,50,1277,76,171,435,872,94,20,256,49,945,609,1,80,99,376,284,409,1323
Cervical Cancer,3,3,23,15,21,0,5,49,49,1,26,5,26,29,0,5,7,10,6,2,64
Colorectal Cancer,182,273,226,504,611,12,165,681,276,19,1271,64,2026,1410,136,27,239,212,150,94,2620
Endometrial Cancer,39,85,162,142,237,6,53,397,502,4,472,24,282,260,0,8,166,89,30,34,714
Esophagogastric Cancer,86,183,30,199,82,4,65,185,27,16,358,16,347,192,10,23,46,77,48,24,513
Gastrointestinal Neuroendocrine Tumor,0,3,3,23,8,2,1,13,2,0,41,0,94,9,0,0,2,2,1,5,105
Gastrointestinal Stromal Tumor,4,39,14,22,53,0,4,15,13,1,120,4,149,21,6,4,7,15,5,4,147
Germ Cell Tumor,16,17,16,42,14,0,39,260,0,2,106,26,68,144,61,24,0,32,8,8,214
Head and Neck Cancer,20,25,2,179,9,1,43,153,0,84,24,17,63,199,4,24,0,72,43,51,336
Hepatobiliary Cancer,59,149,7,174,76,5,22,102,16,0,300,15,502,248,1,8,20,40,34,17,554
Melanoma,104,158,19,267,120,16,265,84,23,23,189,60,349,460,11,26,7,82,107,244,627
Mesothelioma,9,10,1,38,3,0,8,44,1,1,28,2,32,99,1,33,0,70,7,2,155
Non-Small Cell Lung Cancer,564,231,41,1787,75,29,1230,761,35,74,300,135,876,1905,13,408,13,1618,535,101,2420
Ovarian Cancer,68,466,419,124,773,31,55,416,793,6,1013,74,636,202,0,28,226,225,23,112,991
Pancreatic Cancer,138,486,24,259,458,7,24,246,46,1,740,52,1216,452,6,8,43,88,39,26,1472
Prostate Cancer,71,22,325,1139,107,7,121,752,0,9,152,16,272,247,487,12,0,54,293,20,1246
Renal Cell Carcinoma,109,76,5,155,31,2,74,193,5,7,90,60,107,257,4,15,1,80,56,17,273
Salivary Gland Cancer,8,13,1,85,1,1,29,46,0,21,9,15,53,113,0,8,0,59,33,18,104
"Skin Cancer, Non-Melanoma",2,0,0,12,1,1,6,0,0,6,1,2,5,17,0,2,0,4,4,16,38
Small Bowel Cancer,3,25,5,10,32,1,2,17,4,0,50,2,49,25,5,1,7,6,3,4,62
Small Cell Lung Cancer,59,39,1,137,4,1,115,65,2,10,25,13,121,91,2,60,0,76,30,7,154
Soft Tissue Sarcoma,64,99,53,132,139,4,26,30,18,7,158,115,133,258,19,27,9,92,35,41,403
Thyroid Cancer,26,30,1,151,4,0,60,195,2,70,12,10,60,271,1,42,0,48,45,19,289
Uterine Sarcoma,13,27,32,43,59,1,19,35,53,1,81,11,60,110,0,6,18,26,8,12,120
