,Parsimony metric,Fit theta
0,Migration,0.4197200536727905
1,Comigration,0.3405435383319855
2,Seeding site,0.23973646759986877
3,Migration,0.43771234154701233
4,Comigration,0.3285961151123047
5,Seeding site,0.2336915135383606
6,Migration,0.4678862988948822
7,Comigration,0.2955928444862366
8,Seeding site,0.23652085661888123
9,Migration,0.4959990680217743
10,Comigration,0.25308069586753845
11,Seeding site,0.2509201467037201
12,Migration,0.47442859411239624
13,Comigration,0.32523447275161743
14,Seeding site,0.2003369927406311
15,Migration,0.4134969711303711
16,Comigration,0.2972944974899292
17,Seeding site,0.2892085611820221
18,Migration,0.47857412695884705
19,Comigration,0.30288243293762207
20,Seeding site,0.21854346990585327
21,Migration,0.45912647247314453
22,Comigration,0.3183301091194153
23,Seeding site,0.22254343330860138
24,Migration,0.48426854610443115
25,Comigration,0.2587369680404663
26,Seeding site,0.25699445605278015
27,Migration,0.4110829830169678
28,Comigration,0.2983696162700653
29,Seeding site,0.29054734110832214
30,Migration,0.49432289600372314
31,Comigration,0.24995821714401245
32,Seeding site,0.25571882724761963
33,Migration,0.4637764096260071
34,Comigration,0.29215356707572937
35,Seeding site,0.24407005310058594
36,Migration,0.3308662176132202
37,Comigration,0.39763763546943665
38,Seeding site,0.2714962065219879
39,Migration,0.42549601197242737
40,Comigration,0.286622554063797
41,Seeding site,0.28788143396377563
42,Migration,0.4877837300300598
43,Comigration,0.25010889768600464
44,Seeding site,0.26210731267929077
45,Migration,0.5705261826515198
46,Comigration,0.23175637423992157
47,Seeding site,0.19771741330623627
48,Migration,0.48301225900650024
49,Comigration,0.3029208481311798
50,Seeding site,0.21406695246696472
51,Migration,0.4951905310153961
52,Comigration,0.28317856788635254
53,Seeding site,0.22163084149360657
54,Migration,0.5386623740196228
55,Comigration,0.23219455778598785
56,Seeding site,0.22914308309555054
57,Migration,0.45853304862976074
58,Comigration,0.26777997612953186
59,Seeding site,0.2736870050430298
60,Migration,0.4061599373817444
61,Comigration,0.34478560090065
62,Seeding site,0.249054417014122
63,Migration,0.5063607096672058
64,Comigration,0.2578429579734802
65,Seeding site,0.23579634726047516
66,Migration,0.49786707758903503
67,Comigration,0.3015153408050537
68,Seeding site,0.20061753690242767
69,Migration,0.5437536239624023
70,Comigration,0.2806967496871948
71,Seeding site,0.17554961144924164
72,Migration,0.4306999146938324
73,Comigration,0.3421114385128021
74,Seeding site,0.2271886020898819
75,Migration,0.40053847432136536
76,Comigration,0.2945246696472168
77,Seeding site,0.30493688583374023
78,Migration,0.4956563413143158
79,Comigration,0.27951472997665405
80,Seeding site,0.22482888400554657
81,Migration,0.42695608735084534
82,Comigration,0.34081339836120605
83,Seeding site,0.23223043978214264
84,Migration,0.550434947013855
85,Comigration,0.2823982238769531
86,Seeding site,0.16716685891151428
87,Migration,0.4491506516933441
88,Comigration,0.2669660747051239
89,Seeding site,0.2838832437992096
90,Migration,0.5433173775672913
91,Comigration,0.2337210327386856
92,Seeding site,0.22296160459518433
93,Migration,0.5816234350204468
94,Comigration,0.24738138914108276
95,Seeding site,0.17099517583847046
96,Migration,0.48855501413345337
97,Comigration,0.26304370164871216
98,Seeding site,0.24840129911899567
99,Migration,0.4024827778339386
100,Comigration,0.31153708696365356
101,Seeding site,0.28598013520240784
102,Migration,0.3259020745754242
103,Comigration,0.3949989974498749
104,Seeding site,0.27909889817237854
105,Migration,0.4865685999393463
106,Comigration,0.3013380169868469
107,Seeding site,0.21209344267845154
108,Migration,0.5045451521873474
109,Comigration,0.25282421708106995
110,Seeding site,0.24263058602809906
111,Migration,0.5054662227630615
112,Comigration,0.2745510935783386
113,Seeding site,0.21998277306556702
114,Migration,0.48342281579971313
115,Comigration,0.26975980401039124
116,Seeding site,0.24681740999221802
117,Migration,0.5001447200775146
118,Comigration,0.28904807567596436
119,Seeding site,0.21080724895000458
120,Migration,0.5184621810913086
121,Comigration,0.2709742784500122
122,Seeding site,0.2105635404586792
123,Migration,0.39046674966812134
124,Comigration,0.34250175952911377
125,Seeding site,0.26703155040740967
126,Migration,0.46270421147346497
127,Comigration,0.2740810215473175
128,Seeding site,0.26321476697921753
129,Migration,0.5275357961654663
130,Comigration,0.21797698736190796
131,Seeding site,0.25448721647262573
132,Migration,0.43947145342826843
133,Comigration,0.2794415056705475
134,Seeding site,0.28108707070350647
135,Migration,0.4615688621997833
136,Comigration,0.240614652633667
137,Seeding site,0.2978163957595825
138,Migration,0.511528730392456
139,Comigration,0.27232977747917175
140,Seeding site,0.21614143252372742
141,Migration,0.4146750271320343
142,Comigration,0.3404903709888458
143,Seeding site,0.24483463168144226
144,Migration,0.5092445015907288
145,Comigration,0.2689758539199829
146,Seeding site,0.22177961468696594
147,Migration,0.5659499168395996
148,Comigration,0.22794224321842194
149,Seeding site,0.20610783994197845
150,Migration,0.5382409691810608
151,Comigration,0.2100527435541153
152,Seeding site,0.2517063021659851
153,Migration,0.5247510075569153
154,Comigration,0.23104648292064667
155,Seeding site,0.24420244991779327
156,Migration,0.4744960367679596
157,Comigration,0.2753717005252838
158,Seeding site,0.2501322329044342
159,Migration,0.42100632190704346
160,Comigration,0.34073737263679504
161,Seeding site,0.23825636506080627
162,Migration,0.5525001287460327
163,Comigration,0.2602056562900543
164,Seeding site,0.18729422986507416
165,Migration,0.5538707971572876
166,Comigration,0.21895794570446014
167,Seeding site,0.22717125713825226
168,Migration,0.42542532086372375
169,Comigration,0.3288400173187256
170,Seeding site,0.24573475122451782
171,Migration,0.39545366168022156
172,Comigration,0.32091906666755676
173,Seeding site,0.28362733125686646
174,Migration,0.5356737375259399
175,Comigration,0.21395725011825562
176,Seeding site,0.25036895275115967
177,Migration,0.5370453000068665
178,Comigration,0.22846373915672302
179,Seeding site,0.23449096083641052
180,Migration,0.47482284903526306
181,Comigration,0.2733522951602936
182,Seeding site,0.25182485580444336
183,Migration,0.4184759855270386
