,dataset,Parsimony metric,Fit theta
0,HGSOC,Migration,0.6841938495635986
1,HGSOC,Comigration,0.1579030603170395
2,HGSOC,Seeding site,0.1579030603170395
3,Melanoma,Migration,0.5874271392822266
4,Melanoma,Comigration,0.25213757157325745
5,Melanoma,Seeding site,0.16043530404567719
6,Neuroblastoma,Migration,0.4203327000141144
7,Neuroblastoma,Comigration,0.302839994430542
8,Neuroblastoma,Seeding site,0.27682730555534363
9,NSCLC,Migration,0.5549977421760559
10,NSCLC,Comigration,0.2216595709323883
11,NSCLC,Seeding site,0.2233426719903946
12,HGSOC,Migration,0.686531126499176
13,HGSOC,Comigration,0.1567344218492508
14,HGSOC,Seeding site,0.156734436750412
15,Melanoma,Migration,0.5969667434692383
16,Melanoma,Comigration,0.28384628891944885
17,Melanoma,Seeding site,0.1191869005560875
18,Neuroblastoma,Migration,0.5542402863502502
19,Neuroblastoma,Comigration,0.25367239117622375
20,Neuroblastoma,Seeding site,0.1920873075723648
21,NSCLC,Migration,0.5647358894348145
22,NSCLC,Comigration,0.22468648850917816
23,NSCLC,Seeding site,0.21057754755020142
24,HGSOC,Migration,0.7597010135650635
25,HGSOC,Comigration,0.12014947831630707
26,HGSOC,Seeding site,0.12014947086572647
27,Melanoma,Migration,0.6341249942779541
28,Melanoma,Comigration,0.2955268919467926
29,Melanoma,Seeding site,0.07034818083047867
30,Neuroblastoma,Migration,0.7285143733024597
31,Neuroblastoma,Comigration,0.17727972567081451
32,Neuroblastoma,Seeding site,0.09420587867498398
33,NSCLC,Migration,0.5287227630615234
34,NSCLC,Comigration,0.24450646340847015
35,NSCLC,Seeding site,0.22677075862884521
36,HGSOC,Migration,0.6841938495635986
37,HGSOC,Comigration,0.1579030603170395
38,HGSOC,Seeding site,0.1579030603170395
39,Melanoma,Migration,0.8068690896034241
40,Melanoma,Comigration,0.11338528990745544
41,Melanoma,Seeding site,0.07974568009376526
42,Neuroblastoma,Migration,0.607135534286499
43,Neuroblastoma,Comigration,0.22273337841033936
44,Neuroblastoma,Seeding site,0.17013105750083923
45,NSCLC,Migration,0.4793727993965149
46,NSCLC,Comigration,0.249052956700325
47,NSCLC,Seeding site,0.27157431840896606
48,HGSOC,Migration,0.4619274437427521
49,HGSOC,Comigration,0.26903626322746277
50,HGSOC,Seeding site,0.26903629302978516
51,Melanoma,Migration,0.4621132016181946
52,Melanoma,Comigration,0.23214489221572876
53,Melanoma,Seeding site,0.30574190616607666
54,Neuroblastoma,Migration,0.5560158491134644
55,Neuroblastoma,Comigration,0.2768174409866333
56,Neuroblastoma,Seeding site,0.16716670989990234
57,NSCLC,Migration,0.4908570647239685
58,NSCLC,Comigration,0.262652188539505
59,NSCLC,Seeding site,0.2464907318353653
60,HGSOC,Migration,0.47968366742134094
61,HGSOC,Comigration,0.2601581811904907
62,HGSOC,Seeding site,0.2601581811904907
63,Melanoma,Migration,0.8267683386802673
64,Melanoma,Comigration,0.08661588281393051
65,Melanoma,Seeding site,0.08661588281393051
66,Neuroblastoma,Migration,0.5871306657791138
67,Neuroblastoma,Comigration,0.21054719388484955
68,Neuroblastoma,Seeding site,0.20232214033603668
69,NSCLC,Migration,0.49240627884864807
70,NSCLC,Comigration,0.2749965786933899
71,NSCLC,Seeding site,0.23259709775447845
72,HGSOC,Migration,0.6440077424049377
73,HGSOC,Comigration,0.17799614369869232
74,HGSOC,Seeding site,0.17799614369869232
75,Melanoma,Migration,0.8267683386802673
76,Melanoma,Comigration,0.08661588281393051
77,Melanoma,Seeding site,0.08661588281393051
78,Neuroblastoma,Migration,0.6323640942573547
79,Neuroblastoma,Comigration,0.2248525321483612
80,Neuroblastoma,Seeding site,0.14278337359428406
81,NSCLC,Migration,0.5210009813308716
82,NSCLC,Comigration,0.23666611313819885
83,NSCLC,Seeding site,0.24233292043209076
84,HGSOC,Migration,0.6841938495635986
85,HGSOC,Comigration,0.1579030603170395
86,HGSOC,Seeding site,0.1579030603170395
87,Melanoma,Migration,0.8068690896034241
88,Melanoma,Comigration,0.11338526755571365
89,Melanoma,Seeding site,0.07974568009376526
90,Neuroblastoma,Migration,0.4997846186161041
91,Neuroblastoma,Comigration,0.3658837378025055
92,Neuroblastoma,Seeding site,0.1343315988779068
93,NSCLC,Migration,0.5976037979125977
94,NSCLC,Comigration,0.21077951788902283
95,NSCLC,Seeding site,0.19161665439605713
96,HGSOC,Migration,0.6841938495635986
97,HGSOC,Comigration,0.1579030603170395
98,HGSOC,Seeding site,0.1579030603170395
99,Melanoma,Migration,0.46592843532562256
100,Melanoma,Comigration,0.2294577658176422
101,Melanoma,Seeding site,0.3046138286590576
102,Neuroblastoma,Migration,0.5823239088058472
103,Neuroblastoma,Comigration,0.24128834903240204
104,Neuroblastoma,Seeding site,0.1763877421617508
105,NSCLC,Migration,0.5388559699058533
106,NSCLC,Comigration,0.23946070671081543
107,NSCLC,Seeding site,0.2216833233833313
108,HGSOC,Migration,0.6128561496734619
109,HGSOC,Comigration,0.19357191026210785
110,HGSOC,Seeding site,0.19357191026210785
111,Melanoma,Migration,0.6893081068992615
112,Melanoma,Comigration,0.23280446231365204
113,Melanoma,Seeding site,0.07788750529289246
114,Neuroblastoma,Migration,0.6764489412307739
115,Neuroblastoma,Comigration,0.18455879390239716
116,Neuroblastoma,Seeding site,0.13899224996566772
117,NSCLC,Migration,0.5697456002235413
118,NSCLC,Comigration,0.21257171034812927
119,NSCLC,Seeding site,0.21768268942832947
120,HGSOC,Migration,0.3333333432674408
121,HGSOC,Comigration,0.3333333432674408
122,HGSOC,Seeding site,0.3333333432674408
123,Melanoma,Migration,0.5891653299331665
124,Melanoma,Comigration,0.30507850646972656
125,Melanoma,Seeding site,0.10575617104768753
126,Neuroblastoma,Migration,0.6468372941017151
127,Neuroblastoma,Comigration,0.1753067523241043
128,Neuroblastoma,Seeding site,0.17785599827766418
129,NSCLC,Migration,0.5384424328804016
130,NSCLC,Comigration,0.22878724336624146
131,NSCLC,Seeding site,0.23277032375335693
132,HGSOC,Migration,0.7268593311309814
133,HGSOC,Comigration,0.13657031953334808
134,HGSOC,Seeding site,0.13657033443450928
135,Melanoma,Migration,0.6079216599464417
136,Melanoma,Comigration,0.2094954550266266
137,Melanoma,Seeding site,0.18258285522460938
138,Neuroblastoma,Migration,0.40733689069747925
139,Neuroblastoma,Comigration,0.30972951650619507
140,Neuroblastoma,Seeding site,0.28293368220329285
141,NSCLC,Migration,0.513486385345459
142,NSCLC,Comigration,0.24481132626533508
143,NSCLC,Seeding site,0.24170227348804474
144,HGSOC,Migration,0.47968366742134094
145,HGSOC,Comigration,0.2601581811904907
146,HGSOC,Seeding site,0.2601581811904907
147,Melanoma,Migration,0.6516767144203186
148,Melanoma,Comigration,0.19759127497673035
149,Melanoma,Seeding site,0.15073202550411224
150,Neuroblastoma,Migration,0.6261690855026245
151,Neuroblastoma,Comigration,0.19777962565422058
152,Neuroblastoma,Seeding site,0.17605134844779968
153,NSCLC,Migration,0.4789019227027893
154,NSCLC,Comigration,0.26488199830055237
155,NSCLC,Seeding site,0.2562160789966583
156,HGSOC,Migration,0.4619273841381073
157,HGSOC,Comigration,0.26903629302978516
158,HGSOC,Seeding site,0.26903629302978516
159,Melanoma,Migration,0.8267683386802673
160,Melanoma,Comigration,0.08661586046218872
161,Melanoma,Seeding site,0.08661588281393051
162,Neuroblastoma,Migration,0.6126834750175476
163,Neuroblastoma,Comigration,0.2198326736688614
164,Neuroblastoma,Seeding site,0.1674838364124298
165,NSCLC,Migration,0.5281243324279785
166,NSCLC,Comigration,0.238443523645401
167,NSCLC,Seeding site,0.23343214392662048
168,HGSOC,Migration,0.7604582905769348
169,HGSOC,Comigration,0.11977087706327438
170,HGSOC,Seeding site,0.11977085471153259
171,Melanoma,Migration,0.8498295545578003
172,Melanoma,Comigration,0.07508517801761627
173,Melanoma,Seeding site,0.07508520036935806
174,Neuroblastoma,Migration,0.5415537357330322
175,Neuroblastoma,Comigration,0.2585364878177643
176,Neuroblastoma,Seeding site,0.1999097764492035
177,NSCLC,Migration,0.5072201490402222
178,NSCLC,Comigration,0.2523621618747711
179,NSCLC,Seeding site,0.24041761457920074
180,HGSOC,Migration,0.7604582905769348
181,HGSOC,Comigration,0.11977087706327438
182,HGSOC,Seeding site,0.11977085471153259
183,Melanoma,Migration,0.8382421731948853
184,Melanoma,Comigration,0.0808788612484932
185,Melanoma,Seeding site,0.0808788612484932
186,Neuroblastoma,Migration,0.5780093669891357
187,Neuroblastoma,Comigration,0.2398848980665207
188,Neuroblastoma,Seeding site,0.18210573494434357
189,NSCLC,Migration,0.5004961490631104
190,NSCLC,Comigration,0.2603176534175873
191,NSCLC,Seeding site,0.23918622732162476
192,HGSOC,Migration,0.3333333432674408
193,HGSOC,Comigration,0.3333333432674408
194,HGSOC,Seeding site,0.3333333432674408
195,Melanoma,Migration,0.8267683386802673
196,Melanoma,Comigration,0.08661586046218872
197,Melanoma,Seeding site,0.08661588281393051
198,Neuroblastoma,Migration,0.5335191488265991
199,Neuroblastoma,Comigration,0.23166802525520325
200,Neuroblastoma,Seeding site,0.23481284081935883
201,NSCLC,Migration,0.5272397994995117
202,NSCLC,Comigration,0.24237272143363953
203,NSCLC,Seeding site,0.23038753867149353
204,HGSOC,Migration,0.3991285264492035
205,HGSOC,Comigration,0.30043572187423706
206,HGSOC,Seeding site,0.30043575167655945
207,Melanoma,Migration,0.8631830811500549
208,Melanoma,Comigration,0.06840842962265015
209,Melanoma,Seeding site,0.06840844452381134
210,Neuroblastoma,Migration,0.5563243627548218
211,Neuroblastoma,Comigration,0.24624747037887573
212,Neuroblastoma,Seeding site,0.1974281370639801
213,NSCLC,Migration,0.4856753647327423
214,NSCLC,Comigration,0.25192251801490784
215,NSCLC,Seeding site,0.26240214705467224
216,HGSOC,Migration,0.5815300345420837
217,HGSOC,Comigration,0.20923495292663574
218,HGSOC,Seeding site,0.20923495292663574
219,Melanoma,Migration,0.8957206010818481
220,Melanoma,Comigration,0.052139654755592346
221,Melanoma,Seeding site,0.052139654755592346
222,Neuroblastoma,Migration,0.6754510998725891
223,Neuroblastoma,Comigration,0.17790068686008453
224,Neuroblastoma,Seeding site,0.14664828777313232
225,NSCLC,Migration,0.5703917145729065
226,NSCLC,Comigration,0.21924151480197906
227,NSCLC,Seeding site,0.21036680042743683
228,HGSOC,Migration,0.6440077424049377
229,HGSOC,Comigration,0.17799612879753113
230,HGSOC,Seeding site,0.17799612879753113
231,Melanoma,Migration,0.5495051145553589
232,Melanoma,Comigration,0.22709248960018158
233,Melanoma,Seeding site,0.22340238094329834
234,Neuroblastoma,Migration,0.6289138793945312
235,Neuroblastoma,Comigration,0.209497332572937
236,Neuroblastoma,Seeding site,0.16158880293369293
237,NSCLC,Migration,0.5135462284088135
238,NSCLC,Comigration,0.23830249905586243
239,NSCLC,Seeding site,0.2481512427330017
240,HGSOC,Migration,0.6121687889099121
241,HGSOC,Comigration,0.19391557574272156
242,HGSOC,Seeding site,0.19391557574272156
243,Melanoma,Migration,0.6913692951202393
244,Melanoma,Comigration,0.18340541422367096
245,Melanoma,Seeding site,0.12522532045841217
246,Neuroblastoma,Migration,0.5574976205825806
247,Neuroblastoma,Comigration,0.2552415430545807
248,Neuroblastoma,Seeding site,0.18726080656051636
249,NSCLC,Migration,0.44376999139785767
250,NSCLC,Comigration,0.27501368522644043
251,NSCLC,Seeding site,0.2812163531780243
252,HGSOC,Migration,0.39912843704223633
253,HGSOC,Comigration,0.30043578147888184
254,HGSOC,Seeding site,0.30043578147888184
255,Melanoma,Migration,0.7496750354766846
256,Melanoma,Comigration,0.1518852561712265
257,Melanoma,Seeding site,0.0984397605061531
258,Neuroblastoma,Migration,0.41341668367385864
259,Neuroblastoma,Comigration,0.3214908540248871
260,Neuroblastoma,Seeding site,0.2650924623012543
261,NSCLC,Migration,0.5305525064468384
262,NSCLC,Comigration,0.23466330766677856
263,NSCLC,Seeding site,0.23478423058986664
264,HGSOC,Migration,0.3333333432674408
265,HGSOC,Comigration,0.3333333432674408
266,HGSOC,Seeding site,0.3333333432674408
267,Melanoma,Migration,0.607828676700592
268,Melanoma,Comigration,0.2094884216785431
269,Melanoma,Seeding site,0.18268288671970367
270,Neuroblastoma,Migration,0.6009050607681274
271,Neuroblastoma,Comigration,0.24726521968841553
272,Neuroblastoma,Seeding site,0.15182971954345703
273,NSCLC,Migration,0.42166411876678467
274,NSCLC,Comigration,0.2860676348209381
275,NSCLC,Seeding site,0.2922682762145996
276,HGSOC,Migration,0.7595866918563843
