5 #anatomical sites
5 #samples
9 #mutations
#sample_index	sample_label	anatomical_site_index	anatomical_site_label	character_index	character_label	f_lb	f_ub	ref	var
0	breast	0	breast	0	1	0.5065165484207954	0.5422425046131079	19957	7090
0	breast	0	breast	1	2	0.0	0.011827823947365448	2833	5
0	breast	0	breast	2	3	0.0	0.0051513597197364955	5860	4
0	breast	0	breast	3	4	0.0	0.005031799923601376	6681	5
0	breast	0	breast	4	5	0.0	0.010056988386239363	1601	1
0	breast	0	breast	5	6	0.0	0.00259478481774175	15478	7
0	breast	0	breast	6	7	0.0	0.005589714050310935	1786	0
0	breast	0	breast	7	8	0.0	0.009012946413410649	3346	4
0	breast	0	breast	8	9	0.0	0.002498137633709663	13466	5
0	breast	0	breast	9	10	0.0	0.010893239710141854	915	0
1	brain	1	brain	0	1	0.6373522171950532	0.6702058798994592	24490	11892
1	brain	1	brain	1	2	0.0	0.03468469465479057	3627	39
1	brain	1	brain	2	3	0.0	0.025471509042046925	7725	68
1	brain	1	brain	3	4	0.6118625882613693	0.6785584756828851	5938	2826
1	brain	1	brain	4	5	0.0	0.004837928799510758	2064	0
1	brain	1	brain	5	6	0.0	0.0016415024313023371	20498	5
1	brain	1	brain	6	7	0.0	0.010360785610454355	2503	3
1	brain	1	brain	7	8	0.0	0.0036184477197080942	4457	1
1	brain	1	brain	8	9	0.0	0.005476199243268922	18097	28
1	brain	1	brain	9	10	0.2928514626930255	0.4376780707364235	1029	227
2	kidney	2	kidney	0	1	0.41171344427596884	0.4376710929833016	34894	9405
2	kidney	2	kidney	1	2	0.38320557646182324	0.4652975939280394	3483	935
2	kidney	2	kidney	2	3	0.3930970192238787	0.449960898801687	7242	1931
2	kidney	2	kidney	3	4	0.0	0.005359412647452332	10865	13
2	kidney	2	kidney	4	5	0.3576197008143608	0.4681687884064617	1894	490
2	kidney	2	kidney	5	6	0.0	0.0028349822269529076	24541	17
2	kidney	2	kidney	6	7	0.0	0.0067721779991498695	3143	2
2	kidney	2	kidney	7	8	0.3832003501704086	0.45819662275333983	4158	1105
2	kidney	2	kidney	8	9	0.0	0.0025230368943905445	21928	12
2	kidney	2	kidney	9	10	0.0	0.011546042156547216	1394	1
3	liver	3	liver	0	1	0.8210246934339878	0.8585133854795371	17945	12987
3	liver	3	liver	1	2	0.8339953192199299	0.9521632933328165	1747	1409
3	liver	3	liver	2	3	0.8502372805488697	0.9333632220268009	3535	2844
3	liver	3	liver	3	4	0.0	0.0038350360735985188	7874	4
3	liver	3	liver	4	5	0.6962430581760974	0.8572509121146226	996	631
3	liver	3	liver	5	6	0.0	0.002723742430143615	18141	10
3	liver	3	liver	6	7	0.0	0.011089963110970429	2338	3
3	liver	3	liver	7	8	0.0	0.006400059934909022	4056	3
3	liver	3	liver	8	9	0.3545312138244233	0.39658593069445874	12496	2886
3	liver	3	liver	9	10	0.0	0.009823177962436194	1015	0
4	lung	4	lung	0	1	0.6767711405624903	0.7159488561834226	17201	9187
4	lung	4	lung	1	2	0.02223045255400086	0.05716029269549205	2649	50
4	lung	4	lung	2	3	0.0	0.005946451636086575	5652	5
4	lung	4	lung	3	4	0.6128167898690909	0.6905659122212952	4371	2111
4	lung	4	lung	4	5	0.0	0.010855018887410028	1483	1
4	lung	4	lung	5	6	0.022136950964032565	0.035026396141160966	14737	210
4	lung	4	lung	6	7	0.5141113776405887	0.6620735656828266	1189	493
4	lung	4	lung	7	8	0.0	0.006533520079373421	3258	2
4	lung	4	lung	8	9	0.0	0.002290811361469983	13187	4
4	lung	4	lung	9	10	0.0	0.0116550037204814	855	0
5	rib	5	rib	0	1	0.7122670323233724	0.7496853232509815	18757	10803
5	rib	5	rib	1	2	0.6562447800469651	0.7751306941770463	1862	1036
5	rib	5	rib	2	3	0.0	0.002591421343199446	6225	1
5	rib	5	rib	3	4	0.0	0.006379741121458215	7259	9
5	rib	5	rib	4	5	0.0	0.009939331411507612	1620	1
5	rib	5	rib	5	6	0.6620898384141485	0.7122948386796777	10482	5485
5	rib	5	rib	6	7	0.0	0.011126162235250913	1911	2
5	rib	5	rib	7	8	0.0	0.004534223137394851	3556	1
5	rib	5	rib	8	9	0.0	0.002043205080077076	14786	4
5	rib	5	rib	9	10	0.0	0.011037520855605278	903	0
