9 #anatomical sites
10 #samples
19 #characters
#sample_index	sample_label	anatomical_site_index	anatomical_site_label	character_index	character_label	f-	f+
0	P_0	0	P	0	111	0	0
0	P_0	0	P	1	52_57_63_69_91_99_107	0	0
0	P_0	0	P	2	76_106	0	0
0	P_0	0	P	3	43_48_49_50_62_73_102_105	0	0
0	P_0	0	P	4	36_40_45_47_54_65_104	0	0
0	P_0	0	P	5	44_60_67_90_92_96	0.914234	1
0	P_0	0	P	6	89	0	0
0	P_0	0	P	7	74_83	0	0
0	P_0	0	P	8	71_77	0	0
0	P_0	0	P	9	8_11_13_23_25_28_34_35_42_46_64	0	0
0	P_0	0	P	10	53	0	0
0	P_0	0	P	11	37_39	0.917631	1
0	P_0	0	P	12	24_29_31_33_38	0	0
0	P_0	0	P	13	6_15_17_26_27_30_32	0.905917	1
0	P_0	0	P	14	5_7_10_14_18_19_22	0	0
0	P_0	0	P	15	9_12_16	0	0
0	P_0	0	P	16	4	0.893943	1
0	P_0	0	P	17	3	0	0
0	P_0	0	P	18	0_1_2	0.914946	1
1	P_1	0	P	0	111	0	0
1	P_1	0	P	1	52_57_63_69_91_99_107	0	0
1	P_1	0	P	2	76_106	0	0
1	P_1	0	P	3	43_48_49_50_62_73_102_105	0	0
1	P_1	0	P	4	36_40_45_47_54_65_104	0	0
1	P_1	0	P	5	44_60_67_90_92_96	0.25622	0.334719
1	P_1	0	P	6	89	0	0
1	P_1	0	P	7	74_83	0	0
1	P_1	0	P	8	71_77	0	0
1	P_1	0	P	9	8_11_13_23_25_28_34_35_42_46_64	0.247182	0.305368
1	P_1	0	P	10	53	0	0
1	P_1	0	P	11	37_39	0.312626	0.4688
1	P_1	0	P	12	24_29_31_33_38	0	0
1	P_1	0	P	13	6_15_17_26_27_30_32	0.540176	0.634589
1	P_1	0	P	14	5_7_10_14_18_19_22	0	0
1	P_1	0	P	15	9_12_16	0	0
1	P_1	0	P	16	4	0.415328	0.647357
1	P_1	0	P	17	3	0.181814	0.379657
1	P_1	0	P	18	0_1_2	0.883072	1
2	M1_0	1	M1	0	111	0	0
2	M1_0	1	M1	1	52_57_63_69_91_99_107	0	0
2	M1_0	1	M1	2	76_106	0	0
2	M1_0	1	M1	3	43_48_49_50_62_73_102_105	0	0
2	M1_0	1	M1	4	36_40_45_47_54_65_104	0	0
2	M1_0	1	M1	5	44_60_67_90_92_96	0	0
2	M1_0	1	M1	6	89	0	0
2	M1_0	1	M1	7	74_83	0	0
2	M1_0	1	M1	8	71_77	0	0
2	M1_0	1	M1	9	8_11_13_23_25_28_34_35_42_46_64	0	0
2	M1_0	1	M1	10	53	0.400577	0.644229
2	M1_0	1	M1	11	37_39	0	0
2	M1_0	1	M1	12	24_29_31_33_38	0	0
2	M1_0	1	M1	13	6_15_17_26_27_30_32	0.477155	0.568583
2	M1_0	1	M1	14	5_7_10_14_18_19_22	0	0
2	M1_0	1	M1	15	9_12_16	0.420559	0.558999
2	M1_0	1	M1	16	4	0.913671	1
2	M1_0	1	M1	17	3	0	0
2	M1_0	1	M1	18	0_1_2	0.927019	1
3	M2_0	2	M2	0	111	0	0
3	M2_0	2	M2	1	52_57_63_69_91_99_107	0	0
3	M2_0	2	M2	2	76_106	0	0
3	M2_0	2	M2	3	43_48_49_50_62_73_102_105	0	0
