8 #anatomical sites
9 #samples
17 #characters
#sample_index	sample_label	anatomical_site_index	anatomical_site_label	character_index	character_label	f-	f+
0	P_0	0	P	0	83	0	0
0	P_0	0	P	1	54_59_60_82	0	0
0	P_0	0	P	2	67_77	0	0
0	P_0	0	P	3	55_75	0	0
0	P_0	0	P	4	12_34_71_74	0.726692	0.86142
0	P_0	0	P	5	18_27_35_37_38_45_50_57_61_64_68_72	0	0
0	P_0	0	P	6	70	0.118297	0.275366
0	P_0	0	P	7	69	0	0
0	P_0	0	P	8	10_13_20_25_26_30_40_53_56_65	0	0
0	P_0	0	P	9	6_21_23_28_29_36_41_58_63	0	0
0	P_0	0	P	10	52	0.13841	0.319849
0	P_0	0	P	11	3_4_7_8_43_49	0.137091	0.199713
0	P_0	0	P	12	47	0	0
0	P_0	0	P	13	15_16_22_42_44_46	0	0
0	P_0	0	P	14	5_9_11_14	0	0
0	P_0	0	P	15	2	0.720118	0.981119
0	P_0	0	P	16	0	0.871921	1
1	P_1	0	P	0	83	0	0
1	P_1	0	P	1	54_59_60_82	0	0
1	P_1	0	P	2	67_77	0	0
1	P_1	0	P	3	55_75	0	0
1	P_1	0	P	4	12_34_71_74	0.991705	1
1	P_1	0	P	5	18_27_35_37_38_45_50_57_61_64_68_72	0	0
1	P_1	0	P	6	70	0	0
1	P_1	0	P	7	69	0	0
1	P_1	0	P	8	10_13_20_25_26_30_40_53_56_65	0	0
1	P_1	0	P	9	6_21_23_28_29_36_41_58_63	0	0
1	P_1	0	P	10	52	0	0
1	P_1	0	P	11	3_4_7_8_43_49	0	0
1	P_1	0	P	12	47	0	0
1	P_1	0	P	13	15_16_22_42_44_46	0	0
1	P_1	0	P	14	5_9_11_14	0	0
1	P_1	0	P	15	2	0.900453	1
1	P_1	0	P	16	0	0.90221	1
2	M1_0	1	M1	0	83	0	0
2	M1_0	1	M1	1	54_59_60_82	0	0
2	M1_0	1	M1	2	67_77	0	0
2	M1_0	1	M1	3	55_75	0	0
2	M1_0	1	M1	4	12_34_71_74	0	0
2	M1_0	1	M1	5	18_27_35_37_38_45_50_57_61_64_68_72	0	0
2	M1_0	1	M1	6	70	0	0
2	M1_0	1	M1	7	69	0	0
2	M1_0	1	M1	8	10_13_20_25_26_30_40_53_56_65	0	0
2	M1_0	1	M1	9	6_21_23_28_29_36_41_58_63	0	0
2	M1_0	1	M1	10	52	0	0
2	M1_0	1	M1	11	3_4_7_8_43_49	0	0
2	M1_0	1	M1	12	47	0.0549882	0.17831
2	M1_0	1	M1	13	15_16_22_42_44_46	0.349294	0.439808
2	M1_0	1	M1	14	5_9_11_14	0.949192	1
2	M1_0	1	M1	15	2	0	0
2	M1_0	1	M1	16	0	0.859455	1
3	M2_0	2	M2	0	83	0	0
3	M2_0	2	M2	1	54_59_60_82	0.40836	0.523083
3	M2_0	2	M2	2	67_77	0	0
3	M2_0	2	M2	3	55_75	0	0
3	M2_0	2	M2	4	12_34_71_74	0	0
3	M2_0	2	M2	5	18_27_35_37_38_45_50_57_61_64_68_72	0	0
3	M2_0	2	M2	6	70	0	0
3	M2_0	2	M2	7	69	0	0
3	M2_0	2	M2	8	10_13_20_25_26_30_40_53_56_65	0	0
3	M2_0	2	M2	9	6_21_23_28_29_36_41_58_63	0	0
3	M2_0	2	M2	10	52	0.0967653	0.251163
3	M2_0	2	M2	11	3_4_7_8_43_49	0.794608	0.907135
3	M2_0	2	M2	12	47	0	0
3	M2_0	2	M2	13	15_16_22_42_44_46	0	0
3	M2_0	2	M2	14	5_9_11_14	0	0
3	M2_0	2	M2	15	2	0	0
3	M2_0	2	M2	16	0	1	1
4	M3_0	3	M3	0	83	0	0
4	M3_0	3	M3	1	54_59_60_82	0	0
4	M3_0	3	M3	2	67_77	0.189596	0.328309
4	M3_0	3	M3	3	55_75	0	0
4	M3_0	3	M3	4	12_34_71_74	0	0
4	M3_0	3	M3	5	18_27_35_37_38_45_50_57_61_64_68_72	0	0
4	M3_0	3	M3	6	70	0	0
4	M3_0	3	M3	7	69	0	0
4	M3_0	3	M3	8	10_13_20_25_26_30_40_53_56_65	0	0
4	M3_0	3	M3	9	6_21_23_28_29_36_41_58_63	0.980014	1
4	M3_0	3	M3	10	52	0	0
4	M3_0	3	M3	11	3_4_7_8_43_49	0	0
4	M3_0	3	M3	12	47	0	0
4	M3_0	3	M3	13	15_16_22_42_44_46	0	0
4	M3_0	3	M3	14	5_9_11_14	0	0
4	M3_0	3	M3	15	2	0.839682	1
4	M3_0	3	M3	16	0	0.767624	1
5	M4_0	4	M4	0	83	0	0
5	M4_0	4	M4	1	54_59_60_82	0	0
5	M4_0	4	M4	2	67_77	0	0
5	M4_0	4	M4	3	55_75	0	0
5	M4_0	4	M4	4	12_34_71_74	0	0
5	M4_0	4	M4	5	18_27_35_37_38_45_50_57_61_64_68_72	0	0
5	M4_0	4	M4	6	70	0	0
5	M4_0	4	M4	7	69	0	0
5	M4_0	4	M4	8	10_13_20_25_26_30_40_53_56_65	0.899223	0.987032
5	M4_0	4	M4	9	6_21_23_28_29_36_41_58_63	0	0
5	M4_0	4	M4	10	52	0	0
5	M4_0	4	M4	11	3_4_7_8_43_49	0	0
5	M4_0	4	M4	12	47	0	0
5	M4_0	4	M4	13	15_16_22_42_44_46	0	0
5	M4_0	4	M4	14	5_9_11_14	0	0
5	M4_0	4	M4	15	2	0	0
5	M4_0	4	M4	16	0	0.926787	1
6	M5_0	5	M5	0	83	0	0
6	M5_0	5	M5	1	54_59_60_82	0	0
6	M5_0	5	M5	2	67_77	0	0
6	M5_0	5	M5	3	55_75	0.939939	1
6	M5_0	5	M5	4	12_34_71_74	0	0
6	M5_0	5	M5	5	18_27_35_37_38_45_50_57_61_64_68_72	0	0
6	M5_0	5	M5	6	70	0	0
6	M5_0	5	M5	7	69	0	0
6	M5_0	5	M5	8	10_13_20_25_26_30_40_53_56_65	0	0
6	M5_0	5	M5	9	6_21_23_28_29_36_41_58_63	0	0
6	M5_0	5	M5	10	52	0	0
6	M5_0	5	M5	11	3_4_7_8_43_49	0.993126	1
6	M5_0	5	M5	12	47	0	0
6	M5_0	5	M5	13	15_16_22_42_44_46	0	0
6	M5_0	5	M5	14	5_9_11_14	0	0
6	M5_0	5	M5	15	2	0	0
6	M5_0	5	M5	16	0	0.972834	1
7	M6_0	6	M6	0	83	0.172935	0.352254
7	M6_0	6	M6	1	54_59_60_82	0	0
7	M6_0	6	M6	2	67_77	0	0
7	M6_0	6	M6	3	55_75	0	0
7	M6_0	6	M6	4	12_34_71_74	0	0
7	M6_0	6	M6	5	18_27_35_37_38_45_50_57_61_64_68_72	0	0
7	M6_0	6	M6	6	70	0	0
7	M6_0	6	M6	7	69	0.89026	1
7	M6_0	6	M6	8	10_13_20_25_26_30_40_53_56_65	0	0
7	M6_0	6	M6	9	6_21_23_28_29_36_41_58_63	0	0
7	M6_0	6	M6	10	52	0.920996	1
7	M6_0	6	M6	11	3_4_7_8_43_49	0.917795	1
7	M6_0	6	M6	12	47	0	0
7	M6_0	6	M6	13	15_16_22_42_44_46	0	0
7	M6_0	6	M6	14	5_9_11_14	0	0
7	M6_0	6	M6	15	2	0	0
7	M6_0	6	M6	16	0	0.921862	1
8	M7_0	7	M7	0	83	0	0
8	M7_0	7	M7	1	54_59_60_82	0	0
8	M7_0	7	M7	2	67_77	0	0
8	M7_0	7	M7	3	55_75	0	0
8	M7_0	7	M7	4	12_34_71_74	0	0
8	M7_0	7	M7	5	18_27_35_37_38_45_50_57_61_64_68_72	0.393085	0.458034
8	M7_0	7	M7	6	70	0	0
8	M7_0	7	M7	7	69	0	0
8	M7_0	7	M7	8	10_13_20_25_26_30_40_53_56_65	0	0
8	M7_0	7	M7	9	6_21_23_28_29_36_41_58_63	0	0
8	M7_0	7	M7	10	52	0	0
8	M7_0	7	M7	11	3_4_7_8_43_49	0	0
8	M7_0	7	M7	12	47	0	0
8	M7_0	7	M7	13	15_16_22_42_44_46	0.562207	0.664783
8	M7_0	7	M7	14	5_9_11_14	0.948406	1
8	M7_0	7	M7	15	2	0	0
8	M7_0	7	M7	16	0	0.83577	1
