8 #anatomical sites
9 #samples
11 #characters
#sample_index	sample_label	anatomical_site_index	anatomical_site_label	character_index	character_label	f-	f+
0	P_0	0	P	0	36_39_48_55_64_82_84	0	0
0	P_0	0	P	1	44_52_58_76_83	0.239538	0.325489
0	P_0	0	P	2	32_43_50_51_56_71_79_81	0	0
0	P_0	0	P	3	6_9_11_12_19_25_28_30_33_37_40_41_46_49_63_72_77_78_80	0	0
0	P_0	0	P	4	60_75	0	0
0	P_0	0	P	5	74	0	0
0	P_0	0	P	6	42_66	0	0
0	P_0	0	P	7	34_53	0	0
0	P_0	0	P	8	5_13_23_26_29_35_38	0	0
0	P_0	0	P	9	24	0.396386	0.638018
0	P_0	0	P	10	0_1_4_10_14_16_17_22	0.677654	0.77334
1	P_1	0	P	0	36_39_48_55_64_82_84	0	0
1	P_1	0	P	1	44_52_58_76_83	0.190193	0.269325
1	P_1	0	P	2	32_43_50_51_56_71_79_81	0	0
1	P_1	0	P	3	6_9_11_12_19_25_28_30_33_37_40_41_46_49_63_72_77_78_80	0	0
1	P_1	0	P	4	60_75	0	0
1	P_1	0	P	5	74	0	0
1	P_1	0	P	6	42_66	0	0
1	P_1	0	P	7	34_53	0	0
1	P_1	0	P	8	5_13_23_26_29_35_38	0	0
1	P_1	0	P	9	24	0.470742	0.714108
1	P_1	0	P	10	0_1_4_10_14_16_17_22	0.785657	0.883551
2	M1_0	1	M1	0	36_39_48_55_64_82_84	0	0
2	M1_0	1	M1	1	44_52_58_76_83	0	0
2	M1_0	1	M1	2	32_43_50_51_56_71_79_81	0	0
2	M1_0	1	M1	3	6_9_11_12_19_25_28_30_33_37_40_41_46_49_63_72_77_78_80	0	0
2	M1_0	1	M1	4	60_75	0	0
2	M1_0	1	M1	5	74	0	0
2	M1_0	1	M1	6	42_66	0	0
2	M1_0	1	M1	7	34_53	0.632339	0.821162
2	M1_0	1	M1	8	5_13_23_26_29_35_38	0.305168	0.385401
2	M1_0	1	M1	9	24	0	0
2	M1_0	1	M1	10	0_1_4_10_14_16_17_22	0.698211	0.793538
