9 #anatomical sites
10 #samples
20 #characters
#sample_index	sample_label	anatomical_site_index	anatomical_site_label	character_index	character_label	f-	f+
0	P_0	0	P	0	26_31_39_62_65	0	0
0	P_0	0	P	1	59	0	0
0	P_0	0	P	2	49_52_53	0	0
0	P_0	0	P	3	22_23_28_35_46_51	0	0
0	P_0	0	P	4	48	0	0
0	P_0	0	P	5	45	0	0
0	P_0	0	P	6	37_43	0	0
0	P_0	0	P	7	25_40	0	0
0	P_0	0	P	8	5_11_18_20_24_29_32_33_38	0	0
0	P_0	0	P	9	36	0.156044	0.333477
0	P_0	0	P	10	30_34	0.769841	0.970146
0	P_0	0	P	11	21_27	0	0
0	P_0	0	P	12	19	0	0
0	P_0	0	P	13	16	0.763544	1
0	P_0	0	P	14	15	0	0
0	P_0	0	P	15	14	0	0
0	P_0	0	P	16	7_8_13	0.908024	1
0	P_0	0	P	17	4_6_9_10_12	0	0
0	P_0	0	P	18	1_3	0.978711	1
0	P_0	0	P	19	0	0.90552	1
1	P_1	0	P	0	26_31_39_62_65	0	0
1	P_1	0	P	1	59	0	0
1	P_1	0	P	2	49_52_53	0	0
1	P_1	0	P	3	22_23_28_35_46_51	0	0
1	P_1	0	P	4	48	0	0
1	P_1	0	P	5	45	0	0
1	P_1	0	P	6	37_43	0	0
1	P_1	0	P	7	25_40	0	0
1	P_1	0	P	8	5_11_18_20_24_29_32_33_38	0	0
1	P_1	0	P	9	36	0.702973	0.976888
1	P_1	0	P	10	30_34	0.908699	1
1	P_1	0	P	11	21_27	0	0
1	P_1	0	P	12	19	0	0
1	P_1	0	P	13	16	0.832537	1
1	P_1	0	P	14	15	0	0
1	P_1	0	P	15	14	0	0
1	P_1	0	P	16	7_8_13	0.914569	1
1	P_1	0	P	17	4_6_9_10_12	0	0
1	P_1	0	P	18	1_3	0.873093	1
1	P_1	0	P	19	0	0.884833	1
2	M1_0	1	M1	0	26_31_39_62_65	0	0
2	M1_0	1	M1	1	59	0	0
2	M1_0	1	M1	2	49_52_53	0	0
2	M1_0	1	M1	3	22_23_28_35_46_51	0	0
2	M1_0	1	M1	4	48	0	0
2	M1_0	1	M1	5	45	0	0
2	M1_0	1	M1	6	37_43	0	0
2	M1_0	1	M1	7	25_40	0	0
2	M1_0	1	M1	8	5_11_18_20_24_29_32_33_38	0	0
2	M1_0	1	M1	9	36	0	0
2	M1_0	1	M1	10	30_34	0	0
2	M1_0	1	M1	11	21_27	0	0
2	M1_0	1	M1	12	19	0	0
2	M1_0	1	M1	13	16	0	0
2	M1_0	1	M1	14	15	0	0
2	M1_0	1	M1	15	14	0	0
