5 #anatomical sites
5 #samples
9 #mutations
#sample_index	sample_label	anatomical_site_index	anatomical_site_label	character_index	character_label	f_lb	f_ub	ref	var
0	P	0	P	0	0	0.6852694140779203	1	99	86
0	P	0	P	1	2;5;9;14;15;16;20;21;22	0.7175217643285241	0.8754557656775982	1087	718
0	P	0	P	2	27;29	0.46997790681844986	0.7761459339558433	292	130
0	P	0	P	3	49;56	0.3031801366352741	0.5852032686268682	311	86
0	P	0	P	4	23;36;37;39;51	0.0	0.010395004767085742	959	0
0	P	0	P	5	30	0.0	0.051281369987653216	192	0
0	P	0	P	6	55	0.0	0.05586504016981719	176	0
0	P	0	P	7	59	0.0	0.051545699831482585	191	0
0	P	0	P	8	63;65	0.0	0.02403839175040396	413	0
0	P	0	P	9	24;34;40;46	0.0	0.012315261573878782	809	0
0	P	0	P	10	38;42	0.0	0.024937577930052794	398	0
0	P	0	P	12	41;45	0.0	0.02433082787288536	408	0
0	P	0	P	13	7;12;17	0.0	0.016207434073311204	614	0
0	P	0	P	14	1	0.5455542394884151	1	111	71
1	M1	1	M1	0	0	0.8009245401632297	1	97	105
1	M1	1	M1	1	2;5;9;14;15;16;20;21;22	0.18117899051431843	0.285341611659237	1564	203
1	M1	1	M1	2	27;29	0.1884369605923103	0.44098277085423304	317	56
1	M1	1	M1	3	49;56	0.0	0.023923376186563216	415	0
1	M1	1	M1	4	23;36;37;39;51	0.14425166502792325	0.27537646277045214	900	102
1	M1	1	M1	5	30	0.0	0.06211058810927089	158	0
1	M1	1	M1	6	55	0.0	0.05319072880421345	185	0
1	M1	1	M1	7	59	0.0	0.05208261948653281	189	0
1	M1	1	M1	8	63;65	0.0	0.025062577531555663	396	0
1	M1	1	M1	9	24;34;40;46	0.0	0.011990399033853653	831	0
1	M1	1	M1	10	38;42	0.0	0.025773109832985648	385	0
1	M1	1	M1	12	41;45	0.0	0.023255750772334327	427	0
1	M1	1	M1	13	7;12;17	0.0	0.017825283522477253	558	0
1	M1	1	M1	14	1	0.8277011252365354	1	90	104
2	M2	2	M2	0	0	0.6057317649712418	1	121	86
2	M2	2	M2	1	2;5;9;14;15;16;20;21;22	0.0	0.005364806094097083	1861	0
2	M2	2	M2	2	27;29	0.0	0.02358483975451913	421	0
2	M2	2	M2	3	49;56	0.0	0.02352934632370017	422	0
2	M2	2	M2	4	23;36;37;39;51	0.0	0.009950243820656759	1002	0
2	M2	2	M2	5	30	0.0	0.059879152992020825	164	0
2	M2	2	M2	6	55	0.0	0.045248401328874505	218	0
2	M2	2	M2	7	59	0.0	0.05076076063477424	194	0
2	M2	2	M2	8	63;65	0.0	0.024937577930052794	398	0
2	M2	2	M2	9	24;34;40;46	0.0	0.012330446830095662	808	0
2	M2	2	M2	10	38;42	0.0	0.024691282384448232	402	0
2	M2	2	M2	12	41;45	0.0	0.02597393790005811	382	0
2	M2	2	M2	13	7;12;17	0.8392033875319331	1	335	317
2	M2	2	M2	14	1	0.0	0.05290930440355724	186	0
3	M3	3	M3	0	0	0.721092386609854	1	106	97
3	M3	3	M3	1	2;5;9;14;15;16;20;21;22	0.9093690631210517	1	922	903
3	M3	3	M3	2	27;29	0.0	0.02358483975451913	421	0
3	M3	3	M3	3	49;56	0.0	0.02544520982549987	390	0
3	M3	3	M3	4	23;36;37;39;51	0.0	0.010224943519236293	975	0
3	M3	3	M3	5	30	0.7178062448351163	1	111	100
3	M3	3	M3	6	55	0.0	0.059879152992020825	164	0
3	M3	3	M3	7	59	0.0	0.05319072880421345	185	0
3	M3	3	M3	8	63;65	0.0	0.023866280151308063	416	0
3	M3	3	M3	9	24;34;40;46	0.0	0.012269929391313878	812	0
3	M3	3	M3	10	38;42	0.0	0.02267567839800537	438	0
3	M3	3	M3	12	41;45	0.8592319878421711	1	163	178
3	M3	3	M3	13	7;12;17	0.0	0.016474442149535126	604	0
3	M3	3	M3	14	1	0.7691967679076704	1	97	99
4	M4	4	M4	0	0	0.7025478907320669	1	121	104
4	M4	4	M4	1	2;5;9;14;15;16;20;21;22	0.0	0.005727375920949154	1743	0
4	M4	4	M4	2	27;29	0.0	0.025062577531555663	396	0
4	M4	4	M4	3	49;56	0.0	0.02544520982549987	390	0
4	M4	4	M4	4	23;36;37;39;51	0.0	0.009708733279470465	1027	0
4	M4	4	M4	5	30	0.0	0.046082455447342	214	0
4	M4	4	M4	6	55	0.5722818072513292	1	111	75
4	M4	4	M4	7	59	0.16201295869223664	0.5079695522980642	170	31
4	M4	4	M4	8	63;65	0.0	0.02463046679013666	403	0
4	M4	4	M4	9	24;34;40;46	0.8637846895419997	1	396	385
4	M4	4	M4	10	38;42	0.0	0.02358483975451913	421	0
4	M4	4	M4	12	41;45	0.0	0.02518883656284027	394	0
4	M4	4	M4	13	7;12;17	0.0	0.01706482148416093	583	0
4	M4	4	M4	14	1	0.6779978359172169	1	113	94
5	M5	5	M5	0	0	0.7816830370428062	1	99	103
5	M5	5	M5	1	2;5;9;14;15;16;20;21;22	0.9189012056416836	1	880	881
5	M5	5	M5	2	27;29	0.0	0.02544520982549987	390	0
5	M5	5	M5	3	49;56	0.0	0.02499992148278196	397	0
5	M5	5	M5	4	23;36;37;39;51	0.0	0.009990004995003746	998	0
5	M5	5	M5	5	30	0.6645853501063216	1	109	89
5	M5	5	M5	6	55	0.0	0.046295795522400304	213	0
5	M5	5	M5	7	59	0.0	0.05405325575459152	182	0
