5 #anatomical sites
6 #samples
13 #characters
#sample_index	sample_label	anatomical_site_index	anatomical_site_label	character_index	character_label	f-	f+
0	P_0	0	P	0	43_47_51_54_57_61_63	0	0
0	P_0	0	P	1	8_11_13_23_25_28_34_35_40_41_52	0.264659	0.323884
0	P_0	0	P	2	42_45_48	0	0
0	P_0	0	P	3	44	0	0
0	P_0	0	P	4	24_29_31_33_38	0	0
0	P_0	0	P	5	37	0	0
0	P_0	0	P	6	6_15_17_26_27_30_32	0.083301	0.130795
0	P_0	0	P	7	5_7_10_14_18_19_22	0	0
0	P_0	0	P	8	20_21	0	0
0	P_0	0	P	9	9_12_16	0	0
0	P_0	0	P	10	4	0.0835191	0.233106
0	P_0	0	P	11	3	0.398198	0.618097
0	P_0	0	P	12	0_1_2	0.929368	1
1	P_1	0	P	0	43_47_51_54_57_61_63	0	0
1	P_1	0	P	1	8_11_13_23_25_28_34_35_40_41_52	0	0
1	P_1	0	P	2	42_45_48	0	0
1	P_1	0	P	3	44	0	0
1	P_1	0	P	4	24_29_31_33_38	0	0
1	P_1	0	P	5	37	0.0283711	0.128301
1	P_1	0	P	6	6_15_17_26_27_30_32	0.992272	1
1	P_1	0	P	7	5_7_10_14_18_19_22	0	0
1	P_1	0	P	8	20_21	0	0
1	P_1	0	P	9	9_12_16	0	0
1	P_1	0	P	10	4	0.950473	1
1	P_1	0	P	11	3	0	0
1	P_1	0	P	12	0_1_2	0.934664	1
2	M1_0	1	M1	0	43_47_51_54_57_61_63	0	0
2	M1_0	1	M1	1	8_11_13_23_25_28_34_35_40_41_52	0	0
2	M1_0	1	M1	2	42_45_48	0	0
2	M1_0	1	M1	3	44	0.718007	0.999143
2	M1_0	1	M1	4	24_29_31_33_38	0	0
2	M1_0	1	M1	5	37	0	0
2	M1_0	1	M1	6	6_15_17_26_27_30_32	0.719719	0.821557
2	M1_0	1	M1	7	5_7_10_14_18_19_22	0	0
2	M1_0	1	M1	8	20_21	0.171749	0.304294
2	M1_0	1	M1	9	9_12_16	0.191795	0.296245
2	M1_0	1	M1	10	4	0.839597	1
2	M1_0	1	M1	11	3	0	0
2	M1_0	1	M1	12	0_1_2	0.81662	0.972484
3	M2_0	2	M2	0	43_47_51_54_57_61_63	0	0
3	M2_0	2	M2	1	8_11_13_23_25_28_34_35_40_41_52	0	0
3	M2_0	2	M2	2	42_45_48	0	0
3	M2_0	2	M2	3	44	0	0
3	M2_0	2	M2	4	24_29_31_33_38	0.77442	0.896534
3	M2_0	2	M2	5	37	0	0
3	M2_0	2	M2	6	6_15_17_26_27_30_32	0.133292	0.189124
3	M2_0	2	M2	7	5_7_10_14_18_19_22	0	0
3	M2_0	2	M2	8	20_21	0	0
3	M2_0	2	M2	9	9_12_16	0.749626	0.900245
3	M2_0	2	M2	10	4	0.876264	1
3	M2_0	2	M2	11	3	0	0
3	M2_0	2	M2	12	0_1_2	0.856655	1
4	M3_0	3	M3	0	43_47_51_54_57_61_63	0.463915	0.554196
4	M3_0	3	M3	1	8_11_13_23_25_28_34_35_40_41_52	0	0
4	M3_0	3	M3	2	42_45_48	0	0
4	M3_0	3	M3	3	44	0	0
4	M3_0	3	M3	4	24_29_31_33_38	0.970997	1
4	M3_0	3	M3	5	37	0	0
4	M3_0	3	M3	6	6_15_17_26_27_30_32	0	0
4	M3_0	3	M3	7	5_7_10_14_18_19_22	0	0
4	M3_0	3	M3	8	20_21	0	0
4	M3_0	3	M3	9	9_12_16	0.941234	1
4	M3_0	3	M3	10	4	0.915965	1
4	M3_0	3	M3	11	3	0	0
4	M3_0	3	M3	12	0_1_2	0.869485	1
5	M4_0	4	M4	0	43_47_51_54_57_61_63	0	0
5	M4_0	4	M4	1	8_11_13_23_25_28_34_35_40_41_52	0	0
5	M4_0	4	M4	2	42_45_48	0.12393	0.212486
5	M4_0	4	M4	3	44	0	0
5	M4_0	4	M4	4	24_29_31_33_38	0	0
5	M4_0	4	M4	5	37	0	0
5	M4_0	4	M4	6	6_15_17_26_27_30_32	0	0
5	M4_0	4	M4	7	5_7_10_14_18_19_22	0.91609	1
5	M4_0	4	M4	8	20_21	0	0
5	M4_0	4	M4	9	9_12_16	0	0
5	M4_0	4	M4	10	4	0	0
5	M4_0	4	M4	11	3	0.830802	1
5	M4_0	4	M4	12	0_1_2	0.900537	1
