5 #anatomical sites
5 #samples
11 #mutations
#sample_index	sample_label	anatomical_site_index	anatomical_site_label	character_index	character_label	f_lb	f_ub	ref	var
0	P	0	P	0	0	0.8428418579122646	1	212	213
0	P	0	P	1	1	0.04756724255261921	0.20582587420250978	347	20
0	P	0	P	2	3	0.7039776928384043	1	218	167
0	P	0	P	3	8	0.0	0.025773109832985648	385	0
0	P	0	P	4	4;19;20;32;33;34;40;44;46;47;48	0.05640782064930015	0.09434408933982091	4202	161
0	P	0	P	5	49	0.0	0.02777767001235207	357	0
0	P	0	P	6	13;15;27;28;31;37;39;41;42;50	0.0	0.0025380709841995425	3937	0
0	P	0	P	7	51;52	0.042583829176417065	0.13602088872048398	760	32
0	P	0	P	8	9;10;11;12;14;16;17;18;21;22;24;26;29;30;35;36;38;43;45;55;56;57;60;62;67	0.0	0.001005935011507349	9938	0
0	P	0	P	9	58;63;65;66;70	0.0	0.005047954934184682	1978	0
0	P	0	P	10	53;54;71	0.0	0.008051527176664242	1239	0
1	M1	1	M1	0	0	0.7336750541665364	1	106	98
1	M1	1	M1	1	1	0.0	0.049260480109571674	200	0
1	M1	1	M1	2	3	0.7579986287045133	1	95	94
1	M1	1	M1	3	8	0.0	0.055554688604008556	177	0
1	M1	1	M1	4	4;19;20;32;33;34;40;44;46;47;48	0.9531741660515882	1	1098	1150
1	M1	1	M1	5	49	0.6398751280622506	1	108	83
1	M1	1	M1	6	13;15;27;28;31;37;39;41;42;50	0.0	0.004916420250860864	2031	0
1	M1	1	M1	7	51;52	0.0	0.022573305658500402	440	0
1	M1	1	M1	8	9;10;11;12;14;16;17;18;21;22;24;26;29;30;35;36;38;43;45;55;56;57;60;62;67	0.0	0.0020454080161034344	4886	0
1	M1	1	M1	9	58;63;65;66;70	0.0	0.009442866414708944	1056	0
1	M1	1	M1	10	53;54;71	0.0	0.01607714957325595	619	0
2	M2	2	M2	0	0	0.8330834921213229	1	83	97
2	M2	2	M2	1	1	0.7981902513368573	1	90	97
2	M2	2	M2	2	3	0.0	0.046511120090990454	212	0
2	M2	2	M2	3	8	0.5910215113285138	1	115	79
2	M2	2	M2	4	4;19;20;32;33;34;40;44;46;47;48	0.0	0.004646839646533307	2149	0
2	M2	2	M2	5	49	0.0	0.052355295784741844	188	0
2	M2	2	M2	6	13;15;27;28;31;37;39;41;42;50	0.0	0.005050504405722533	1977	0
2	M2	2	M2	7	51;52	0.0	0.024813819007751647	400	0
2	M2	2	M2	8	9;10;11;12;14;16;17;18;21;22;24;26;29;30;35;36;38;43;45;55;56;57;60;62;67	0.4388683262669451	0.5187686339731119	3811	1197
2	M2	2	M2	9	58;63;65;66;70	0.0	0.010050246170305897	992	0
2	M2	2	M2	10	53;54;71	0.0	0.017825283522477253	558	0
3	M3	3	M3	0	0	0.7392496311466304	1	106	99
3	M3	3	M3	1	1	0.7478349896676724	1	100	96
3	M3	3	M3	2	3	0.0	0.045044583903016654	219	0
3	M3	3	M3	3	8	0.8239008067328146	1	96	107
3	M3	3	M3	4	4;19;20;32;33;34;40;44;46;47;48	0.0	0.0044424695745649175	2248	0
3	M3	3	M3	5	49	0.0	0.051812768732640443	190	0
3	M3	3	M3	6	13;15;27;28;31;37;39;41;42;50	0.9669873515563618	1	935	1017
3	M3	3	M3	7	51;52	0.0	0.02680955460748006	370	0
3	M3	3	M3	8	9;10;11;12;14;16;17;18;21;22;24;26;29;30;35;36;38;43;45;55;56;57;60;62;67	0.0	0.001985308676364739	5034	0
3	M3	3	M3	9	58;63;65;66;70	0.08689301279425568	0.1908818383817722	943	67
3	M3	3	M3	10	53;54;71	0.0	0.01574801190680286	632	0
4	M4	4	M4	0	0	0.7434127902722989	1	109	102
4	M4	4	M4	1	1	0.0	0.04716928156989335	209	0
4	M4	4	M4	2	3	0.7489422037722677	1	105	100
4	M4	4	M4	3	8	0.0	0.05780249126182617	170	0
4	M4	4	M4	4	4;19;20;32;33;34;40;44;46;47;48	0.9138823985901584	1	1093	1061
4	M4	4	M4	5	49	0.74069096766844	1	95	91
4	M4	4	M4	6	13;15;27;28;31;37;39;41;42;50	0.0	0.004997500624687617	1998	0
4	M4	4	M4	7	51;52	0.0	0.025575363495744685	388	0
4	M4	4	M4	8	9;10;11;12;14;16;17;18;21;22;24;26;29;30;35;36;38;43;45;55;56;57;60;62;67	0.0	0.002015316363732993	4959	0
4	M4	4	M4	9	58;63;65;66;70	0.0	0.009852211957746555	1012	0
4	M4	4	M4	10	53;54;71	0.6916199628489883	0.9611411227585631	341	239
