5 #anatomical sites
15 #samples
15 #characters
#sample_index	sample_label	anatomical_site_index	anatomical_site_label	character_index	character_label	f-	f+
0	P_2	0	P	0	37	0	0
0	P_2	0	P	1	36	0	0
0	P_2	0	P	2	8_11_13_14_19_35	0	0
0	P_2	0	P	3	31_34	0	0
0	P_2	0	P	4	33	0	0
0	P_2	0	P	5	32	0	0
0	P_2	0	P	6	4_10_12_16_24_26_28	0	0
0	P_2	0	P	7	27	0	0
0	P_2	0	P	8	25	0	0
0	P_2	0	P	9	21_23	0	0
0	P_2	0	P	10	18	0.128235	0.297429
0	P_2	0	P	11	0_2_5_9_15_17	0.285962	0.36661
0	P_2	0	P	12	3_7	0	0
0	P_2	0	P	13	6	0	0
0	P_2	0	P	14	1	0	0
1	P_1	0	P	0	37	0	0
1	P_1	0	P	1	36	0	0
1	P_1	0	P	2	8_11_13_14_19_35	0	0
1	P_1	0	P	3	31_34	0	0
1	P_1	0	P	4	33	0	0
1	P_1	0	P	5	32	0	0
1	P_1	0	P	6	4_10_12_16_24_26_28	0	0
1	P_1	0	P	7	27	0	0
1	P_1	0	P	8	25	0	0
1	P_1	0	P	9	21_23	0	0
1	P_1	0	P	10	18	0.0995801	0.250885
1	P_1	0	P	11	0_2_5_9_15_17	0.288633	0.373909
1	P_1	0	P	12	3_7	0	0
1	P_1	0	P	13	6	0	0
1	P_1	0	P	14	1	0.0422002	0.156891
2	P_0	0	P	0	37	0	0
2	P_0	0	P	1	36	0	0
2	P_0	0	P	2	8_11_13_14_19_35	0	0
2	P_0	0	P	3	31_34	0	0
2	P_0	0	P	4	33	0	0
2	P_0	0	P	5	32	0	0
2	P_0	0	P	6	4_10_12_16_24_26_28	0	0
2	P_0	0	P	7	27	0	0
2	P_0	0	P	8	25	0	0
2	P_0	0	P	9	21_23	0	0
2	P_0	0	P	10	18	0.0472927	0.175193
2	P_0	0	P	11	0_2_5_9_15_17	0.453112	0.549208
2	P_0	0	P	12	3_7	0	0
2	P_0	0	P	13	6	0	0
2	P_0	0	P	14	1	0.100592	0.25333
3	M1_2	1	M1	0	37	0	0
3	M1_2	1	M1	1	36	0	0
3	M1_2	1	M1	2	8_11_13_14_19_35	0	0
3	M1_2	1	M1	3	31_34	0	0
3	M1_2	1	M1	4	33	0	0
3	M1_2	1	M1	5	32	0	0
3	M1_2	1	M1	6	4_10_12_16_24_26_28	0	0
3	M1_2	1	M1	7	27	0	0
3	M1_2	1	M1	8	25	0.324255	0.549046
3	M1_2	1	M1	9	21_23	0	0
3	M1_2	1	M1	10	18	0.359066	0.584942
3	M1_2	1	M1	11	0_2_5_9_15_17	0.39834	0.493478
3	M1_2	1	M1	12	3_7	0.109614	0.214299
3	M1_2	1	M1	13	6	0.0101363	0.080101
