6 #anatomical sites
18 #samples
23 #characters
#sample_index	sample_label	anatomical_site_index	anatomical_site_label	character_index	character_label	f-	f+
0	P_0	0	P	0	53	0	0
0	P_0	0	P	1	51	0	0
0	P_0	0	P	2	33_49	0	0
0	P_0	0	P	3	44_48	0	0
0	P_0	0	P	4	47	0	0
0	P_0	0	P	5	36_45	0	0
0	P_0	0	P	6	38_42_43	0	0
0	P_0	0	P	7	40	0	0
0	P_0	0	P	8	39	0	0
0	P_0	0	P	9	37	0	0
0	P_0	0	P	10	23_32_35	0	0
0	P_0	0	P	11	31	0	0
0	P_0	0	P	12	26_28	0	0
0	P_0	0	P	13	25	0	0
0	P_0	0	P	14	2_13_17_19_20_22	0	0
0	P_0	0	P	15	16_18	0	0
0	P_0	0	P	16	12_15	0	0
0	P_0	0	P	17	9	0.291554	0.317659
0	P_0	0	P	18	7	0.230259	0.254382
0	P_0	0	P	19	6	0.470692	0.499982
0	P_0	0	P	20	3_5	0.212753	0.22912
0	P_0	0	P	21	1	0.0923975	0.109083
0	P_0	0	P	22	0	0.642084	0.672301
1	P_1	0	P	0	53	0	0
1	P_1	0	P	1	51	0	0
1	P_1	0	P	2	33_49	0	0
1	P_1	0	P	3	44_48	0	0
1	P_1	0	P	4	47	0	0
1	P_1	0	P	5	36_45	0	0
1	P_1	0	P	6	38_42_43	0	0
1	P_1	0	P	7	40	0	0
1	P_1	0	P	8	39	0	0
1	P_1	0	P	9	37	0	0
1	P_1	0	P	10	23_32_35	0	0
1	P_1	0	P	11	31	0	0
1	P_1	0	P	12	26_28	0	0
1	P_1	0	P	13	25	0	0
1	P_1	0	P	14	2_13_17_19_20_22	0	0
1	P_1	0	P	15	16_18	0	0
1	P_1	0	P	16	12_15	0	0
1	P_1	0	P	17	9	0	0
1	P_1	0	P	18	7	0	0
1	P_1	0	P	19	6	0	0
1	P_1	0	P	20	3_5	0.343184	0.362298
1	P_1	0	P	21	1	0.341384	0.368526
1	P_1	0	P	22	0	0.653086	0.683487
2	P_2	0	P	0	53	0	0
2	P_2	0	P	1	51	0	0
2	P_2	0	P	2	33_49	0	0
2	P_2	0	P	3	44_48	0	0
2	P_2	0	P	4	47	0	0
2	P_2	0	P	5	36_45	0	0
2	P_2	0	P	6	38_42_43	0	0
2	P_2	0	P	7	40	0	0
2	P_2	0	P	8	39	0	0
2	P_2	0	P	9	37	0	0
2	P_2	0	P	10	23_32_35	0	0
2	P_2	0	P	11	31	0	0
2	P_2	0	P	12	26_28	0	0
2	P_2	0	P	13	25	0	0
2	P_2	0	P	14	2_13_17_19_20_22	0	0
2	P_2	0	P	15	16_18	0	0
2	P_2	0	P	16	12_15	0	0
2	P_2	0	P	17	9	0	0
2	P_2	0	P	18	7	0	0
2	P_2	0	P	19	6	0.650531	0.680591
2	P_2	0	P	20	3_5	0	0
2	P_2	0	P	21	1	0	0
2	P_2	0	P	22	0	0.650816	0.681163
3	M1_0	1	M1	0	53	0	0
3	M1_0	1	M1	1	51	0	0
3	M1_0	1	M1	2	33_49	0	0
3	M1_0	1	M1	3	44_48	0.226936	0.243645
3	M1_0	1	M1	4	47	0	0
3	M1_0	1	M1	5	36_45	0	0
3	M1_0	1	M1	6	38_42_43	0	0
3	M1_0	1	M1	7	40	0.525243	0.554817
3	M1_0	1	M1	8	39	0	0
3	M1_0	1	M1	9	37	0.223137	0.246935
3	M1_0	1	M1	10	23_32_35	0	0
3	M1_0	1	M1	11	31	0	0
3	M1_0	1	M1	12	26_28	0.656284	0.677532
3	M1_0	1	M1	13	25	0	0
3	M1_0	1	M1	14	2_13_17_19_20_22	0.660833	0.673135
3	M1_0	1	M1	15	16_18	0	0
3	M1_0	1	M1	16	12_15	0	0
3	M1_0	1	M1	17	9	0	0
3	M1_0	1	M1	18	7	0	0
3	M1_0	1	M1	19	6	0	0
3	M1_0	1	M1	20	3_5	0	0
3	M1_0	1	M1	21	1	0	0
3	M1_0	1	M1	22	0	0.645345	0.675747
4	M1_1	1	M1	0	53	0	0
4	M1_1	1	M1	1	51	0.478682	0.507798
4	M1_1	1	M1	2	33_49	0	0
4	M1_1	1	M1	3	44_48	0.47199	0.492673
4	M1_1	1	M1	4	47	0	0
4	M1_1	1	M1	5	36_45	0	0
4	M1_1	1	M1	6	38_42_43	0	0
4	M1_1	1	M1	7	40	0.298948	0.324915
4	M1_1	1	M1	8	39	0	0
4	M1_1	1	M1	9	37	0.470592	0.500076
4	M1_1	1	M1	10	23_32_35	0	0
4	M1_1	1	M1	11	31	0	0
4	M1_1	1	M1	12	26_28	0.654678	0.676026
4	M1_1	1	M1	13	25	0	0
4	M1_1	1	M1	14	2_13_17_19_20_22	0.659652	0.672022
4	M1_1	1	M1	15	16_18	0	0
4	M1_1	1	M1	16	12_15	0	0
4	M1_1	1	M1	17	9	0	0
4	M1_1	1	M1	18	7	0	0
4	M1_1	1	M1	19	6	0	0
4	M1_1	1	M1	20	3_5	0	0
4	M1_1	1	M1	21	1	0	0
4	M1_1	1	M1	22	0	0.655679	0.685743
5	M1_2	1	M1	0	53	0	0
5	M1_2	1	M1	1	51	0	0
5	M1_2	1	M1	2	33_49	0	0
5	M1_2	1	M1	3	44_48	0.584287	0.605554
5	M1_2	1	M1	4	47	0	0
5	M1_2	1	M1	5	36_45	0	0
5	M1_2	1	M1	6	38_42_43	0	0
5	M1_2	1	M1	7	40	0.140721	0.160592
5	M1_2	1	M1	8	39	0	0
5	M1_2	1	M1	9	37	0.57825	0.608364
5	M1_2	1	M1	10	23_32_35	0	0
5	M1_2	1	M1	11	31	0	0
5	M1_2	1	M1	12	26_28	0.660558	0.681916
5	M1_2	1	M1	13	25	0	0
5	M1_2	1	M1	14	2_13_17_19_20_22	0.660356	0.672638
5	M1_2	1	M1	15	16_18	0	0
5	M1_2	1	M1	16	12_15	0	0
5	M1_2	1	M1	17	9	0	0
5	M1_2	1	M1	18	7	0	0
5	M1_2	1	M1	19	6	0	0
5	M1_2	1	M1	20	3_5	0	0
5	M1_2	1	M1	21	1	0	0
5	M1_2	1	M1	22	0	0.660191	0.690399
6	M2_0	2	M2	0	53	0	0
6	M2_0	2	M2	1	51	0	0
6	M2_0	2	M2	2	33_49	0	0
6	M2_0	2	M2	3	44_48	0	0
6	M2_0	2	M2	4	47	0	0
6	M2_0	2	M2	5	36_45	0	0
6	M2_0	2	M2	6	38_42_43	0	0
6	M2_0	2	M2	7	40	0	0
6	M2_0	2	M2	8	39	0.381078	0.408917
6	M2_0	2	M2	9	37	0.264666	0.289938
6	M2_0	2	M2	10	23_32_35	0	0
6	M2_0	2	M2	11	31	0	0
6	M2_0	2	M2	12	26_28	0.265047	0.28282
6	M2_0	2	M2	13	25	0	0
6	M2_0	2	M2	14	2_13_17_19_20_22	0.266326	0.276526
6	M2_0	2	M2	15	16_18	0	0
6	M2_0	2	M2	16	12_15	0.498577	0.519481
6	M2_0	2	M2	17	9	0	0
6	M2_0	2	M2	18	7	0.497001	0.526517
6	M2_0	2	M2	19	6	0.49039	0.519851
6	M2_0	2	M2	20	3_5	0	0
6	M2_0	2	M2	21	1	0	0
6	M2_0	2	M2	22	0	0.644819	0.675007
7	M2_1	2	M2	0	53	0	0
7	M2_1	2	M2	1	51	0	0
7	M2_1	2	M2	2	33_49	0.139733	0.153683
7	M2_1	2	M2	3	44_48	0	0
7	M2_1	2	M2	4	47	0.449617	0.478928
7	M2_1	2	M2	5	36_45	0	0
7	M2_1	2	M2	6	38_42_43	0	0
7	M2_1	2	M2	7	40	0	0
7	M2_1	2	M2	8	39	0	0
7	M2_1	2	M2	9	37	0.45021	0.479208
7	M2_1	2	M2	10	23_32_35	0	0
7	M2_1	2	M2	11	31	0	0
7	M2_1	2	M2	12	26_28	0.654414	0.675791
7	M2_1	2	M2	13	25	0	0
7	M2_1	2	M2	14	2_13_17_19_20_22	0.659824	0.672108
7	M2_1	2	M2	15	16_18	0	0
7	M2_1	2	M2	16	12_15	0	0
7	M2_1	2	M2	17	9	0	0
7	M2_1	2	M2	18	7	0	0
7	M2_1	2	M2	19	6	0	0
7	M2_1	2	M2	20	3_5	0	0
7	M2_1	2	M2	21	1	0	0
7	M2_1	2	M2	22	0	0.653375	0.683607
8	M2_2	2	M2	0	53	0	0
8	M2_2	2	M2	1	51	0	0
8	M2_2	2	M2	2	33_49	0	0
8	M2_2	2	M2	3	44_48	0	0
8	M2_2	2	M2	4	47	0.156997	0.177897
8	M2_2	2	M2	5	36_45	0	0
8	M2_2	2	M2	6	38_42_43	0	0
8	M2_2	2	M2	7	40	0	0
8	M2_2	2	M2	8	39	0.146377	0.166454
