5 #anatomical sites
15 #samples
18 #characters
#sample_index	sample_label	anatomical_site_index	anatomical_site_label	character_index	character_label	f-	f+
0	P_0	0	P	0	46_47_56_69_74	0	0
0	P_0	0	P	1	73	0	0
0	P_0	0	P	2	71	0	0
0	P_0	0	P	3	51_55_68	0	0
0	P_0	0	P	4	44_53_57_58_59_63_65_67	0.345906	0.355473
0	P_0	0	P	5	50_64_66	0	0
0	P_0	0	P	6	62	0	0
0	P_0	0	P	7	60	0	0
0	P_0	0	P	8	54	0	0
0	P_0	0	P	9	52	0	0
0	P_0	0	P	10	48	0	0
0	P_0	0	P	11	2_5_7_13_14_17_20_22_23_24_27_28_40_41_43_45	0	0
0	P_0	0	P	12	9_15_19_26_32_37_39_42	0	0
0	P_0	0	P	13	36_38	0.3403	0.359503
0	P_0	0	P	14	8_16_18_29_34_35	0.658761	0.671093
0	P_0	0	P	15	3_4_6_10_11_12_21_25	0	0
0	P_0	0	P	16	1	0.659981	0.690384
0	P_0	0	P	17	0	0.65541	0.685675
1	P_1	0	P	0	46_47_56_69_74	0	0
1	P_1	0	P	1	73	0	0
1	P_1	0	P	2	71	0	0
1	P_1	0	P	3	51_55_68	0	0
1	P_1	0	P	4	44_53_57_58_59_63_65_67	0	0
1	P_1	0	P	5	50_64_66	0	0
1	P_1	0	P	6	62	0	0
1	P_1	0	P	7	60	0	0
1	P_1	0	P	8	54	0	0
1	P_1	0	P	9	52	0	0
1	P_1	0	P	10	48	0.126393	0.145474
1	P_1	0	P	11	2_5_7_13_14_17_20_22_23_24_27_28_40_41_43_45	0.662115	0.669673
1	P_1	0	P	12	9_15_19_26_32_37_39_42	0	0
1	P_1	0	P	13	36_38	0	0
1	P_1	0	P	14	8_16_18_29_34_35	0	0
1	P_1	0	P	15	3_4_6_10_11_12_21_25	0	0
1	P_1	0	P	16	1	0.653489	0.683895
1	P_1	0	P	17	0	0.648572	0.67897
2	P_2	0	P	0	46_47_56_69_74	0	0
2	P_2	0	P	1	73	0	0
2	P_2	0	P	2	71	0	0
2	P_2	0	P	3	51_55_68	0	0
2	P_2	0	P	4	44_53_57_58_59_63_65_67	0.137706	0.14455
2	P_2	0	P	5	50_64_66	0	0
