5 #anatomical sites
5 #samples
7 #characters
#sample_index	sample_label	anatomical_site_index	anatomical_site_label	character_index	character_label	f-	f+
0	P_2	0	P	0	37_38_40	0.0709812	0.14169
0	P_2	0	P	1	36_39	0	0
0	P_2	0	P	2	22_33_35	0	0
0	P_2	0	P	3	2_3_7_15_24_26_29_32	0.0685309	0.1089
0	P_2	0	P	4	5_8_9_21_23_25_27_28_30	0	0
0	P_2	0	P	5	6_10_11_14_18_19	0	0
0	P_2	0	P	6	0_1	0.233963	0.367091
1	M1_0	1	M1	0	37_38_40	0	0
1	M1_0	1	M1	1	36_39	0	0
1	M1_0	1	M1	2	22_33_35	0	0
1	M1_0	1	M1	3	2_3_7_15_24_26_29_32	0	0
1	M1_0	1	M1	4	5_8_9_21_23_25_27_28_30	0	0
1	M1_0	1	M1	5	6_10_11_14_18_19	0.256724	0.337886
1	M1_0	1	M1	6	0_1	0.182669	0.313075
2	M2_0	2	M2	0	37_38_40	0	0
2	M2_0	2	M2	1	36_39	0	0
2	M2_0	2	M2	2	22_33_35	0.0800447	0.153048
2	M2_0	2	M2	3	2_3_7_15_24_26_29_32	0.242095	0.309364
2	M2_0	2	M2	4	5_8_9_21_23_25_27_28_30	0	0
2	M2_0	2	M2	5	6_10_11_14_18_19	0	0
2	M2_0	2	M2	6	0_1	0.286255	0.432125
3	M3_1	3	M3	0	37_38_40	0	0
3	M3_1	3	M3	1	36_39	0	0
3	M3_1	3	M3	2	22_33_35	0	0
3	M3_1	3	M3	3	2_3_7_15_24_26_29_32	0	0
3	M3_1	3	M3	4	5_8_9_21_23_25_27_28_30	0.305358	0.374478
3	M3_1	3	M3	5	6_10_11_14_18_19	0	0
3	M3_1	3	M3	6	0_1	0.266039	0.413837
4	M4_1	4	M4	0	37_38_40	0	0
4	M4_1	4	M4	1	36_39	0.278245	0.422875
4	M4_1	4	M4	2	22_33_35	0	0
4	M4_1	4	M4	3	2_3_7_15_24_26_29_32	0.290311	0.363179
4	M4_1	4	M4	4	5_8_9_21_23_25_27_28_30	0	0
4	M4_1	4	M4	5	6_10_11_14_18_19	0	0
4	M4_1	4	M4	6	0_1	0.311425	0.464695
