5 #anatomical sites
15 #samples
15 #characters
#sample_index	sample_label	anatomical_site_index	anatomical_site_label	character_index	character_label	f-	f+
0	P_0	0	P	0	18_25_26_44	0	0
0	P_0	0	P	1	27_28_29_33_43	0	0
0	P_0	0	P	2	40	0	0
0	P_0	0	P	3	36	0	0
0	P_0	0	P	4	32	0	0
0	P_0	0	P	5	31	0	0
0	P_0	0	P	6	30	0	0
0	P_0	0	P	7	6_23_24	0	0
0	P_0	0	P	8	7_9_12_15_19_22	0	0
0	P_0	0	P	9	17	0	0
0	P_0	0	P	10	4_5_10_13_16	0	0
0	P_0	0	P	11	8_11_14	0	0
0	P_0	0	P	12	2	0.119729	0.138342
0	P_0	0	P	13	1	0	0
0	P_0	0	P	14	0	0.646252	0.676603
1	P_1	0	P	0	18_25_26_44	0	0
1	P_1	0	P	1	27_28_29_33_43	0	0
1	P_1	0	P	2	40	0	0
1	P_1	0	P	3	36	0	0
1	P_1	0	P	4	32	0	0
1	P_1	0	P	5	31	0	0
1	P_1	0	P	6	30	0	0
1	P_1	0	P	7	6_23_24	0	0
1	P_1	0	P	8	7_9_12_15_19_22	0	0
1	P_1	0	P	9	17	0	0
1	P_1	0	P	10	4_5_10_13_16	0	0
1	P_1	0	P	11	8_11_14	0	0
1	P_1	0	P	12	2	0	0
1	P_1	0	P	13	1	0	0
1	P_1	0	P	14	0	0.656337	0.686636
2	P_2	0	P	0	18_25_26_44	0	0
2	P_2	0	P	1	27_28_29_33_43	0	0
2	P_2	0	P	2	40	0	0
2	P_2	0	P	3	36	0	0
2	P_2	0	P	4	32	0	0
2	P_2	0	P	5	31	0	0
2	P_2	0	P	6	30	0	0
2	P_2	0	P	7	6_23_24	0	0
2	P_2	0	P	8	7_9_12_15_19_22	0	0
2	P_2	0	P	9	17	0	0
2	P_2	0	P	10	4_5_10_13_16	0	0
2	P_2	0	P	11	8_11_14	0	0
2	P_2	0	P	12	2	0	0
2	P_2	0	P	13	1	0.417974	0.446651
2	P_2	0	P	14	0	0.654403	0.68476
3	M1_0	1	M1	0	18_25_26_44	0	0
3	M1_0	1	M1	1	27_28_29_33_43	0	0
3	M1_0	1	M1	2	40	0	0
3	M1_0	1	M1	3	36	0	0
3	M1_0	1	M1	4	32	0	0
3	M1_0	1	M1	5	31	0	0
3	M1_0	1	M1	6	30	0	0
3	M1_0	1	M1	7	6_23_24	0	0
3	M1_0	1	M1	8	7_9_12_15_19_22	0	0
3	M1_0	1	M1	9	17	0	0
3	M1_0	1	M1	10	4_5_10_13_16	0	0
3	M1_0	1	M1	11	8_11_14	0.65776	0.67513
3	M1_0	1	M1	12	2	0	0
3	M1_0	1	M1	13	1	0.647532	0.67775
3	M1_0	1	M1	14	0	0.648745	0.678829
4	M1_1	1	M1	0	18_25_26_44	0	0
4	M1_1	1	M1	1	27_28_29_33_43	0	0
4	M1_1	1	M1	2	40	0	0
4	M1_1	1	M1	3	36	0	0
4	M1_1	1	M1	4	32	0	0
4	M1_1	1	M1	5	31	0	0
4	M1_1	1	M1	6	30	0	0
4	M1_1	1	M1	7	6_23_24	0	0
4	M1_1	1	M1	8	7_9_12_15_19_22	0	0
4	M1_1	1	M1	9	17	0.207648	0.23084
4	M1_1	1	M1	10	4_5_10_13_16	0	0
4	M1_1	1	M1	11	8_11_14	0.656935	0.674352
4	M1_1	1	M1	12	2	0	0
4	M1_1	1	M1	13	1	0.643441	0.6737
4	M1_1	1	M1	14	0	0.650667	0.68072
5	M1_2	1	M1	0	18_25_26_44	0	0
5	M1_2	1	M1	1	27_28_29_33_43	0	0
5	M1_2	1	M1	2	40	0	0
5	M1_2	1	M1	3	36	0	0
5	M1_2	1	M1	4	32	0	0
5	M1_2	1	M1	5	31	0	0
5	M1_2	1	M1	6	30	0	0
5	M1_2	1	M1	7	6_23_24	0	0
5	M1_2	1	M1	8	7_9_12_15_19_22	0	0
5	M1_2	1	M1	9	17	0	0
5	M1_2	1	M1	10	4_5_10_13_16	0	0
5	M1_2	1	M1	11	8_11_14	0.65891	0.676275
5	M1_2	1	M1	12	2	0	0
5	M1_2	1	M1	13	1	0.649318	0.679683
5	M1_2	1	M1	14	0	0.655519	0.685889
6	M2_0	2	M2	0	18_25_26_44	0	0
6	M2_0	2	M2	1	27_28_29_33_43	0	0
6	M2_0	2	M2	2	40	0	0
6	M2_0	2	M2	3	36	0	0
6	M2_0	2	M2	4	32	0	0
6	M2_0	2	M2	5	31	0.255055	0.279935
6	M2_0	2	M2	6	30	0.141752	0.16167
6	M2_0	2	M2	7	6_23_24	0.494419	0.511355
6	M2_0	2	M2	8	7_9_12_15_19_22	0.268255	0.278482
6	M2_0	2	M2	9	17	0	0
6	M2_0	2	M2	10	4_5_10_13_16	0	0
6	M2_0	2	M2	11	8_11_14	0	0
6	M2_0	2	M2	12	2	0.257294	0.282265
6	M2_0	2	M2	13	1	0	0
6	M2_0	2	M2	14	0	0.651085	0.681349
7	M2_1	2	M2	0	18_25_26_44	0	0
7	M2_1	2	M2	1	27_28_29_33_43	0	0
7	M2_1	2	M2	2	40	0	0
7	M2_1	2	M2	3	36	0.320615	0.347138
7	M2_1	2	M2	4	32	0	0
7	M2_1	2	M2	5	31	0.312432	0.338921
7	M2_1	2	M2	6	30	0	0
7	M2_1	2	M2	7	6_23_24	0.518151	0.535287
7	M2_1	2	M2	8	7_9_12_15_19_22	0.241415	0.251298
7	M2_1	2	M2	9	17	0	0
7	M2_1	2	M2	10	4_5_10_13_16	0	0
7	M2_1	2	M2	11	8_11_14	0	0
7	M2_1	2	M2	12	2	0.236244	0.260558
7	M2_1	2	M2	13	1	0	0
7	M2_1	2	M2	14	0	0.648908	0.679211
8	M2_2	2	M2	0	18_25_26_44	0	0
8	M2_2	2	M2	1	27_28_29_33_43	0	0
8	M2_2	2	M2	2	40	0	0
8	M2_2	2	M2	3	36	0	0
8	M2_2	2	M2	4	32	0	0
8	M2_2	2	M2	5	31	0	0
8	M2_2	2	M2	6	30	0.195611	0.218191
8	M2_2	2	M2	7	6_23_24	0.54593	0.5631
8	M2_2	2	M2	8	7_9_12_15_19_22	0.20357	0.212824
8	M2_2	2	M2	9	17	0	0
8	M2_2	2	M2	10	4_5_10_13_16	0	0
8	M2_2	2	M2	11	8_11_14	0	0
8	M2_2	2	M2	12	2	0.194405	0.217167
8	M2_2	2	M2	13	1	0	0
8	M2_2	2	M2	14	0	0.654191	0.684512
9	M3_0	3	M3	0	18_25_26_44	0	0
9	M3_0	3	M3	1	27_28_29_33_43	0	0
9	M3_0	3	M3	2	40	0.143535	0.163628
9	M3_0	3	M3	3	36	0	0
9	M3_0	3	M3	4	32	0.188748	0.211128
9	M3_0	3	M3	5	31	0	0
9	M3_0	3	M3	6	30	0	0
9	M3_0	3	M3	7	6_23_24	0	0
9	M3_0	3	M3	8	7_9_12_15_19_22	0	0
9	M3_0	3	M3	9	17	0	0
9	M3_0	3	M3	10	4_5_10_13_16	0.662309	0.675782
9	M3_0	3	M3	11	8_11_14	0	0
9	M3_0	3	M3	12	2	0	0
9	M3_0	3	M3	13	1	0	0
9	M3_0	3	M3	14	0	0.645608	0.675768
10	M3_1	3	M3	0	18_25_26_44	0	0
10	M3_1	3	M3	1	27_28_29_33_43	0	0
10	M3_1	3	M3	2	40	0	0
10	M3_1	3	M3	3	36	0	0
10	M3_1	3	M3	4	32	0.290179	0.31588
10	M3_1	3	M3	5	31	0	0
10	M3_1	3	M3	6	30	0	0
10	M3_1	3	M3	7	6_23_24	0	0
10	M3_1	3	M3	8	7_9_12_15_19_22	0	0
10	M3_1	3	M3	9	17	0	0
10	M3_1	3	M3	10	4_5_10_13_16	0.658985	0.672508
10	M3_1	3	M3	11	8_11_14	0	0
10	M3_1	3	M3	12	2	0	0
10	M3_1	3	M3	13	1	0	0
10	M3_1	3	M3	14	0	0.649725	0.680016
11	M3_2	3	M3	0	18_25_26_44	0	0
11	M3_2	3	M3	1	27_28_29_33_43	0	0
11	M3_2	3	M3	2	40	0	0
11	M3_2	3	M3	3	36	0	0
11	M3_2	3	M3	4	32	0.198151	0.220821
11	M3_2	3	M3	5	31	0	0
11	M3_2	3	M3	6	30	0	0
11	M3_2	3	M3	7	6_23_24	0	0
11	M3_2	3	M3	8	7_9_12_15_19_22	0	0
11	M3_2	3	M3	9	17	0	0
11	M3_2	3	M3	10	4_5_10_13_16	0.659114	0.672587
