5 #anatomical sites
15 #samples
16 #characters
#sample_index	sample_label	anatomical_site_index	anatomical_site_label	character_index	character_label	f-	f+
0	P_2	0	P	0	74	0	0
0	P_2	0	P	1	72	0	0
0	P_2	0	P	2	70	0	0
0	P_2	0	P	3	69	0	0
0	P_2	0	P	4	24_27_30_35_36_38_40_47_52_55_63_67_68	0	0
0	P_2	0	P	5	10_11_16_22_23_28_34_41_45_59_65_66	0	0
0	P_2	0	P	6	58_62_64	0	0
0	P_2	0	P	7	57_60	0	0
0	P_2	0	P	8	12_17_19_37_43_44_46_53_56	0	0
0	P_2	0	P	9	39_42_48_49_50_51_54	0	0
0	P_2	0	P	10	7_14_18_20_32	0	0
0	P_2	0	P	11	4_8_9_13_15_21_25_26_29_31	0	0
0	P_2	0	P	12	3_6	0.207991	0.293477
0	P_2	0	P	13	2	0	0
0	P_2	0	P	14	1	0	0
0	P_2	0	P	15	0	0.432442	0.576326
1	P_1	0	P	0	74	0	0
1	P_1	0	P	1	72	0	0
1	P_1	0	P	2	70	0	0
1	P_1	0	P	3	69	0	0
1	P_1	0	P	4	24_27_30_35_36_38_40_47_52_55_63_67_68	0	0
1	P_1	0	P	5	10_11_16_22_23_28_34_41_45_59_65_66	0	0
1	P_1	0	P	6	58_62_64	0	0
1	P_1	0	P	7	57_60	0	0
1	P_1	0	P	8	12_17_19_37_43_44_46_53_56	0	0
1	P_1	0	P	9	39_42_48_49_50_51_54	0	0
1	P_1	0	P	10	7_14_18_20_32	0	0
1	P_1	0	P	11	4_8_9_13_15_21_25_26_29_31	0	0
1	P_1	0	P	12	3_6	0	0
1	P_1	0	P	13	2	0.0881661	0.171533
1	P_1	0	P	14	1	0.118405	0.215265
1	P_1	0	P	15	0	0.416396	0.570843
2	P_0	0	P	0	74	0	0
2	P_0	0	P	1	72	0	0
2	P_0	0	P	2	70	0	0
2	P_0	0	P	3	69	0	0
2	P_0	0	P	4	24_27_30_35_36_38_40_47_52_55_63_67_68	0	0
2	P_0	0	P	5	10_11_16_22_23_28_34_41_45_59_65_66	0	0
2	P_0	0	P	6	58_62_64	0	0
2	P_0	0	P	7	57_60	0	0
2	P_0	0	P	8	12_17_19_37_43_44_46_53_56	0	0
2	P_0	0	P	9	39_42_48_49_50_51_54	0	0
2	P_0	0	P	10	7_14_18_20_32	0	0
2	P_0	0	P	11	4_8_9_13_15_21_25_26_29_31	0	0
2	P_0	0	P	12	3_6	0	0
2	P_0	0	P	13	2	0	0
2	P_0	0	P	14	1	0.158914	0.266473
2	P_0	0	P	15	0	0.498421	0.650595
3	M1_2	1	M1	0	74	0	0
3	M1_2	1	M1	1	72	0	0
3	M1_2	1	M1	2	70	0	0
3	M1_2	1	M1	3	69	0	0
3	M1_2	1	M1	4	24_27_30_35_36_38_40_47_52_55_63_67_68	0	0
3	M1_2	1	M1	5	10_11_16_22_23_28_34_41_45_59_65_66	0	0
3	M1_2	1	M1	6	58_62_64	0	0
3	M1_2	1	M1	7	57_60	0	0
3	M1_2	1	M1	8	12_17_19_37_43_44_46_53_56	0	0
3	M1_2	1	M1	9	39_42_48_49_50_51_54	0	0
3	M1_2	1	M1	10	7_14_18_20_32	0.316707	0.376228
3	M1_2	1	M1	11	4_8_9_13_15_21_25_26_29_31	0.315092	0.356641
3	M1_2	1	M1	12	3_6	0	0
3	M1_2	1	M1	13	2	0	0
3	M1_2	1	M1	14	1	0.237816	0.357826
3	M1_2	1	M1	15	0	0.475941	0.629456
4	M1_1	1	M1	0	74	0	0
4	M1_1	1	M1	1	72	0	0
4	M1_1	1	M1	2	70	0	0
4	M1_1	1	M1	3	69	0	0
4	M1_1	1	M1	4	24_27_30_35_36_38_40_47_52_55_63_67_68	0	0
4	M1_1	1	M1	5	10_11_16_22_23_28_34_41_45_59_65_66	0	0
4	M1_1	1	M1	6	58_62_64	0	0
4	M1_1	1	M1	7	57_60	0	0
4	M1_1	1	M1	8	12_17_19_37_43_44_46_53_56	0	0
4	M1_1	1	M1	9	39_42_48_49_50_51_54	0	0
4	M1_1	1	M1	10	7_14_18_20_32	0.507787	0.577298
4	M1_1	1	M1	11	4_8_9_13_15_21_25_26_29_31	0	0
4	M1_1	1	M1	12	3_6	0	0
4	M1_1	1	M1	13	2	0	0
4	M1_1	1	M1	14	1	0.447688	0.602629
4	M1_1	1	M1	15	0	0.504908	0.665658
5	M1_0	1	M1	0	74	0	0
5	M1_0	1	M1	1	72	0	0
5	M1_0	1	M1	2	70	0	0
5	M1_0	1	M1	3	69	0	0
5	M1_0	1	M1	4	24_27_30_35_36_38_40_47_52_55_63_67_68	0	0
5	M1_0	1	M1	5	10_11_16_22_23_28_34_41_45_59_65_66	0	0
5	M1_0	1	M1	6	58_62_64	0	0
5	M1_0	1	M1	7	57_60	0	0
5	M1_0	1	M1	8	12_17_19_37_43_44_46_53_56	0	0
5	M1_0	1	M1	9	39_42_48_49_50_51_54	0	0
5	M1_0	1	M1	10	7_14_18_20_32	0.478038	0.547351
5	M1_0	1	M1	11	4_8_9_13_15_21_25_26_29_31	0	0
5	M1_0	1	M1	12	3_6	0	0
5	M1_0	1	M1	13	2	0	0
5	M1_0	1	M1	14	1	0.453644	0.607559
5	M1_0	1	M1	15	0	0.448927	0.608445
6	M2_0	2	M2	0	74	0	0
6	M2_0	2	M2	1	72	0	0
6	M2_0	2	M2	2	70	0	0
6	M2_0	2	M2	3	69	0	0
6	M2_0	2	M2	4	24_27_30_35_36_38_40_47_52_55_63_67_68	0	0
6	M2_0	2	M2	5	10_11_16_22_23_28_34_41_45_59_65_66	0.396268	0.437693
6	M2_0	2	M2	6	58_62_64	0	0
6	M2_0	2	M2	7	57_60	0	0
6	M2_0	2	M2	8	12_17_19_37_43_44_46_53_56	0.182793	0.217882
6	M2_0	2	M2	9	39_42_48_49_50_51_54	0	0
6	M2_0	2	M2	10	7_14_18_20_32	0	0
6	M2_0	2	M2	11	4_8_9_13_15_21_25_26_29_31	0	0
6	M2_0	2	M2	12	3_6	0	0
6	M2_0	2	M2	13	2	0	0
6	M2_0	2	M2	14	1	0.334861	0.472604
6	M2_0	2	M2	15	0	0.496896	0.658856
7	M2_2	2	M2	0	74	0	0
7	M2_2	2	M2	1	72	0	0
7	M2_2	2	M2	2	70	0.152365	0.255805
7	M2_2	2	M2	3	69	0	0
7	M2_2	2	M2	4	24_27_30_35_36_38_40_47_52_55_63_67_68	0	0
7	M2_2	2	M2	5	10_11_16_22_23_28_34_41_45_59_65_66	0.346373	0.385401
7	M2_2	2	M2	6	58_62_64	0	0
7	M2_2	2	M2	7	57_60	0	0
