5 #anatomical sites
15 #samples
15 #characters
#sample_index	sample_label	anatomical_site_index	anatomical_site_label	character_index	character_label	f-	f+
0	P_0	0	P	0	49	0	0
0	P_0	0	P	1	48	0	0
0	P_0	0	P	2	43_44	0	0
0	P_0	0	P	3	42	0.575677	0.605693
0	P_0	0	P	4	3_4_5_9_26_28_34_36_38_41	0	0
0	P_0	0	P	5	2_6_7_8_10_14_23_24_37_40	0.662763	0.672301
0	P_0	0	P	6	35_39	0	0
0	P_0	0	P	7	27_33	0	0
0	P_0	0	P	8	31	0	0
0	P_0	0	P	9	18_21_22_25	0	0
0	P_0	0	P	10	17	0	0
0	P_0	0	P	11	11_13	0	0
0	P_0	0	P	12	12	0	0
0	P_0	0	P	13	1	0	0
0	P_0	0	P	14	0	0.654015	0.684195
1	P_1	0	P	0	49	0	0
1	P_1	0	P	1	48	0	0
1	P_1	0	P	2	43_44	0	0
1	P_1	0	P	3	42	0.65344	0.6835
1	P_1	0	P	4	3_4_5_9_26_28_34_36_38_41	0	0
1	P_1	0	P	5	2_6_7_8_10_14_23_24_37_40	0.661842	0.67141
1	P_1	0	P	6	35_39	0	0
1	P_1	0	P	7	27_33	0	0
1	P_1	0	P	8	31	0	0
1	P_1	0	P	9	18_21_22_25	0	0
1	P_1	0	P	10	17	0	0
1	P_1	0	P	11	11_13	0	0
1	P_1	0	P	12	12	0	0
1	P_1	0	P	13	1	0	0
1	P_1	0	P	14	0	0.658221	0.688234
2	P_2	0	P	0	49	0	0
2	P_2	0	P	1	48	0	0
2	P_2	0	P	2	43_44	0	0
2	P_2	0	P	3	42	0.367568	0.395216
2	P_2	0	P	4	3_4_5_9_26_28_34_36_38_41	0	0
2	P_2	0	P	5	2_6_7_8_10_14_23_24_37_40	0.371348	0.380093
2	P_2	0	P	6	35_39	0	0
2	P_2	0	P	7	27_33	0	0
2	P_2	0	P	8	31	0	0
2	P_2	0	P	9	18_21_22_25	0	0
2	P_2	0	P	10	17	0	0
2	P_2	0	P	11	11_13	0	0
2	P_2	0	P	12	12	0	0
2	P_2	0	P	13	1	0.399041	0.42726
2	P_2	0	P	14	0	0.645411	0.675492
3	M1_0	1	M1	0	49	0	0
3	M1_0	1	M1	1	48	0	0
3	M1_0	1	M1	2	43_44	0	0
3	M1_0	1	M1	3	42	0	0
3	M1_0	1	M1	4	3_4_5_9_26_28_34_36_38_41	0	0
3	M1_0	1	M1	5	2_6_7_8_10_14_23_24_37_40	0	0
3	M1_0	1	M1	6	35_39	0	0
3	M1_0	1	M1	7	27_33	0	0
3	M1_0	1	M1	8	31	0	0
3	M1_0	1	M1	9	18_21_22_25	0	0
3	M1_0	1	M1	10	17	0	0
3	M1_0	1	M1	11	11_13	0.484003	0.50462
3	M1_0	1	M1	12	12	0.28317	0.308819
3	M1_0	1	M1	13	1	0.653622	0.683786
3	M1_0	1	M1	14	0	0.65543	0.685435
4	M1_1	1	M1	0	49	0	0
4	M1_1	1	M1	1	48	0	0
4	M1_1	1	M1	2	43_44	0	0
4	M1_1	1	M1	3	42	0	0
4	M1_1	1	M1	4	3_4_5_9_26_28_34_36_38_41	0	0
4	M1_1	1	M1	5	2_6_7_8_10_14_23_24_37_40	0	0
4	M1_1	1	M1	6	35_39	0	0
4	M1_1	1	M1	7	27_33	0	0
4	M1_1	1	M1	8	31	0	0
4	M1_1	1	M1	9	18_21_22_25	0	0
4	M1_1	1	M1	10	17	0.481398	0.510526
4	M1_1	1	M1	11	11_13	0.588584	0.609807
4	M1_1	1	M1	12	12	0.131291	0.150671
4	M1_1	1	M1	13	1	0.658872	0.688987
4	M1_1	1	M1	14	0	0.649076	0.678998
5	M1_2	1	M1	0	49	0	0
5	M1_2	1	M1	1	48	0	0
5	M1_2	1	M1	2	43_44	0	0
5	M1_2	1	M1	3	42	0	0
5	M1_2	1	M1	4	3_4_5_9_26_28_34_36_38_41	0	0
5	M1_2	1	M1	5	2_6_7_8_10_14_23_24_37_40	0	0
5	M1_2	1	M1	6	35_39	0	0
5	M1_2	1	M1	7	27_33	0	0
5	M1_2	1	M1	8	31	0	0
5	M1_2	1	M1	9	18_21_22_25	0	0
5	M1_2	1	M1	10	17	0.211821	0.235198
5	M1_2	1	M1	11	11_13	0.464811	0.485482
5	M1_2	1	M1	12	12	0.309119	0.335553
5	M1_2	1	M1	13	1	0.650366	0.680713
5	M1_2	1	M1	14	0	0.648585	0.679031
6	M2_0	2	M2	0	49	0	0
6	M2_0	2	M2	1	48	0	0
6	M2_0	2	M2	2	43_44	0	0
6	M2_0	2	M2	3	42	0	0
6	M2_0	2	M2	4	3_4_5_9_26_28_34_36_38_41	0	0
6	M2_0	2	M2	5	2_6_7_8_10_14_23_24_37_40	0	0
6	M2_0	2	M2	6	35_39	0	0
6	M2_0	2	M2	7	27_33	0.322583	0.34139
6	M2_0	2	M2	8	31	0	0
6	M2_0	2	M2	9	18_21_22_25	0.658303	0.67344
6	M2_0	2	M2	10	17	0	0
6	M2_0	2	M2	11	11_13	0	0
6	M2_0	2	M2	12	12	0.647774	0.677676
6	M2_0	2	M2	13	1	0.646785	0.677039
6	M2_0	2	M2	14	0	0.646543	0.67655
7	M2_1	2	M2	0	49	0	0
7	M2_1	2	M2	1	48	0	0
7	M2_1	2	M2	2	43_44	0	0
7	M2_1	2	M2	3	42	0	0
7	M2_1	2	M2	4	3_4_5_9_26_28_34_36_38_41	0	0
7	M2_1	2	M2	5	2_6_7_8_10_14_23_24_37_40	0	0
7	M2_1	2	M2	6	35_39	0	0
7	M2_1	2	M2	7	27_33	0	0
7	M2_1	2	M2	8	31	0.475343	0.504705
7	M2_1	2	M2	9	18_21_22_25	0.658167	0.673218
7	M2_1	2	M2	10	17	0	0
7	M2_1	2	M2	11	11_13	0	0
7	M2_1	2	M2	12	12	0.658913	0.689205
7	M2_1	2	M2	13	1	0.643725	0.67406
7	M2_1	2	M2	14	0	0.651598	0.68182
8	M2_2	2	M2	0	49	0	0
8	M2_2	2	M2	1	48	0	0
8	M2_2	2	M2	2	43_44	0	0
8	M2_2	2	M2	3	42	0	0
8	M2_2	2	M2	4	3_4_5_9_26_28_34_36_38_41	0	0
8	M2_2	2	M2	5	2_6_7_8_10_14_23_24_37_40	0	0
8	M2_2	2	M2	6	35_39	0	0
8	M2_2	2	M2	7	27_33	0.102691	0.114905
8	M2_2	2	M2	8	31	0.481052	0.510525
8	M2_2	2	M2	9	18_21_22_25	0.663263	0.678313
8	M2_2	2	M2	10	17	0	0
8	M2_2	2	M2	11	11_13	0	0
8	M2_2	2	M2	12	12	0.642675	0.672766
8	M2_2	2	M2	13	1	0.644529	0.674738
8	M2_2	2	M2	14	0	0.653986	0.683993
9	M3_0	3	M3	0	49	0	0
9	M3_0	3	M3	1	48	0	0
9	M3_0	3	M3	2	43_44	0	0
9	M3_0	3	M3	3	42	0	0
