5 #anatomical sites
15 #samples
12 #characters
#sample_index	sample_label	anatomical_site_index	anatomical_site_label	character_index	character_label	f-	f+
0	P_2	0	P	0	48_49	0	0
0	P_2	0	P	1	35_39_43_44	0	0
0	P_2	0	P	2	2_6_7_8_10_14_23_24_37_40_42	0.1696	0.200345
0	P_2	0	P	3	3_4_5_9_26_28_34_36_38_41	0	0
0	P_2	0	P	4	27_33	0	0
0	P_2	0	P	5	31	0	0
0	P_2	0	P	6	18_21_22_25	0	0
0	P_2	0	P	7	17	0	0
0	P_2	0	P	8	11_13	0	0
0	P_2	0	P	9	12	0	0
0	P_2	0	P	10	1	0.150109	0.256071
0	P_2	0	P	11	0	0.244663	0.363317
1	P_1	0	P	0	48_49	0	0
1	P_1	0	P	1	35_39_43_44	0	0
1	P_1	0	P	2	2_6_7_8_10_14_23_24_37_40_42	0.314135	0.353729
1	P_1	0	P	3	3_4_5_9_26_28_34_36_38_41	0	0
1	P_1	0	P	4	27_33	0	0
1	P_1	0	P	5	31	0	0
1	P_1	0	P	6	18_21_22_25	0	0
1	P_1	0	P	7	17	0	0
1	P_1	0	P	8	11_13	0	0
1	P_1	0	P	9	12	0	0
1	P_1	0	P	10	1	0	0
1	P_1	0	P	11	0	0.264254	0.394114
2	P_0	0	P	0	48_49	0	0
2	P_0	0	P	1	35_39_43_44	0	0
2	P_0	0	P	2	2_6_7_8_10_14_23_24_37_40_42	0.306143	0.345198
2	P_0	0	P	3	3_4_5_9_26_28_34_36_38_41	0	0
2	P_0	0	P	4	27_33	0	0
2	P_0	0	P	5	31	0	0
2	P_0	0	P	6	18_21_22_25	0	0
2	P_0	0	P	7	17	0	0
2	P_0	0	P	8	11_13	0	0
2	P_0	0	P	9	12	0	0
2	P_0	0	P	10	1	0	0
2	P_0	0	P	11	0	0.23161	0.358813
3	M1_2	1	M1	0	48_49	0	0
3	M1_2	1	M1	1	35_39_43_44	0	0
3	M1_2	1	M1	2	2_6_7_8_10_14_23_24_37_40_42	0	0
3	M1_2	1	M1	3	3_4_5_9_26_28_34_36_38_41	0	0
3	M1_2	1	M1	4	27_33	0	0
3	M1_2	1	M1	5	31	0	0
3	M1_2	1	M1	6	18_21_22_25	0	0
3	M1_2	1	M1	7	17	0.0869638	0.171006
3	M1_2	1	M1	8	11_13	0.201286	0.280259
3	M1_2	1	M1	9	12	0.118581	0.212501
3	M1_2	1	M1	10	1	0.274301	0.403805
3	M1_2	1	M1	11	0	0.296413	0.431335
4	M1_1	1	M1	0	48_49	0	0
4	M1_1	1	M1	1	35_39_43_44	0	0
4	M1_1	1	M1	2	2_6_7_8_10_14_23_24_37_40_42	0	0
4	M1_1	1	M1	3	3_4_5_9_26_28_34_36_38_41	0	0
4	M1_1	1	M1	4	27_33	0	0
4	M1_1	1	M1	5	31	0	0
4	M1_1	1	M1	6	18_21_22_25	0	0
4	M1_1	1	M1	7	17	0.176421	0.288202
4	M1_1	1	M1	8	11_13	0.217387	0.301354
4	M1_1	1	M1	9	12	0.0510297	0.11681
4	M1_1	1	M1	10	1	0.342961	0.481244
4	M1_1	1	M1	11	0	0.278457	0.408788
5	M1_0	1	M1	0	48_49	0	0
5	M1_0	1	M1	1	35_39_43_44	0	0
5	M1_0	1	M1	2	2_6_7_8_10_14_23_24_37_40_42	0	0
5	M1_0	1	M1	3	3_4_5_9_26_28_34_36_38_41	0	0
5	M1_0	1	M1	4	27_33	0	0
5	M1_0	1	M1	5	31	0	0
5	M1_0	1	M1	6	18_21_22_25	0	0
5	M1_0	1	M1	7	17	0	0
5	M1_0	1	M1	8	11_13	0.211233	0.290495
5	M1_0	1	M1	9	12	0.0805504	0.162235
5	M1_0	1	M1	10	1	0.305815	0.444446
5	M1_0	1	M1	11	0	0.265893	0.396465
6	M2_1	2	M2	0	48_49	0	0
6	M2_1	2	M2	1	35_39_43_44	0	0
6	M2_1	2	M2	2	2_6_7_8_10_14_23_24_37_40_42	0	0
6	M2_1	2	M2	3	3_4_5_9_26_28_34_36_38_41	0	0
