5 #anatomical sites
5 #samples
9 #mutations
#sample_index	sample_label	anatomical_site_index	anatomical_site_label	character_index	character_label	f_lb	f_ub	ref	var
0	P	0	P	0	0	0.8051363248458325	1	91	103
0	P	0	P	1	1;4	0.8056769760613809	1	232	220
0	P	0	P	2	10;11;12;25;33;34;76;79;91	0.9254996955100258	1	873	893
0	P	0	P	3	14;15;16	0.0	0.016474442149535126	604	0
0	P	0	P	4	68	0.0	0.04739282758612535	208	0
0	P	0	P	5	117;120	0.0	0.025062577531555663	396	0
0	P	0	P	6	118	0.0	0.052355295784741844	188	0
0	P	0	P	7	96;98;102	0.0	0.01745198031076343	570	0
0	P	0	P	8	100	0.0	0.051281369987653216	192	0
0	P	0	P	9	109	0.0	0.0467284569718802	211	0
0	P	0	P	10	119	0.0	0.04444400155675023	222	0
0	P	0	P	11	28;44;48;75;82;104;111	0.0	0.007052184421595342	1415	0
0	P	0	P	12	35;36;37;39;58;61;81;86;95	0.0	0.005473452928529813	1824	0
0	P	0	P	13	29;38;43;47;57;63;70;78;83;84;87	0.0	0.004568295548460251	2186	0
0	P	0	P	14	24;31;46;49;50;56;62;67	0.0	0.006377549721776472	1565	0
0	P	0	P	15	22;26;54;64;66;88	0.0	0.007942809245885318	1256	0
0	P	0	P	16	18;60;65	0.0	0.016750395182659243	594	0
0	P	0	P	18	113	0.0	0.0454540715822076	217	0
0	P	0	P	19	17;20;42;45;51;55;69;72;74;77;85	0.0	0.004500449588832259	2219	0
0	P	0	P	20	2;3;9;13;23;41;53;71	0.0	0.00618429071450779	1614	0
0	P	0	P	21	5;6;7;8	0.0	0.01254704154175912	794	0
1	M1	1	M1	0	0	0.7712570135009631	1	90	96
1	M1	1	M1	1	1;4	0.0	0.022573305658500402	440	0
1	M1	1	M1	2	10;11;12;25;33;34;76;79;91	0.0	0.005583472048854981	1788	0
1	M1	1	M1	3	14;15;16	0.11797130328961197	0.2882609570643065	565	60
1	M1	1	M1	4	68	0.0	0.04854311175967327	203	0
1	M1	1	M1	5	117;120	0.0	0.029850612475704457	332	0
1	M1	1	M1	6	118	0.0	0.04901901307130063	201	0
1	M1	1	M1	7	96;98;102	0.0	0.017182105133765245	579	0
1	M1	1	M1	8	100	0.0	0.0495043378213925	199	0
1	M1	1	M1	9	109	0.0	0.04807636206962323	205	0
1	M1	1	M1	10	119	0.0	0.043289634119458444	228	0
1	M1	1	M1	11	28;44;48;75;82;104;111	0.0	0.006958940553432381	1434	0
1	M1	1	M1	12	35;36;37;39;58;61;81;86;95	0.0	0.0055309726043822425	1805	0
1	M1	1	M1	13	29;38;43;47;57;63;70;78;83;84;87	0.0	0.004568295548460251	2186	0
1	M1	1	M1	14	24;31;46;49;50;56;62;67	0.0	0.006009614298109148	1661	0
1	M1	1	M1	15	22;26;54;64;66;88	0.0	0.008635575358281734	1155	0
1	M1	1	M1	16	18;60;65	0.0	0.015698567722026206	634	0
