5 #anatomical sites
5 #samples
9 #mutations
#sample_index	sample_label	anatomical_site_index	anatomical_site_label	character_index	character_label	f_lb	f_ub	ref	var
0	P	0	P	0	0	0.8174781560050113	1	98	111
0	P	0	P	1	1	0.7207223885958124	1	90	87
0	P	0	P	2	5	0.027622048538891122	0.27049786538593545	174	10
0	P	0	P	3	4	0.0	0.05208261948653281	189	0
0	P	0	P	4	14;15;31;34;36;37;41	0.0	0.00736919475367746	1354	0
0	P	0	P	5	22	0.0	0.04901901307130063	201	0
0	P	0	P	6	24	0.0	0.045248401328874505	218	0
0	P	0	P	7	25	0.0	0.04784633698471555	206	0
0	P	0	P	8	45	0.0	0.04098325952541991	241	0
0	P	0	P	9	61	0.0	0.05319072880421345	185	0
0	P	0	P	10	76	0.0	0.046295795522400304	213	0
0	P	0	P	11	26;38	0.0	0.02544520982549987	390	0
0	P	0	P	12	48;66	0.0	0.024154518565958554	411	0
0	P	0	P	13	49	0.0	0.04784633698471555	206	0
0	P	0	P	14	52	0.0	0.05076076063477424	194	0
0	P	0	P	15	17;19;21	0.0	0.016233744773290374	613	0
0	P	0	P	16	3;6;13;16;18;20;23;39;40;42;47;56;59;60;62;63	0.0	0.0031181788317881684	3204	0
0	P	0	P	17	9	0.0	0.045248401328874505	218	0
1	M1	1	M1	0	0	0.7160894044358165	1	109	100
1	M1	1	M1	1	1	0.0	0.045248401328874505	218	0
1	M1	1	M1	2	5	0.0	0.04901901307130063	201	0
1	M1	1	M1	3	4	0.0	0.05494421636451348	179	0
1	M1	1	M1	4	14;15;31;34;36;37;41	0.6672248291643574	0.852338397638969	868	530
1	M1	1	M1	5	22	0.0	0.05263084223860741	187	0
1	M1	1	M1	6	24	0.0	0.045661620043138715	216	0
1	M1	1	M1	7	25	0.0	0.04761850253857601	207	0
1	M1	1	M1	8	45	0.0	0.04716928156989335	209	0
1	M1	1	M1	9	61	0.0	0.049260480109571674	200	0
1	M1	1	M1	10	76	0.0	0.05208261948653281	189	0
1	M1	1	M1	11	26;38	0.0	0.025252444327783334	393	0
1	M1	1	M1	12	48;66	0.0	0.02590664836124829	383	0
1	M1	1	M1	13	49	0.0	0.053762655413413206	183	0
1	M1	1	M1	14	52	0.0	0.049999368698825125	197	0
1	M1	1	M1	15	17;19;21	0.0	0.015552080667028297	640	0
1	M1	1	M1	16	3;6;13;16;18;20;23;39;40;42;47;56;59;60;62;63	0.0	0.0031152646462472827	3207	0
1	M1	1	M1	17	9	0.8037863956963193	1	93	104
2	M2	2	M2	0	0	0.7131778747696583	1	100	93
2	M2	2	M2	1	1	0.0	0.05208261948653281	189	0
2	M2	2	M2	2	5	0.0	0.05101973727906271	193	0
2	M2	2	M2	3	4	0.0	0.052355295784741844	188	0
2	M2	2	M2	4	14;15;31;34;36;37;41	0.0	0.006988118486996758	1428	0
2	M2	2	M2	5	22	0.2629384167615912	0.6703186122275506	161	46
2	M2	2	M2	6	24	0.042174899607387586	0.2649124833083988	228	15
2	M2	2	M2	7	25	0.2182630000490895	0.599707863224372	172	41
2	M2	2	M2	8	45	0.0	0.04694783450622614	210	0
2	M2	2	M2	9	61	0.0	0.059170549374176214	166	0
2	M2	2	M2	10	76	0.0	0.05101973727906271	193	0
2	M2	2	M2	11	26;38	0.0	0.023866280151308063	416	0
2	M2	2	M2	12	48;66	0.0	0.024752399043270833	401	0
2	M2	2	M2	13	49	0.0	0.05050439981351178	195	0
2	M2	2	M2	14	52	0.0	0.053475162960304544	184	0
2	M2	2	M2	15	17;19;21	0.82126169929447	1	281	266
2	M2	2	M2	16	3;6;13;16;18;20;23;39;40;42;47;56;59;60;62;63	0.0	0.003094059257748598	3229	0
2	M2	2	M2	17	9	0.8560356361136386	1	99	120
3	M3	3	M3	0	0	0.6280254934132528	1	115	88
