9 #anatomical sites
9 #samples
18 #mutations
#sample_index	sample_label	anatomical_site_index	anatomical_site_label	character_index	character_label	f_lb	f_ub	ref	var
0	P	0	P	0	0	0.8091658801643958	1	197	193
0	P	0	P	1	2;3	0.8522860380604868	1	390	376
0	P	0	P	2	9	0.0	0.02597393790005811	382	0
0	P	0	P	3	1;4;6;14;15;16;21;28;31;32	0.0	0.0024606298467312934	4061	0
0	P	0	P	4	5;7;10;11;17;18;20;22;23;38	0.0	0.0024789290264236818	4031	0
0	P	0	P	5	8;12;13;19;40	0.9052432973918431	1	1008	980
0	P	0	P	6	45	0.11249656889744708	0.3346201538272793	348	40
0	P	0	P	7	27;35;48	0.0	0.00843170020178451	1183	0
0	P	0	P	8	50	0.7298497236524271	1	207	173
0	P	0	P	9	36;59	0.0	0.01186238783802282	840	0
0	P	0	P	10	67	0.0	0.025839706568464675	384	0
0	P	0	P	11	66;69	0.45222328901685427	0.6744572541741982	606	235
0	P	0	P	12	73	0.04924062064255727	0.22507739478198546	354	22
0	P	0	P	13	25;26;30;34;41;44;60;63;68;74;75	0.0	0.002253775015981603	4434	0
0	P	0	P	14	33;47;56;58;70;78;79	0.0	0.0034904011833959622	2862	0
0	P	0	P	15	24;39;42;49;52;53;55;57;72;81	0.0	0.002545824764708178	3925	0
0	P	0	P	16	86	0.0	0.024449804311565956	406	0
0	P	0	P	17	54;62;64;65;87	0.0	0.004935833554133072	2023	0
1	M1	1	M1	0	0	0.7103759965998355	1	96	90
1	M1	1	M1	1	2;3	0.12322093446294662	0.34688108795110595	359	44
1	M1	1	M1	2	9	0.5421470877004814	1	117	75
1	M1	1	M1	3	1;4;6;14;15;16;21;28;31;32	0.0	0.004866179471952009	2052	0
1	M1	1	M1	4	5;7;10;11;17;18;20;22;23;38	0.0	0.004842614443737269	2062	0
1	M1	1	M1	5	8;12;13;19;40	0.1138305093829057	0.24570770342986176	860	81
1	M1	1	M1	6	45	0.0	0.04716928156989335	209	0
1	M1	1	M1	7	27;35;48	0.0	0.01697790413993651	586	0
1	M1	1	M1	8	50	0.08223093618659226	0.3901369191235242	178	20
1	M1	1	M1	9	36;59	0.0	0.024449804311565956	406	0
1	M1	1	M1	10	67	0.0	0.046511120090990454	212	0
1	M1	1	M1	11	66;69	0.0	0.026246628277956093	378	0
1	M1	1	M1	12	73	0.0	0.05290930440355724	186	0
1	M1	1	M1	13	25;26;30;34;41;44;60;63;68;74;75	0.38311035185575026	0.5123211890592182	1675	480
1	M1	1	M1	14	33;47;56;58;70;78;79	0.0	0.0070671360418688755	1412	0
1	M1	1	M1	15	24;39;42;49;52;53;55;57;72;81	0.0	0.005047954934184682	1978	0
1	M1	1	M1	16	86	0.0	0.05076076063477425	194	0
1	M1	1	M1	17	54;62;64;65;87	0.0	0.010559656191005155	944	0
2	M2	2	M2	0	0	0.7430820983532833	1	90	91
2	M2	2	M2	1	2;3	0.8017680044154429	1	199	192
2	M2	2	M2	2	9	0.0	0.05464398388474083	180	0
2	M2	2	M2	3	1;4;6;14;15;16;21;28;31;32	0.0	0.0050100194106845715	1993	0
2	M2	2	M2	4	5;7;10;11;17;18;20;22;23;38	0.0	0.005007510638450115	1994	0
2	M2	2	M2	5	8;12;13;19;40	0.0	0.009225088318285142	1081	0
2	M2	2	M2	6	45	0.0	0.05290930440355724	186	0
2	M2	2	M2	7	27;35;48	0.6207095517146284	0.9013736096909888	382	233
2	M2	2	M2	8	50	0.0	0.04739282758612535	208	0
2	M2	2	M2	9	36;59	0.0	0.024937577930052794	398	0
2	M2	2	M2	10	67	0.0	0.0467284569718802	211	0
2	M2	2	M2	11	66;69	0.0	0.024691282384448232	402	0
2	M2	2	M2	12	73	0.0	0.05747030423308992	171	0
2	M2	2	M2	13	25;26;30;34;41;44;60;63;68;74;75	0.0	0.004520795197647246	2209	0
2	M2	2	M2	14	33;47;56;58;70;78;79	0.0	0.0070671360418688755	1412	0
2	M2	2	M2	15	24;39;42;49;52;53;55;57;72;81	0.0	0.004987530551114694	2002	0
2	M2	2	M2	16	86	0.0	0.05076076063477425	194	0
2	M2	2	M2	17	54;62;64;65;87	0.0	0.010090812208353627	988	0
3	M3	3	M3	0	0	0.7403600339015015	1	109	105
3	M3	3	M3	1	2;3	0.0	0.026595650118035198	373	0
3	M3	3	M3	2	9	0.0	0.04877990172283211	202	0
3	M3	3	M3	3	1;4;6;14;15;16;21;28;31;32	0.9268161053361373	1	1023	1036
3	M3	3	M3	4	5;7;10;11;17;18;20;22;23;38	0.0	0.005202912926677862	1919	0
3	M3	3	M3	5	8;12;13;19;40	0.0	0.009689917922633191	1029	0
3	M3	3	M3	6	45	0.0	0.05025061538281591	196	0
3	M3	3	M3	7	27;35;48	0.0	0.017064821484160934	583	0
3	M3	3	M3	8	50	0.0	0.044842594379736346	220	0
3	M3	3	M3	9	36;59	0.0	0.026595650118035198	373	0
3	M3	3	M3	10	67	0.0	0.049260480109571674	200	0
3	M3	3	M3	11	66;69	0.0	0.026881622778356755	369	0
3	M3	3	M3	12	73	0.0	0.05524776617580983	178	0
3	M3	3	M3	13	25;26;30;34;41;44;60;63;68;74;75	0.0	0.00455373358935807	2193	0
3	M3	3	M3	14	33;47;56;58;70;78;79	0.0	0.007423902925156026	1344	0
3	M3	3	M3	15	24;39;42;49;52;53;55;57;72;81	0.0	0.004828584661087184	2068	0
3	M3	3	M3	16	86	0.0	0.05617887866396899	175	0
3	M3	3	M3	17	54;62;64;65;87	0.0	0.009615380161841403	1037	0
4	M4	4	M4	0	0	0.7508989765514105	1	96	97
4	M4	4	M4	1	2;3	0.11040806631076638	0.32832929278238066	356	40
4	M4	4	M4	2	9	0.0	0.046511120090990454	212	0
4	M4	4	M4	3	1;4;6;14;15;16;21;28;31;32	0.0	0.0049900193381943615	2001	0
4	M4	4	M4	4	5;7;10;11;17;18;20;22;23;38	0.7093380927062249	0.8691639143365293	1176	765
4	M4	4	M4	5	8;12;13;19;40	0.13914934924267083	0.27480917504513175	917	102
4	M4	4	M4	6	45	0.0377255737439286	0.30112456870327864	173	12
4	M4	4	M4	7	27;35;48	0.0	0.018083152966760864	550	0
4	M4	4	M4	8	50	0.0	0.049999368698825125	197	0
4	M4	4	M4	9	36;59	0.16166369939524744	0.4125439158491179	332	52
4	M4	4	M4	10	67	0.0	0.04310304438865774	229	0
4	M4	4	M4	11	66;69	0.0	0.025125548431841727	395	0
4	M4	4	M4	12	73	0.0	0.05208261948653281	189	0
4	M4	4	M4	13	25;26;30;34;41;44;60;63;68;74;75	0.0	0.004604051076960771	2169	0
4	M4	4	M4	14	33;47;56;58;70;78;79	0.0	0.006983238518371864	1429	0
