5 #anatomical sites
5 #samples
9 #mutations
#sample_index	sample_label	anatomical_site_index	anatomical_site_label	character_index	character_label	f_lb	f_ub	ref	var
0	P	0	P	0	0;1;4;10;14;16;17;22	0.6422868647483224	0.8102552189489758	987	561
0	P	0	P	1	24	0.3168326747455888	0.7372929585192821	147	50
0	P	0	P	2	5;13;23;26;29;35;38	0.0	0.007220214721772692	1382	0
0	P	0	P	3	34;53	0.0	0.027322301829060237	363	0
0	P	0	P	4	42;66	0.0	0.024390171000315194	407	0
0	P	0	P	5	74	0.0	0.049260480109571674	200	0
0	P	0	P	6	60;75	0.0	0.026315697870885304	377	0
0	P	0	P	7	6;9;11;12;19;25;28;30;33;37;40;41;46;49;63;72;77;78;80	0.0	0.002607561840900565	3832	0
0	P	0	P	8	32;43;50;51;56;71;79;81	0.0	0.006321111251358116	1579	0
0	P	0	P	9	44;52;58;76;83	0.20995288343115034	0.3608961810629775	861	140
0	P	0	P	10	36;39;48;55;64;82;84	0.0	0.00724637490629826	1377	0
1	M1	1	M1	0	0;1;4;10;14;16;17;22	0.6627951574030075	0.8301313512954693	990	588
1	M1	1	M1	1	24	0.0	0.052355295784741844	188	0
1	M1	1	M1	2	5;13;23;26;29;35;38	0.27686060986878647	0.4177290523759982	1124	233
1	M1	1	M1	3	34;53	0.5645114170054225	0.8946756553606774	252	143
1	M1	1	M1	4	42;66	0.0	0.02262437622288374	439	0
1	M1	1	M1	5	74	0.0	0.045044583903016654	219	0
1	M1	1	M1	6	60;75	0.0	0.026385131943318034	376	0
1	M1	1	M1	7	6;9;11;12;19;25;28;30;33;37;40;41;46;49;63;72;77;78;80	0.0	0.0026260503295724227	3805	0
1	M1	1	M1	8	32;43;50;51;56;71;79;81	0.0	0.006165226940291221	1619	0
1	M1	1	M1	9	44;52;58;76;83	0.0	0.010309272860787406	967	0
1	M1	1	M1	10	36;39;48;55;64;82;84	0.0	0.007163321941733242	1393	0
2	M2	2	M2	0	0;1;4;10;14;16;17;22	0.7623821468508519	0.9331653961866404	912	670
2	M2	2	M2	1	24	0.4063900067984696	0.849637076381057	138	61
2	M2	2	M2	2	5;13;23;26;29;35;38	0.0	0.007057161260623678	1414	0
2	M2	2	M2	3	34;53	0.0	0.02358483975451913	421	0
2	M2	2	M2	4	42;66	0.0	0.02330995968532049	426	0
2	M2	2	M2	5	74	0.0	0.04761850253857601	207	0
2	M2	2	M2	6	60;75	0.0	0.025640940916935785	387	0
2	M2	2	M2	7	6;9;11;12;19;25;28;30;33;37;40;41;46;49;63;72;77;78;80	0.28909162873270633	0.37238746822073415	3145	620
2	M2	2	M2	8	32;43;50;51;56;71;79;81	0.0	0.00618429071450779	1614	0
2	M2	2	M2	9	44;52;58;76;83	0.0	0.010277486852809516	970	0
2	M2	2	M2	10	36;39;48;55;64;82;84	0.0	0.0072833192598641475	1370	0
3	M3	3	M3	0	0;1;4;10;14;16;17;22	0.9036189499417457	1	801	785
3	M3	3	M3	1	24	0.6940411272852371	1	107	93
3	M3	3	M3	2	5;13;23;26;29;35;38	0.0	0.0069444427676262546	1437	0
3	M3	3	M3	3	34;53	0.0	0.02375290179403474	418	0
3	M3	3	M3	4	42;66	0.7124056544121101	1	244	189
3	M3	3	M3	5	74	0.0	0.05263084223860741	187	0
3	M3	3	M3	6	60;75	0.0	0.02309462634671126	430	0
3	M3	3	M3	7	6;9;11;12;19;25;28;30;33;37;40;41;46;49;63;72;77;78;80	0.0	0.0025562371352544637	3909	0
3	M3	3	M3	8	32;43;50;51;56;71;79;81	0.0	0.0060132280155606385	1660	0
3	M3	3	M3	9	44;52;58;76;83	0.0	0.010672352500385545	934	0
3	M3	3	M3	10	36;39;48;55;64;82;84	0.0	0.007142855318093602	1397	0
4	M4	4	M4	0	0;1;4;10;14;16;17;22	0.9140805117979581	1	800	800
4	M4	4	M4	1	24	0.7936458449809505	1	102	108
4	M4	4	M4	2	5;13;23;26;29;35;38	0.0	0.0072833192598641475	1370	0
4	M4	4	M4	3	34;53	0.0	0.02499992148278196	397	0
4	M4	4	M4	4	42;66	0.0	0.02570685549373666	386	0
4	M4	4	M4	5	74	0.1125659077652398	0.4069774600587831	197	26
4	M4	4	M4	6	60;75	0.0	0.026177920302165827	379	0
