8 #anatomical sites
9 #samples
18 #characters
#sample_index	sample_label	anatomical_site_index	anatomical_site_label	character_index	character_label	f-	f+
0	P_0	0	P	0	49_51_54_57_68	0	0
0	P_0	0	P	1	36_37_56_58_59	0	0
0	P_0	0	P	2	10_13_28_39_53	0	0
0	P_0	0	P	3	9_11_14_22_27_33_34_47	0	0
0	P_0	0	P	4	12_15_17_19_24_26_30_35_44	0	0
0	P_0	0	P	5	40	0	0
0	P_0	0	P	6	38	0	0
0	P_0	0	P	7	29_31	0	0
0	P_0	0	P	8	21_23_25	0	0
0	P_0	0	P	9	16_20	0	0
0	P_0	0	P	10	18	0	0
0	P_0	0	P	11	5_8	0.235632	0.377833
0	P_0	0	P	12	7	0	0
0	P_0	0	P	13	4	0.0821738	0.229498
0	P_0	0	P	14	3	0	0
0	P_0	0	P	15	2	0.102678	0.258364
0	P_0	0	P	16	1	0.333588	0.543618
0	P_0	0	P	17	0	0.883887	1
1	P_1	0	P	0	49_51_54_57_68	0	0
1	P_1	0	P	1	36_37_56_58_59	0	0
1	P_1	0	P	2	10_13_28_39_53	0	0
1	P_1	0	P	3	9_11_14_22_27_33_34_47	0	0
1	P_1	0	P	4	12_15_17_19_24_26_30_35_44	0	0
1	P_1	0	P	5	40	0	0
1	P_1	0	P	6	38	0	0
1	P_1	0	P	7	29_31	0	0
1	P_1	0	P	8	21_23_25	0	0
1	P_1	0	P	9	16_20	0	0
1	P_1	0	P	10	18	0	0
1	P_1	0	P	11	5_8	0	0
1	P_1	0	P	12	7	0	0
1	P_1	0	P	13	4	0	0
1	P_1	0	P	14	3	0	0
1	P_1	0	P	15	2	0	0
1	P_1	0	P	16	1	0.0484683	0.167405
1	P_1	0	P	17	0	0.817942	1
2	M1_0	1	M1	0	49_51_54_57_68	0	0
2	M1_0	1	M1	1	36_37_56_58_59	0	0
2	M1_0	1	M1	2	10_13_28_39_53	0	0
2	M1_0	1	M1	3	9_11_14_22_27_33_34_47	0	0
2	M1_0	1	M1	4	12_15_17_19_24_26_30_35_44	0	0
2	M1_0	1	M1	5	40	0	0
2	M1_0	1	M1	6	38	0	0
2	M1_0	1	M1	7	29_31	0	0
2	M1_0	1	M1	8	21_23_25	0	0
2	M1_0	1	M1	9	16_20	0	0
2	M1_0	1	M1	10	18	0.174307	0.359689
2	M1_0	1	M1	11	5_8	0	0
2	M1_0	1	M1	12	7	0	0
2	M1_0	1	M1	13	4	0	0
2	M1_0	1	M1	14	3	0.918815	1
2	M1_0	1	M1	15	2	0	0
2	M1_0	1	M1	16	1	0	0
2	M1_0	1	M1	17	0	0.850412	1
3	M2_0	2	M2	0	49_51_54_57_68	0	0
3	M2_0	2	M2	1	36_37_56_58_59	0	0
3	M2_0	2	M2	2	10_13_28_39_53	0	0
3	M2_0	2	M2	3	9_11_14_22_27_33_34_47	0	0
3	M2_0	2	M2	4	12_15_17_19_24_26_30_35_44	0	0
3	M2_0	2	M2	5	40	0	0
3	M2_0	2	M2	6	38	0	0
3	M2_0	2	M2	7	29_31	0.0967462	0.201467
3	M2_0	2	M2	8	21_23_25	0.886542	1
3	M2_0	2	M2	9	16_20	0	0
3	M2_0	2	M2	10	18	0	0
3	M2_0	2	M2	11	5_8	0	0
3	M2_0	2	M2	12	7	0	0
3	M2_0	2	M2	13	4	0	0
3	M2_0	2	M2	14	3	0.863209	1
3	M2_0	2	M2	15	2	0	0
3	M2_0	2	M2	16	1	0	0
3	M2_0	2	M2	17	0	0.826386	1
4	M3_0	3	M3	0	49_51_54_57_68	0	0
4	M3_0	3	M3	1	36_37_56_58_59	0	0
4	M3_0	3	M3	2	10_13_28_39_53	0	0
4	M3_0	3	M3	3	9_11_14_22_27_33_34_47	0	0
4	M3_0	3	M3	4	12_15_17_19_24_26_30_35_44	0	0
4	M3_0	3	M3	5	40	0.0627679	0.192555
4	M3_0	3	M3	6	38	0.395033	0.627818
4	M3_0	3	M3	7	29_31	0	0
4	M3_0	3	M3	8	21_23_25	0	0
4	M3_0	3	M3	9	16_20	1	1
4	M3_0	3	M3	10	18	0	0
4	M3_0	3	M3	11	5_8	0	0
4	M3_0	3	M3	12	7	0	0
4	M3_0	3	M3	13	4	0	0
4	M3_0	3	M3	14	3	0.931909	1
4	M3_0	3	M3	15	2	0	0
4	M3_0	3	M3	16	1	0	0
4	M3_0	3	M3	17	0	0.790558	1
5	M4_0	4	M4	0	49_51_54_57_68	0	0
5	M4_0	4	M4	1	36_37_56_58_59	0	0
5	M4_0	4	M4	2	10_13_28_39_53	0	0
5	M4_0	4	M4	3	9_11_14_22_27_33_34_47	0.126712	0.177872
5	M4_0	4	M4	4	12_15_17_19_24_26_30_35_44	0.839934	0.93278
5	M4_0	4	M4	5	40	0	0
5	M4_0	4	M4	6	38	0	0
5	M4_0	4	M4	7	29_31	0	0
5	M4_0	4	M4	8	21_23_25	0	0
5	M4_0	4	M4	9	16_20	0	0
5	M4_0	4	M4	10	18	0	0
5	M4_0	4	M4	11	5_8	0	0
5	M4_0	4	M4	12	7	0.80272	1
5	M4_0	4	M4	13	4	0.096256	0.249896
