8 #anatomical sites
9 #samples
3 #characters
#sample_index	sample_label	anatomical_site_index	anatomical_site_label	character_index	character_label	f-	f+
0	P_0	0	P	0	4214	0	0
0	P_0	0	P	1	520_2461_859	0	0
0	P_0	0	P	2	4400	0	0
1	P_1	0	P	0	4214	0	0
1	P_1	0	P	1	520_2461_859	0	0
1	P_1	0	P	2	4400	0	0
2	M1_0	1	M1	0	4214	0.368452	0.60198
2	M1_0	1	M1	1	520_2461_859	0	0
2	M1_0	1	M1	2	4400	0	0
3	M2_0	2	M2	0	4214	0	0
3	M2_0	2	M2	1	520_2461_859	0	0
3	M2_0	2	M2	2	4400	0	0
4	M3_0	3	M3	0	4214	0	0
4	M3_0	3	M3	1	520_2461_859	0.728429	0.883159
4	M3_0	3	M3	2	4400	0	0
5	M4_0	4	M4	0	4214	0	0
5	M4_0	4	M4	1	520_2461_859	0	0
5	M4_0	4	M4	2	4400	0	0
6	M5_0	5	M5	0	4214	0	0
6	M5_0	5	M5	1	520_2461_859	0	0
6	M5_0	5	M5	2	4400	0	0
7	M6_0	6	M6	0	4214	0	0
7	M6_0	6	M6	1	520_2461_859	0	0
7	M6_0	6	M6	2	4400	0.663208	0.940781
8	M7_0	7	M7	0	4214	0	0
8	M7_0	7	M7	1	520_2461_859	0	0
8	M7_0	7	M7	2	4400	0	0
