8 #anatomical sites
9 #samples
7 #characters
#sample_index	sample_label	anatomical_site_index	anatomical_site_label	character_index	character_label	f-	f+
0	P_1	0	P	0	8297_8449	0	0
0	P_1	0	P	1	5454	0	0
0	P_1	0	P	2	6611_6519	0	0
0	P_1	0	P	3	221_2286_1996_607_1836	0.7243	0.843225
0	P_1	0	P	4	5188_3902_7359	0	0
0	P_1	0	P	5	6491	0	0
0	P_1	0	P	6	4116	0	0
1	P_0	0	P	0	8297_8449	0	0
1	P_0	0	P	1	5454	0	0
1	P_0	0	P	2	6611_6519	0	0
1	P_0	0	P	3	221_2286_1996_607_1836	0.560122	0.673593
1	P_0	0	P	4	5188_3902_7359	0	0
1	P_0	0	P	5	6491	0	0
1	P_0	0	P	6	4116	0	0
2	M1_0	1	M1	0	8297_8449	0	0
2	M1_0	1	M1	1	5454	0	0
2	M1_0	1	M1	2	6611_6519	0	0
2	M1_0	1	M1	3	221_2286_1996_607_1836	0.703365	0.821685
2	M1_0	1	M1	4	5188_3902_7359	0	0
2	M1_0	1	M1	5	6491	0	0
2	M1_0	1	M1	6	4116	0	0
3	M2_0	2	M2	0	8297_8449	0	0
3	M2_0	2	M2	1	5454	0	0
3	M2_0	2	M2	2	6611_6519	0	0
3	M2_0	2	M2	3	221_2286_1996_607_1836	0.739692	0.860268
3	M2_0	2	M2	4	5188_3902_7359	0	0
3	M2_0	2	M2	5	6491	0.749802	1
3	M2_0	2	M2	6	4116	0	0
4	M3_0	3	M3	0	8297_8449	0	0
4	M3_0	3	M3	1	5454	0	0
4	M3_0	3	M3	2	6611_6519	0	0
4	M3_0	3	M3	3	221_2286_1996_607_1836	0.778202	0.902092
4	M3_0	3	M3	4	5188_3902_7359	0	0
4	M3_0	3	M3	5	6491	0	0
4	M3_0	3	M3	6	4116	0.615428	0.881893
5	M4_0	4	M4	0	8297_8449	0	0
5	M4_0	4	M4	1	5454	0	0
5	M4_0	4	M4	2	6611_6519	0.23763	0.383996
5	M4_0	4	M4	3	221_2286_1996_607_1836	0.745198	0.863916
5	M4_0	4	M4	4	5188_3902_7359	0	0
5	M4_0	4	M4	5	6491	0	0
5	M4_0	4	M4	6	4116	0	0
6	M5_0	5	M5	0	8297_8449	0	0
6	M5_0	5	M5	1	5454	0	0
6	M5_0	5	M5	2	6611_6519	0	0
6	M5_0	5	M5	3	221_2286_1996_607_1836	0.715563	0.836392
6	M5_0	5	M5	4	5188_3902_7359	0	0
6	M5_0	5	M5	5	6491	0	0
6	M5_0	5	M5	6	4116	0	0
7	M6_0	6	M6	0	8297_8449	0	0
7	M6_0	6	M6	1	5454	0.718351	0.995808
7	M6_0	6	M6	2	6611_6519	0	0
7	M6_0	6	M6	3	221_2286_1996_607_1836	0.740272	0.858925
7	M6_0	6	M6	4	5188_3902_7359	0	0
7	M6_0	6	M6	5	6491	0	0
7	M6_0	6	M6	6	4116	0	0
8	M7_0	7	M7	0	8297_8449	0.102048	0.206795
8	M7_0	7	M7	1	5454	0	0
8	M7_0	7	M7	2	6611_6519	0	0
8	M7_0	7	M7	3	221_2286_1996_607_1836	0.738629	0.860524
8	M7_0	7	M7	4	5188_3902_7359	0.821218	0.979077
8	M7_0	7	M7	5	6491	0	0
8	M7_0	7	M7	6	4116	0	0
