9 #anatomical sites
10 #samples
10 #characters
#sample_index	sample_label	anatomical_site_index	anatomical_site_label	character_index	character_label	f-	f+
0	P_0	0	P	0	2970_4859	0.390243	0.552369
0	P_0	0	P	1	1319_3841_1359	0	0
0	P_0	0	P	2	4110_2174_1934	0.392554	0.528764
0	P_0	0	P	3	882	0	0
0	P_0	0	P	4	5968_5879	0	0
0	P_0	0	P	5	667_789	0.723113	0.914056
0	P_0	0	P	6	2796_3149	0	0
0	P_0	0	P	7	5926_5931	0	0
0	P_0	0	P	8	702_2549	0	0
0	P_0	0	P	9	5642_5637_4682	0	0
1	P_1	0	P	0	2970_4859	0.126179	0.234478
1	P_1	0	P	1	1319_3841_1359	0	0
1	P_1	0	P	2	4110_2174_1934	0.598874	0.747175
1	P_1	0	P	3	882	0	0
1	P_1	0	P	4	5968_5879	0	0
1	P_1	0	P	5	667_789	0.648375	0.826125
1	P_1	0	P	6	2796_3149	0	0
1	P_1	0	P	7	5926_5931	0	0
1	P_1	0	P	8	702_2549	0	0
1	P_1	0	P	9	5642_5637_4682	0	0
2	M1_0	1	M1	0	2970_4859	0	0
2	M1_0	1	M1	1	1319_3841_1359	0	0
2	M1_0	1	M1	2	4110_2174_1934	0	0
2	M1_0	1	M1	3	882	0.754326	1
2	M1_0	1	M1	4	5968_5879	0	0
2	M1_0	1	M1	5	667_789	0	0
2	M1_0	1	M1	6	2796_3149	0	0
2	M1_0	1	M1	7	5926_5931	0	0
2	M1_0	1	M1	8	702_2549	0	0
2	M1_0	1	M1	9	5642_5637_4682	0	0
3	M2_0	2	M2	0	2970_4859	0	0
3	M2_0	2	M2	1	1319_3841_1359	0	0
3	M2_0	2	M2	2	4110_2174_1934	0	0
3	M2_0	2	M2	3	882	0	0
3	M2_0	2	M2	4	5968_5879	0	0
3	M2_0	2	M2	5	667_789	0.719221	0.9195
3	M2_0	2	M2	6	2796_3149	0	0
3	M2_0	2	M2	7	5926_5931	0	0
3	M2_0	2	M2	8	702_2549	0	0
3	M2_0	2	M2	9	5642_5637_4682	0	0
4	M3_0	3	M3	0	2970_4859	0	0
4	M3_0	3	M3	1	1319_3841_1359	0.747915	0.90492
4	M3_0	3	M3	2	4110_2174_1934	0	0
4	M3_0	3	M3	3	882	0	0
4	M3_0	3	M3	4	5968_5879	0	0
4	M3_0	3	M3	5	667_789	0.64659	0.834767
4	M3_0	3	M3	6	2796_3149	0	0
4	M3_0	3	M3	7	5926_5931	0	0
4	M3_0	3	M3	8	702_2549	0	0
4	M3_0	3	M3	9	5642_5637_4682	0	0
5	M4_0	4	M4	0	2970_4859	0	0
5	M4_0	4	M4	1	1319_3841_1359	0	0
5	M4_0	4	M4	2	4110_2174_1934	0	0
5	M4_0	4	M4	3	882	0	0
5	M4_0	4	M4	4	5968_5879	0	0
5	M4_0	4	M4	5	667_789	0.702662	0.895231
5	M4_0	4	M4	6	2796_3149	0	0
5	M4_0	4	M4	7	5926_5931	0	0
5	M4_0	4	M4	8	702_2549	0	0
5	M4_0	4	M4	9	5642_5637_4682	0	0
6	M5_0	5	M5	0	2970_4859	0	0
6	M5_0	5	M5	1	1319_3841_1359	0	0
6	M5_0	5	M5	2	4110_2174_1934	0	0
6	M5_0	5	M5	3	882	0	0
6	M5_0	5	M5	4	5968_5879	0	0
6	M5_0	5	M5	5	667_789	0	0
6	M5_0	5	M5	6	2796_3149	0	0
6	M5_0	5	M5	7	5926_5931	0.238765	0.382649
6	M5_0	5	M5	8	702_2549	0.782471	0.970387
6	M5_0	5	M5	9	5642_5637_4682	0	0
7	M6_0	6	M6	0	2970_4859	0	0
7	M6_0	6	M6	1	1319_3841_1359	0	0
7	M6_0	6	M6	2	4110_2174_1934	0	0
7	M6_0	6	M6	3	882	0	0
7	M6_0	6	M6	4	5968_5879	0	0
7	M6_0	6	M6	5	667_789	0.694809	0.885338
7	M6_0	6	M6	6	2796_3149	0.691243	0.881137
7	M6_0	6	M6	7	5926_5931	0	0
7	M6_0	6	M6	8	702_2549	0	0
7	M6_0	6	M6	9	5642_5637_4682	0	0
8	M7_0	7	M7	0	2970_4859	0	0
8	M7_0	7	M7	1	1319_3841_1359	0	0
8	M7_0	7	M7	2	4110_2174_1934	0	0
8	M7_0	7	M7	3	882	0	0
8	M7_0	7	M7	4	5968_5879	0.300102	0.452073
8	M7_0	7	M7	5	667_789	0.640862	0.832154
8	M7_0	7	M7	6	2796_3149	0	0
8	M7_0	7	M7	7	5926_5931	0	0
8	M7_0	7	M7	8	702_2549	0	0
8	M7_0	7	M7	9	5642_5637_4682	0	0
9	M8_0	8	M8	0	2970_4859	0	0
9	M8_0	8	M8	1	1319_3841_1359	0	0
9	M8_0	8	M8	2	4110_2174_1934	0.742363	0.900674
9	M8_0	8	M8	3	882	0	0
9	M8_0	8	M8	4	5968_5879	0	0
9	M8_0	8	M8	5	667_789	0.638023	0.822473
9	M8_0	8	M8	6	2796_3149	0	0
9	M8_0	8	M8	7	5926_5931	0	0
9	M8_0	8	M8	8	702_2549	0	0
9	M8_0	8	M8	9	5642_5637_4682	0.766027	0.920824
