9 #anatomical sites
10 #samples
16 #characters
#sample_index	sample_label	anatomical_site_index	anatomical_site_label	character_index	character_label	f-	f+
0	P_0	0	P	0	72_74	0	0
0	P_0	0	P	1	57_64_71_73	0	0
0	P_0	0	P	2	2_3_5_7_9_14_18_19_45_58_63_70	0	0
0	P_0	0	P	3	32_41_62_66_67_68	0	0
0	P_0	0	P	4	54_56	0.10698	0.205141
0	P_0	0	P	5	33_36_44_46_55	0	0
0	P_0	0	P	6	52	0.534884	0.7804
0	P_0	0	P	7	28_30_48	0	0
0	P_0	0	P	8	39	0	0
0	P_0	0	P	9	22_37	0	0
0	P_0	0	P	10	29	0.638596	0.898251
0	P_0	0	P	11	24	0	0
0	P_0	0	P	12	4_6_10_15_16_20	0.749132	0.859387
0	P_0	0	P	13	12_13	0	0
0	P_0	0	P	14	1	0.674124	0.941098
0	P_0	0	P	15	0	0.622552	0.895182
1	P_1	0	P	0	72_74	0	0
1	P_1	0	P	1	57_64_71_73	0	0
1	P_1	0	P	2	2_3_5_7_9_14_18_19_45_58_63_70	0	0
1	P_1	0	P	3	32_41_62_66_67_68	0	0
1	P_1	0	P	4	54_56	0.159463	0.274574
1	P_1	0	P	5	33_36_44_46_55	0	0
1	P_1	0	P	6	52	0.501857	0.772528
1	P_1	0	P	7	28_30_48	0	0
1	P_1	0	P	8	39	0	0
1	P_1	0	P	9	22_37	0	0
1	P_1	0	P	10	29	0.531414	0.777727
1	P_1	0	P	11	24	0	0
1	P_1	0	P	12	4_6_10_15_16_20	0.607998	0.715151
1	P_1	0	P	13	12_13	0	0
1	P_1	0	P	14	1	0.64437	0.925325
1	P_1	0	P	15	0	0.771749	1
2	M1_0	1	M1	0	72_74	0	0
2	M1_0	1	M1	1	57_64_71_73	0	0
2	M1_0	1	M1	2	2_3_5_7_9_14_18_19_45_58_63_70	0	0
2	M1_0	1	M1	3	32_41_62_66_67_68	0	0
2	M1_0	1	M1	4	54_56	0	0
2	M1_0	1	M1	5	33_36_44_46_55	0	0
2	M1_0	1	M1	6	52	0	0
2	M1_0	1	M1	7	28_30_48	0	0
2	M1_0	1	M1	8	39	0	0
2	M1_0	1	M1	9	22_37	0	0
2	M1_0	1	M1	10	29	0.0948119	0.239338
2	M1_0	1	M1	11	24	0.171732	0.345515
2	M1_0	1	M1	12	4_6_10_15_16_20	0.180013	0.249605
2	M1_0	1	M1	13	12_13	0.513157	0.700731
2	M1_0	1	M1	14	1	0.608776	0.865664
2	M1_0	1	M1	15	0	0.632373	0.890369
3	M2_0	2	M2	0	72_74	0	0
3	M2_0	2	M2	1	57_64_71_73	0	0
3	M2_0	2	M2	2	2_3_5_7_9_14_18_19_45_58_63_70	0.426289	0.49241
3	M2_0	2	M2	3	32_41_62_66_67_68	0	0
3	M2_0	2	M2	4	54_56	0	0
3	M2_0	2	M2	5	33_36_44_46_55	0	0
3	M2_0	2	M2	6	52	0	0
3	M2_0	2	M2	7	28_30_48	0	0
3	M2_0	2	M2	8	39	0	0
3	M2_0	2	M2	9	22_37	0	0
3	M2_0	2	M2	10	29	0.278666	0.507643
3	M2_0	2	M2	11	24	0	0
3	M2_0	2	M2	12	4_6_10_15_16_20	0.25114	0.331229
3	M2_0	2	M2	13	12_13	0	0
3	M2_0	2	M2	14	1	0.205977	0.410392
3	M2_0	2	M2	15	0	0.761174	1
4	M3_0	3	M3	0	72_74	0	0
4	M3_0	3	M3	1	57_64_71_73	0	0
4	M3_0	3	M3	2	2_3_5_7_9_14_18_19_45_58_63_70	0	0
4	M3_0	3	M3	3	32_41_62_66_67_68	0	0
4	M3_0	3	M3	4	54_56	0	0
4	M3_0	3	M3	5	33_36_44_46_55	0	0
4	M3_0	3	M3	6	52	0	0
4	M3_0	3	M3	7	28_30_48	0	0
4	M3_0	3	M3	8	39	0.260757	0.469466
4	M3_0	3	M3	9	22_37	0	0
4	M3_0	3	M3	10	29	0.718977	0.975227
4	M3_0	3	M3	11	24	0	0
4	M3_0	3	M3	12	4_6_10_15_16_20	0.768534	0.881095
4	M3_0	3	M3	13	12_13	0	0
4	M3_0	3	M3	14	1	0.680924	0.96102
4	M3_0	3	M3	15	0	0.662412	0.946102
5	M4_0	4	M4	0	72_74	0	0
5	M4_0	4	M4	1	57_64_71_73	0	0
5	M4_0	4	M4	2	2_3_5_7_9_14_18_19_45_58_63_70	0	0
5	M4_0	4	M4	3	32_41_62_66_67_68	0	0
5	M4_0	4	M4	4	54_56	0	0
5	M4_0	4	M4	5	33_36_44_46_55	0	0
5	M4_0	4	M4	6	52	0	0
5	M4_0	4	M4	7	28_30_48	0.688217	0.843059
5	M4_0	4	M4	8	39	0	0
5	M4_0	4	M4	9	22_37	0	0
5	M4_0	4	M4	10	29	0	0
5	M4_0	4	M4	11	24	0	0
5	M4_0	4	M4	12	4_6_10_15_16_20	0.71371	0.826318
5	M4_0	4	M4	13	12_13	0	0
5	M4_0	4	M4	14	1	0.760382	1
5	M4_0	4	M4	15	0	0.578601	0.855919
6	M5_0	5	M5	0	72_74	0	0
6	M5_0	5	M5	1	57_64_71_73	0	0
6	M5_0	5	M5	2	2_3_5_7_9_14_18_19_45_58_63_70	0	0
6	M5_0	5	M5	3	32_41_62_66_67_68	0	0
6	M5_0	5	M5	4	54_56	0	0
6	M5_0	5	M5	5	33_36_44_46_55	0	0
6	M5_0	5	M5	6	52	0	0
6	M5_0	5	M5	7	28_30_48	0	0
6	M5_0	5	M5	8	39	0	0
6	M5_0	5	M5	9	22_37	0.641018	0.833078
6	M5_0	5	M5	10	29	0	0
6	M5_0	5	M5	11	24	0	0
6	M5_0	5	M5	12	4_6_10_15_16_20	0	0
6	M5_0	5	M5	13	12_13	0.752043	0.943964
6	M5_0	5	M5	14	1	0.777861	1
6	M5_0	5	M5	15	0	0.722806	0.994147
7	M6_0	6	M6	0	72_74	0.0969527	0.196745
7	M6_0	6	M6	1	57_64_71_73	0	0
7	M6_0	6	M6	2	2_3_5_7_9_14_18_19_45_58_63_70	0	0
7	M6_0	6	M6	3	32_41_62_66_67_68	0	0
7	M6_0	6	M6	4	54_56	0	0
7	M6_0	6	M6	5	33_36_44_46_55	0.747911	0.869668
7	M6_0	6	M6	6	52	0	0
7	M6_0	6	M6	7	28_30_48	0	0
7	M6_0	6	M6	8	39	0	0
7	M6_0	6	M6	9	22_37	0	0
7	M6_0	6	M6	10	29	0	0
7	M6_0	6	M6	11	24	0	0
7	M6_0	6	M6	12	4_6_10_15_16_20	0.74918	0.861754
7	M6_0	6	M6	13	12_13	0	0
7	M6_0	6	M6	14	1	0.750235	1
7	M6_0	6	M6	15	0	0.684949	0.972349
8	M7_0	7	M7	0	72_74	0	0
8	M7_0	7	M7	1	57_64_71_73	0	0
8	M7_0	7	M7	2	2_3_5_7_9_14_18_19_45_58_63_70	0	0
8	M7_0	7	M7	3	32_41_62_66_67_68	0.317571	0.40445
8	M7_0	7	M7	4	54_56	0	0
8	M7_0	7	M7	5	33_36_44_46_55	0	0
8	M7_0	7	M7	6	52	0.268839	0.483087
8	M7_0	7	M7	7	28_30_48	0	0
8	M7_0	7	M7	8	39	0	0
8	M7_0	7	M7	9	22_37	0	0
8	M7_0	7	M7	10	29	0.696441	0.965252
8	M7_0	7	M7	11	24	0	0
8	M7_0	7	M7	12	4_6_10_15_16_20	0.749941	0.86063
8	M7_0	7	M7	13	12_13	0	0
8	M7_0	7	M7	14	1	0.548232	0.830777
8	M7_0	7	M7	15	0	0.761898	1
9	M8_0	8	M8	0	72_74	0	0
9	M8_0	8	M8	1	57_64_71_73	0.731175	0.873137
9	M8_0	8	M8	2	2_3_5_7_9_14_18_19_45_58_63_70	0	0
9	M8_0	8	M8	3	32_41_62_66_67_68	0	0
9	M8_0	8	M8	4	54_56	0	0
9	M8_0	8	M8	5	33_36_44_46_55	0	0
9	M8_0	8	M8	6	52	0.549882	0.827601
9	M8_0	8	M8	7	28_30_48	0	0
9	M8_0	8	M8	8	39	0	0
9	M8_0	8	M8	9	22_37	0	0
9	M8_0	8	M8	10	29	0.702256	0.970683
9	M8_0	8	M8	11	24	0	0
9	M8_0	8	M8	12	4_6_10_15_16_20	0.720586	0.833382
9	M8_0	8	M8	13	12_13	0	0
9	M8_0	8	M8	14	1	0.726298	1
9	M8_0	8	M8	15	0	0.718583	0.977725
