8 #anatomical sites
9 #samples
21 #characters
#sample_index	sample_label	anatomical_site_index	anatomical_site_label	character_index	character_label	f-	f+
0	P_0	0	P	0	405_417_427_430_448_455_486_491_502_520_531_554_567_588_663_668_694_705_712_721_728_733_741_747_755_766_770	0	0
0	P_0	0	P	1	396_407_413_419_438_444_449_463_469_503_521_532_555_568_579_589_601_624_642_653_664_669_678_695_706_714_718_724_731_737_738_743	0	0
0	P_0	0	P	2	687	0	0
0	P_0	0	P	3	273_289_297_300_312_322_325_337_340_344_347_350_356_359_366_369_378_382_394_399_404_425_429_435_447_462_477_530_542_553_566_578_600_622_623_631_638_639_648_650_657_658_662_665_677	0	0
0	P_0	0	P	4	217_224_226_229_238_244_249_255_267_270_271_280_283_290_298_308_313_317_319_327_334_335_345_354_357_360_370_374_379_383_386_395_411_416_421_426_437_443_454_490_500_510_528_538_550_573_584_595_617_634	0	0
0	P_0	0	P	5	11_15_20_34_41_46_49_54_59_63_66_71_74_78_81_82_85_88_92_94_97_98_102_108_117_118_120_124_126_128_129_130_132_137_140_148_157_159_162_170_173_177_180_186_189_194_195_198_200_204_206_213_216_221_231_234_240_245_251_256_259_264_281_287_291_294_302_305_310_318_323_330_332_339_342_346_349_377_385_389_392_409_423_428_432_451_457_471_479_492_493_505_533_535_543_545_546_556_559_560_571_580_591_594_615	0	0
0	P_0	0	P	6	21_42_47_56_68_72_75_79_83_86_89_95_103_105_109_110_112_115_121_125_134_142_144_146_152_153_156_161_166_168_175_178_182_185_187_190_193_201_203_205_207_210_218_235_242_252_257_261_266_272_275_276_278_284_288_292_295_301_304_309_314_320_326_328_329_331_336_338_341_348_351_352_358_362_368_373_376_398_408_414_433_436_441_459_467_474_481_487_498_517_548	0	0
0	P_0	0	P	7	440_496	0	0
0	P_0	0	P	8	223_237_243_248_254_263_391_397_400_406	0	0
0	P_0	0	P	9	402	0	0
0	P_0	0	P	10	277_279_282_286_296_299_303_307_311_316_333_361_364_367_371_372_375_380_387	0	0
0	P_0	0	P	11	225_228_236_247_253_258_262_269	0	0
