9 #anatomical sites
10 #samples
28 #characters
#sample_index	sample_label	anatomical_site_index	anatomical_site_label	character_index	character_label	f-	f+
0	P_0	0	P	0	127_128_131	0	0
0	P_0	0	P	1	26_52_84_85_108_112_114_116_117_119_120_121_123_126	0	0
0	P_0	0	P	2	102_103_110_115_125	0	0
0	P_0	0	P	3	65_80_93_124	0	0
0	P_0	0	P	4	88_97_107	0	0
0	P_0	0	P	5	98_106	0	0
0	P_0	0	P	6	4_16_20_36_38_59_73_77_82_86_90_92_95_105	0.413885	0.476095
0	P_0	0	P	7	96	0.444849	0.694774
0	P_0	0	P	8	94	0	0
0	P_0	0	P	9	89	0	0
0	P_0	0	P	10	83	0	0
0	P_0	0	P	11	6_8_9_11_13_14_15_19_21_23_25_29_30_39_40_43_50_54_66_67_68_81	0	0
0	P_0	0	P	12	69_74_78_79	0	0
0	P_0	0	P	13	32_35_41_47_49_51_75	0	0
0	P_0	0	P	14	71	0	0
0	P_0	0	P	15	63_64	0	0
0	P_0	0	P	16	62	0.0816443	0.213293
0	P_0	0	P	17	61	0.0764287	0.21404
0	P_0	0	P	18	10_12_27_28_31_42_44_46_48_60	0	0
0	P_0	0	P	19	58	0	0
0	P_0	0	P	20	33_34_37_45_53_55_56_57	0.234298	0.299423
0	P_0	0	P	21	22_24	0	0
0	P_0	0	P	22	3_17_18	0.199882	0.305691
0	P_0	0	P	23	7	0	0
0	P_0	0	P	24	5	0	0
0	P_0	0	P	25	2	0.599607	0.865509
0	P_0	0	P	26	1	0	0
0	P_0	0	P	27	0	0.639071	0.900644
1	P_1	0	P	0	127_128_131	0	0
1	P_1	0	P	1	26_52_84_85_108_112_114_116_117_119_120_121_123_126	0	0
1	P_1	0	P	2	102_103_110_115_125	0	0
1	P_1	0	P	3	65_80_93_124	0	0
1	P_1	0	P	4	88_97_107	0	0
1	P_1	0	P	5	98_106	0	0
1	P_1	0	P	6	4_16_20_36_38_59_73_77_82_86_90_92_95_105	0.274303	0.326696
1	P_1	0	P	7	96	0.233761	0.44256
1	P_1	0	P	8	94	0	0
1	P_1	0	P	9	89	0	0
1	P_1	0	P	10	83	0	0
1	P_1	0	P	11	6_8_9_11_13_14_15_19_21_23_25_29_30_39_40_43_50_54_66_67_68_81	0	0
1	P_1	0	P	12	69_74_78_79	0	0
1	P_1	0	P	13	32_35_41_47_49_51_75	0	0
1	P_1	0	P	14	71	0	0
1	P_1	0	P	15	63_64	0	0
1	P_1	0	P	16	62	0.251002	0.456577
1	P_1	0	P	17	61	0.200194	0.404544
1	P_1	0	P	18	10_12_27_28_31_42_44_46_48_60	0	0
1	P_1	0	P	19	58	0	0
1	P_1	0	P	20	33_34_37_45_53_55_56_57	0.480688	0.567967
1	P_1	0	P	21	22_24	0	0
1	P_1	0	P	22	3_17_18	0.446257	0.581803
1	P_1	0	P	23	7	0	0
1	P_1	0	P	24	5	0	0
1	P_1	0	P	25	2	0.711754	0.993376
1	P_1	0	P	26	1	0	0
1	P_1	0	P	27	0	0.758462	1
2	M1_0	1	M1	0	127_128_131	0	0
