8 #anatomical sites
9 #samples
14 #characters
#sample_index	sample_label	anatomical_site_index	anatomical_site_label	character_index	character_label	f-	f+
0	P_0	0	P	0	17_38_40_42_53_69	0	0
0	P_0	0	P	1	10_11_14_20_23_30_39_41_62	0	0
0	P_0	0	P	2	5_16_28_31_33_34_35_37_46	0	0
0	P_0	0	P	3	45	0	0
0	P_0	0	P	4	27_43	0	0
0	P_0	0	P	5	32	0	0
0	P_0	0	P	6	26	0	0
0	P_0	0	P	7	24	0	0
0	P_0	0	P	8	9_21	0	0
0	P_0	0	P	9	7_18	0.328545	0.49277
0	P_0	0	P	10	6_15	0	0
0	P_0	0	P	11	4	0	0
0	P_0	0	P	12	1_2_3	0	0
0	P_0	0	P	13	0	0.667112	0.925485
1	P_1	0	P	0	17_38_40_42_53_69	0	0
1	P_1	0	P	1	10_11_14_20_23_30_39_41_62	0	0
1	P_1	0	P	2	5_16_28_31_33_34_35_37_46	0	0
1	P_1	0	P	3	45	0	0
1	P_1	0	P	4	27_43	0	0
1	P_1	0	P	5	32	0	0
1	P_1	0	P	6	26	0	0
1	P_1	0	P	7	24	0	0
1	P_1	0	P	8	9_21	0	0
1	P_1	0	P	9	7_18	0.554732	0.740723
1	P_1	0	P	10	6_15	0	0
1	P_1	0	P	11	4	0	0
1	P_1	0	P	12	1_2_3	0.116557	0.200128
1	P_1	0	P	13	0	0.749056	1
2	M1_0	1	M1	0	17_38_40_42_53_69	0	0
2	M1_0	1	M1	1	10_11_14_20_23_30_39_41_62	0	0
2	M1_0	1	M1	2	5_16_28_31_33_34_35_37_46	0	0
2	M1_0	1	M1	3	45	0.12718	0.289186
2	M1_0	1	M1	4	27_43	0	0
2	M1_0	1	M1	5	32	0	0
2	M1_0	1	M1	6	26	0.667959	0.928207
2	M1_0	1	M1	7	24	0	0
2	M1_0	1	M1	8	9_21	0	0
2	M1_0	1	M1	9	7_18	0.689474	0.879051
2	M1_0	1	M1	10	6_15	0	0
2	M1_0	1	M1	11	4	0	0
2	M1_0	1	M1	12	1_2_3	0	0
2	M1_0	1	M1	13	0	0.643982	0.912477
3	M2_0	2	M2	0	17_38_40_42_53_69	0	0
3	M2_0	2	M2	1	10_11_14_20_23_30_39_41_62	0	0
3	M2_0	2	M2	2	5_16_28_31_33_34_35_37_46	0	0
3	M2_0	2	M2	3	45	0	0
3	M2_0	2	M2	4	27_43	0	0
3	M2_0	2	M2	5	32	0	0
3	M2_0	2	M2	6	26	0	0
3	M2_0	2	M2	7	24	0	0
3	M2_0	2	M2	8	9_21	0.0654118	0.151959
3	M2_0	2	M2	9	7_18	0	0
3	M2_0	2	M2	10	6_15	0.696199	0.884426
3	M2_0	2	M2	11	4	0.596467	0.861428
3	M2_0	2	M2	12	1_2_3	0.615701	0.763948
3	M2_0	2	M2	13	0	0.67267	0.942929
4	M3_0	3	M3	0	17_38_40_42_53_69	0	0
4	M3_0	3	M3	1	10_11_14_20_23_30_39_41_62	0	0
4	M3_0	3	M3	2	5_16_28_31_33_34_35_37_46	0.110095	0.15662
4	M3_0	3	M3	3	45	0	0
4	M3_0	3	M3	4	27_43	0	0
4	M3_0	3	M3	5	32	0	0
4	M3_0	3	M3	6	26	0	0
4	M3_0	3	M3	7	24	0.587476	0.847693
4	M3_0	3	M3	8	9_21	0	0
4	M3_0	3	M3	9	7_18	0.573728	0.759443
4	M3_0	3	M3	10	6_15	0	0
4	M3_0	3	M3	11	4	0	0
4	M3_0	3	M3	12	1_2_3	0	0
4	M3_0	3	M3	13	0	0.636476	0.913059
5	M4_0	4	M4	0	17_38_40_42_53_69	0	0
5	M4_0	4	M4	1	10_11_14_20_23_30_39_41_62	0.37737	0.452623
5	M4_0	4	M4	2	5_16_28_31_33_34_35_37_46	0	0
5	M4_0	4	M4	3	45	0	0
5	M4_0	4	M4	4	27_43	0	0
5	M4_0	4	M4	5	32	0	0
5	M4_0	4	M4	6	26	0	0
5	M4_0	4	M4	7	24	0	0
5	M4_0	4	M4	8	9_21	0	0
5	M4_0	4	M4	9	7_18	0	0
5	M4_0	4	M4	10	6_15	0	0
5	M4_0	4	M4	11	4	0.290795	0.508684
