8 #anatomical sites
9 #samples
27 #characters
#sample_index	sample_label	anatomical_site_index	anatomical_site_label	character_index	character_label	f-	f+
0	P_0	0	P	0	38_43_49_51_54_56_58_68_71_74_78_81_83_85_87_89_91_93_95_97_102_105_114_121_130_134_136_139_141_145_147_149_152_156_158_160_163_166_171_172_174_178_180_186_202_207_213_216_227_230_242_263_282_285_288_298_308_312_315_319_321_333_338_341_345_349_352_357_365_374_380_401_416_436_457_468_472_478_486_490_500_513_515_518_523_529_532_542_556_564_574_577_580_586_595_608_613_619_624_632_637_648_654_658_660_661_664_667_671_673_677_678_679_693_700_712_718_724_732_737_739_742	0	0
0	P_0	0	P	1	212_218_219_225_226_234_235_236_238_239_240_245_250_253_254_255_258_265_267_278_279_286_290_291_293_301_303_306_310_313_324_336_343_348_350_355_359_371_377_384_395_406_419_446_471_477_489_494_508_510_517_530_535_560_572_583_589_592_600_610_615_620_626_644_656_663_666_676_688_699_706_711_717_721_722_736	0	0
0	P_0	0	P	2	381_390_402_408_423_429_437_462_465_469_474_479_481_484_496_507_511_514_520_525_534_544_551_559_578_582_588_609_643_649_655_659_662_665_669_674_675_680_681_682_684_687_690_691_702_704_707_710	0	0
0	P_0	0	P	3	369_393_411_432_451_463_466_476_480_482_488_493_498_503_512_522_550_558_571_585_590_594_599_603_607_617_623_631_646	0	0
0	P_0	0	P	4	568	0	0
0	P_0	0	P	5	391_404_409_418_424_430_438_459_470_475_485_492_497_502_505_509_516_521_526_528_531_536_538_540_541_545_546_554_562	0	0
0	P_0	0	P	6	499	0	0
0	P_0	0	P	7	467	0	0
0	P_0	0	P	8	215_220_229_241_251_261_270_274_280_295_302_304_307_311_314_317_318_325_326_330_337_344_351_367_372_378_386_387_397_413_421_426_427_433_441_442_455_460	0	0
0	P_0	0	P	9	445	0	0
0	P_0	0	P	10	392	0	0
0	P_0	0	P	11	382	0	0
0	P_0	0	P	12	376	0	0
0	P_0	0	P	13	107_113_117_126_128_133_135_140_144_150_155_157_165_170_173_177_183_189_192_196_198_204_208_222_232_243_246_264_283_292_297_305_309_320_323_327_329_331_335_339_340_342_347_353_354_358_363	0	0
0	P_0	0	P	14	332	0	0
0	P_0	0	P	15	328	0	0
0	P_0	0	P	16	269	0	0
0	P_0	0	P	17	111_112_120_125_127_132_138_143_146_151_154_159_161_162_164_168_175_176_179_182_185_188_190_191_194_197_199_201_206_209	0	0
0	P_0	0	P	18	115	0	0
