8 #anatomical sites
9 #samples
15 #characters
#sample_index	sample_label	anatomical_site_index	anatomical_site_label	character_index	character_label	f-	f+
0	P_0	0	P	0	40_52_58_63	0	0
0	P_0	0	P	1	60_61	0	0
0	P_0	0	P	2	51	0	0
0	P_0	0	P	3	5_6_10_19_43_50	0	0
0	P_0	0	P	4	4_11_13_20_41_46	0	0
0	P_0	0	P	5	14_16_29_34_36_37_38_45	0	0
0	P_0	0	P	6	35_39_44	0	0
0	P_0	0	P	7	32_42	0	0
0	P_0	0	P	8	22_26_28_31_33	0	0
0	P_0	0	P	9	30	0	0
0	P_0	0	P	10	24	0.549337	0.809993
0	P_0	0	P	11	23	0.126247	0.293027
0	P_0	0	P	12	7_17_18_21	0.760762	0.896409
0	P_0	0	P	13	2_3_8_9_12_15	0	0
0	P_0	0	P	14	0_1	0.765576	0.965227
1	P_1	0	P	0	40_52_58_63	0	0
1	P_1	0	P	1	60_61	0	0
1	P_1	0	P	2	51	0	0
1	P_1	0	P	3	5_6_10_19_43_50	0	0
1	P_1	0	P	4	4_11_13_20_41_46	0	0
1	P_1	0	P	5	14_16_29_34_36_37_38_45	0	0
1	P_1	0	P	6	35_39_44	0	0
1	P_1	0	P	7	32_42	0	0
1	P_1	0	P	8	22_26_28_31_33	0	0
1	P_1	0	P	9	30	0	0
1	P_1	0	P	10	24	0	0
1	P_1	0	P	11	23	0.438209	0.677705
1	P_1	0	P	12	7_17_18_21	0.581359	0.709506
1	P_1	0	P	13	2_3_8_9_12_15	0	0
1	P_1	0	P	14	0_1	0.642248	0.832371
2	M1_0	1	M1	0	40_52_58_63	0	0
2	M1_0	1	M1	1	60_61	0	0
2	M1_0	1	M1	2	51	0	0
2	M1_0	1	M1	3	5_6_10_19_43_50	0	0
2	M1_0	1	M1	4	4_11_13_20_41_46	0	0
2	M1_0	1	M1	5	14_16_29_34_36_37_38_45	0	0
2	M1_0	1	M1	6	35_39_44	0	0
2	M1_0	1	M1	7	32_42	0	0
2	M1_0	1	M1	8	22_26_28_31_33	0.0864719	0.143504
2	M1_0	1	M1	9	30	0	0
2	M1_0	1	M1	10	24	0	0
2	M1_0	1	M1	11	23	0	0
2	M1_0	1	M1	12	7_17_18_21	0	0
2	M1_0	1	M1	13	2_3_8_9_12_15	0.761348	0.87101
2	M1_0	1	M1	14	0_1	0.718993	0.902791
3	M2_0	2	M2	0	40_52_58_63	0	0
3	M2_0	2	M2	1	60_61	0	0
3	M2_0	2	M2	2	51	0	0
3	M2_0	2	M2	3	5_6_10_19_43_50	0	0
3	M2_0	2	M2	4	4_11_13_20_41_46	0	0
3	M2_0	2	M2	5	14_16_29_34_36_37_38_45	0.518473	0.605259
3	M2_0	2	M2	6	35_39_44	0	0
3	M2_0	2	M2	7	32_42	0	0
3	M2_0	2	M2	8	22_26_28_31_33	0	0
3	M2_0	2	M2	9	30	0	0
3	M2_0	2	M2	10	24	0	0
3	M2_0	2	M2	11	23	0	0
3	M2_0	2	M2	12	7_17_18_21	0	0
3	M2_0	2	M2	13	2_3_8_9_12_15	0	0
3	M2_0	2	M2	14	0_1	0.74109	0.927833
4	M3_0	3	M3	0	40_52_58_63	0	0
4	M3_0	3	M3	1	60_61	0	0
4	M3_0	3	M3	2	51	0	0
4	M3_0	3	M3	3	5_6_10_19_43_50	0.674695	0.780668
4	M3_0	3	M3	4	4_11_13_20_41_46	0	0
4	M3_0	3	M3	5	14_16_29_34_36_37_38_45	0	0
4	M3_0	3	M3	6	35_39_44	0	0
4	M3_0	3	M3	7	32_42	0	0
4	M3_0	3	M3	8	22_26_28_31_33	0	0
4	M3_0	3	M3	9	30	0	0
4	M3_0	3	M3	10	24	0	0
4	M3_0	3	M3	11	23	0	0
4	M3_0	3	M3	12	7_17_18_21	0	0
4	M3_0	3	M3	13	2_3_8_9_12_15	0	0
4	M3_0	3	M3	14	0_1	0.694094	0.885805
5	M4_0	4	M4	0	40_52_58_63	0	0
5	M4_0	4	M4	1	60_61	0	0
5	M4_0	4	M4	2	51	0.250773	0.468208
5	M4_0	4	M4	3	5_6_10_19_43_50	0	0
5	M4_0	4	M4	4	4_11_13_20_41_46	0	0
5	M4_0	4	M4	5	14_16_29_34_36_37_38_45	0	0
5	M4_0	4	M4	6	35_39_44	0.803811	0.962817
5	M4_0	4	M4	7	32_42	0	0
5	M4_0	4	M4	8	22_26_28_31_33	0	0
5	M4_0	4	M4	9	30	0.563991	0.818932
5	M4_0	4	M4	10	24	0	0
5	M4_0	4	M4	11	23	0.543465	0.795797
5	M4_0	4	M4	12	7_17_18_21	0.767098	0.902812
5	M4_0	4	M4	13	2_3_8_9_12_15	0	0
5	M4_0	4	M4	14	0_1	0.692211	0.879118
6	M5_0	5	M5	0	40_52_58_63	0	0
6	M5_0	5	M5	1	60_61	0	0
6	M5_0	5	M5	2	51	0	0
6	M5_0	5	M5	3	5_6_10_19_43_50	0	0
6	M5_0	5	M5	4	4_11_13_20_41_46	0	0
6	M5_0	5	M5	5	14_16_29_34_36_37_38_45	0	0
6	M5_0	5	M5	6	35_39_44	0	0
6	M5_0	5	M5	7	32_42	0.729231	0.923077
6	M5_0	5	M5	8	22_26_28_31_33	0	0
6	M5_0	5	M5	9	30	0	0
6	M5_0	5	M5	10	24	0	0
6	M5_0	5	M5	11	23	0	0
6	M5_0	5	M5	12	7_17_18_21	0.690342	0.82298
6	M5_0	5	M5	13	2_3_8_9_12_15	0	0
6	M5_0	5	M5	14	0_1	0.725968	0.91376
7	M6_0	6	M6	0	40_52_58_63	0	0
7	M6_0	6	M6	1	60_61	0.0823726	0.169964
7	M6_0	6	M6	2	51	0	0
7	M6_0	6	M6	3	5_6_10_19_43_50	0	0
7	M6_0	6	M6	4	4_11_13_20_41_46	0.745621	0.855658
7	M6_0	6	M6	5	14_16_29_34_36_37_38_45	0	0
7	M6_0	6	M6	6	35_39_44	0	0
7	M6_0	6	M6	7	32_42	0	0
7	M6_0	6	M6	8	22_26_28_31_33	0	0
7	M6_0	6	M6	9	30	0	0
7	M6_0	6	M6	10	24	0	0
7	M6_0	6	M6	11	23	0	0
7	M6_0	6	M6	12	7_17_18_21	0	0
7	M6_0	6	M6	13	2_3_8_9_12_15	0	0
7	M6_0	6	M6	14	0_1	0.703875	0.894069
8	M7_0	7	M7	0	40_52_58_63	0.792872	0.934244
8	M7_0	7	M7	1	60_61	0	0
