# 18 out of 18 mutations
60 #trees
17 #edges, tree 1
12_15_17_19_24_26_30_35_44 9_11_14_22_27_33_34_47
38 40
16_20 49_51_54_57_68
16_20 38
7 10_13_28_39_53
7 12_15_17_19_24_26_30_35_44
3 36_37_56_58_59
3 21_23_25
3 16_20
3 18
2 7
0 29_31
0 5_8
0 4
0 3
0 2
0 1
17 #edges, tree 2
0 1
0 2
0 3
0 4
0 5_8
0 29_31
2 7
3 18
3 16_20
3 21_23_25
3 36_37_56_58_59
7 12_15_17_19_24_26_30_35_44
7 10_13_28_39_53
16_20 38
16_20 40
16_20 49_51_54_57_68
12_15_17_19_24_26_30_35_44 9_11_14_22_27_33_34_47
17 #edges, tree 3
38 40
16_20 49_51_54_57_68
16_20 38
7 10_13_28_39_53
7 12_15_17_19_24_26_30_35_44
4 9_11_14_22_27_33_34_47
3 36_37_56_58_59
3 21_23_25
3 16_20
3 18
2 7
0 29_31
0 5_8
0 4
0 3
0 2
0 1
17 #edges, tree 4
16_20 49_51_54_57_68
16_20 40
16_20 38
7 10_13_28_39_53
7 12_15_17_19_24_26_30_35_44
4 9_11_14_22_27_33_34_47
3 36_37_56_58_59
3 21_23_25
3 16_20
3 18
2 7
0 29_31
0 5_8
0 4
0 3
0 2
0 1
17 #edges, tree 5
0 1
0 2
0 3
0 4
0 29_31
1 5_8
2 7
3 18
3 16_20
3 21_23_25
3 36_37_56_58_59
7 12_15_17_19_24_26_30_35_44
7 10_13_28_39_53
16_20 38
16_20 40
16_20 49_51_54_57_68
12_15_17_19_24_26_30_35_44 9_11_14_22_27_33_34_47
17 #edges, tree 6
0 1
0 2
0 3
0 4
0 29_31
1 5_8
2 7
3 18
3 16_20
3 21_23_25
3 36_37_56_58_59
7 12_15_17_19_24_26_30_35_44
7 10_13_28_39_53
16_20 38
16_20 49_51_54_57_68
38 40
12_15_17_19_24_26_30_35_44 9_11_14_22_27_33_34_47
17 #edges, tree 7
0 1
0 2
0 3
0 4
0 29_31
1 5_8
2 7
3 18
3 16_20
3 21_23_25
3 36_37_56_58_59
4 9_11_14_22_27_33_34_47
7 12_15_17_19_24_26_30_35_44
7 10_13_28_39_53
16_20 38
16_20 40
16_20 49_51_54_57_68
17 #edges, tree 8
0 1
0 2
0 3
0 4
0 29_31
1 5_8
2 7
3 18
3 16_20
3 21_23_25
3 36_37_56_58_59
4 9_11_14_22_27_33_34_47
7 12_15_17_19_24_26_30_35_44
7 10_13_28_39_53
16_20 38
16_20 49_51_54_57_68
38 40
17 #edges, tree 9
16_20 49_51_54_57_68
16_20 40
16_20 38
7 10_13_28_39_53
7 12_15_17_19_24_26_30_35_44
4 9_11_14_22_27_33_34_47
3 36_37_56_58_59
3 21_23_25
3 16_20
3 18
2 5_8
2 7
0 29_31
0 4
0 3
0 2
0 1
17 #edges, tree 10
38 40
16_20 49_51_54_57_68
16_20 38
7 10_13_28_39_53
7 12_15_17_19_24_26_30_35_44
4 9_11_14_22_27_33_34_47
3 36_37_56_58_59
3 21_23_25
3 16_20
3 18
2 5_8
2 7
0 29_31
0 4
0 3
0 2
0 1
17 #edges, tree 11
12_15_17_19_24_26_30_35_44 9_11_14_22_27_33_34_47
16_20 49_51_54_57_68
16_20 40
16_20 38
7 10_13_28_39_53
7 12_15_17_19_24_26_30_35_44
3 36_37_56_58_59
3 21_23_25
3 16_20
3 18
2 5_8
2 7
0 29_31
0 4
0 3
0 2
0 1
17 #edges, tree 12
12_15_17_19_24_26_30_35_44 9_11_14_22_27_33_34_47
38 40
16_20 49_51_54_57_68
16_20 38
7 10_13_28_39_53
7 12_15_17_19_24_26_30_35_44
3 36_37_56_58_59
3 21_23_25
3 16_20
3 18
2 5_8
2 7
0 29_31
0 4
0 3
0 2
0 1
17 #edges, tree 13
16_20 49_51_54_57_68
16_20 40
16_20 38
7 10_13_28_39_53
7 12_15_17_19_24_26_30_35_44
4 9_11_14_22_27_33_34_47
3 36_37_56_58_59
3 29_31
3 21_23_25
3 16_20
3 18
2 7
1 5_8
0 4
0 3
0 2
0 1
17 #edges, tree 14
16_20 49_51_54_57_68
16_20 40
16_20 38
7 10_13_28_39_53
7 12_15_17_19_24_26_30_35_44
4 9_11_14_22_27_33_34_47
3 36_37_56_58_59
3 29_31
3 21_23_25
3 16_20
3 18
2 5_8
2 7
0 4
0 3
0 2
0 1
17 #edges, tree 15
16_20 49_51_54_57_68
16_20 40
16_20 38
7 10_13_28_39_53
7 12_15_17_19_24_26_30_35_44
4 9_11_14_22_27_33_34_47
3 36_37_56_58_59
3 29_31
3 21_23_25
3 16_20
3 18
2 7
0 5_8
0 4
0 3
0 2
0 1
17 #edges, tree 16
38 40
16_20 49_51_54_57_68
16_20 38
7 10_13_28_39_53
7 12_15_17_19_24_26_30_35_44
4 9_11_14_22_27_33_34_47
3 36_37_56_58_59
3 29_31
3 21_23_25
3 16_20
3 18
2 5_8
2 7
0 4
0 3
0 2
0 1
17 #edges, tree 17
0 1
0 2
0 3
0 4
1 5_8
2 7
3 18
3 16_20
3 21_23_25
3 29_31
3 36_37_56_58_59
4 9_11_14_22_27_33_34_47
7 12_15_17_19_24_26_30_35_44
7 10_13_28_39_53
16_20 38
16_20 49_51_54_57_68
38 40
17 #edges, tree 18
0 1
0 2
0 3
0 4
0 5_8
2 7
3 18
3 16_20
3 21_23_25
3 29_31
3 36_37_56_58_59
4 9_11_14_22_27_33_34_47
7 12_15_17_19_24_26_30_35_44
7 10_13_28_39_53
16_20 38
16_20 49_51_54_57_68
38 40
17 #edges, tree 19
0 1
0 2
0 3
0 4
0 5_8
2 7
3 18
3 16_20
3 21_23_25
3 29_31
3 36_37_56_58_59
7 12_15_17_19_24_26_30_35_44
7 10_13_28_39_53
16_20 38
16_20 40
16_20 49_51_54_57_68
12_15_17_19_24_26_30_35_44 9_11_14_22_27_33_34_47
17 #edges, tree 20
0 1
0 2
0 3
0 4
0 5_8
2 7
3 18
3 16_20
3 21_23_25
3 29_31
3 36_37_56_58_59
7 12_15_17_19_24_26_30_35_44
7 10_13_28_39_53
16_20 38
16_20 49_51_54_57_68
38 40
12_15_17_19_24_26_30_35_44 9_11_14_22_27_33_34_47
17 #edges, tree 21
0 1
0 2
0 3
0 4
1 5_8
2 7
3 18
3 16_20
3 21_23_25
3 29_31
3 36_37_56_58_59
7 12_15_17_19_24_26_30_35_44
7 10_13_28_39_53
16_20 38
16_20 40
16_20 49_51_54_57_68
12_15_17_19_24_26_30_35_44 9_11_14_22_27_33_34_47
17 #edges, tree 22
0 1
0 2
0 3
0 4
2 7
2 5_8
3 18
3 16_20
3 21_23_25
3 29_31
3 36_37_56_58_59
7 12_15_17_19_24_26_30_35_44
7 10_13_28_39_53
16_20 38
16_20 40
16_20 49_51_54_57_68
12_15_17_19_24_26_30_35_44 9_11_14_22_27_33_34_47
17 #edges, tree 23
0 1
0 2
0 3
0 4
2 7
2 5_8
3 18
3 16_20
3 21_23_25
3 29_31
3 36_37_56_58_59
7 12_15_17_19_24_26_30_35_44
7 10_13_28_39_53
16_20 38
16_20 49_51_54_57_68
38 40
12_15_17_19_24_26_30_35_44 9_11_14_22_27_33_34_47
17 #edges, tree 24
0 1
0 2
0 3
0 4
1 5_8
2 7
3 18
3 16_20
3 21_23_25
3 29_31
3 36_37_56_58_59
7 12_15_17_19_24_26_30_35_44
7 10_13_28_39_53
16_20 38
16_20 49_51_54_57_68
38 40
12_15_17_19_24_26_30_35_44 9_11_14_22_27_33_34_47
17 #edges, tree 25
0 1
0 2
0 3
0 4
2 7
2 5_8
3 18
3 16_20
3 21_23_25
3 36_37_56_58_59
4 9_11_14_22_27_33_34_47
7 12_15_17_19_24_26_30_35_44
7 10_13_28_39_53
16_20 38
16_20 40
16_20 49_51_54_57_68
21_23_25 29_31
17 #edges, tree 26
0 1
0 2
0 3
0 4
2 7
2 5_8
3 18
3 16_20
3 21_23_25
3 36_37_56_58_59
7 12_15_17_19_24_26_30_35_44
7 10_13_28_39_53
16_20 38
16_20 40
16_20 49_51_54_57_68
21_23_25 29_31
12_15_17_19_24_26_30_35_44 9_11_14_22_27_33_34_47
17 #edges, tree 27
0 1
0 2
0 3
0 4
2 7
2 5_8
3 18
3 16_20
3 21_23_25
3 36_37_56_58_59
4 9_11_14_22_27_33_34_47
7 12_15_17_19_24_26_30_35_44
7 10_13_28_39_53
16_20 38
16_20 49_51_54_57_68
21_23_25 29_31
38 40
17 #edges, tree 28
0 1
0 2
0 3
0 4
2 7
2 5_8
3 18
3 16_20
3 21_23_25
3 36_37_56_58_59
7 12_15_17_19_24_26_30_35_44
7 10_13_28_39_53
16_20 38
16_20 49_51_54_57_68
21_23_25 29_31
38 40
12_15_17_19_24_26_30_35_44 9_11_14_22_27_33_34_47
17 #edges, tree 29
0 1
0 2
0 3
0 4
1 5_8
2 7
3 18
3 16_20
3 21_23_25
3 36_37_56_58_59
4 9_11_14_22_27_33_34_47
7 12_15_17_19_24_26_30_35_44
7 10_13_28_39_53
16_20 38
16_20 40
16_20 49_51_54_57_68
21_23_25 29_31
17 #edges, tree 30
0 1
0 2
0 3
0 4
0 5_8
2 7
3 18
3 16_20
3 21_23_25
3 36_37_56_58_59
4 9_11_14_22_27_33_34_47
7 12_15_17_19_24_26_30_35_44
7 10_13_28_39_53
16_20 38
16_20 40
16_20 49_51_54_57_68
21_23_25 29_31
17 #edges, tree 31
0 1
0 2
0 3
0 4
1 5_8
2 7
3 18
3 16_20
3 21_23_25
3 36_37_56_58_59
7 12_15_17_19_24_26_30_35_44
7 10_13_28_39_53
16_20 38
16_20 40
16_20 49_51_54_57_68
21_23_25 29_31
12_15_17_19_24_26_30_35_44 9_11_14_22_27_33_34_47
17 #edges, tree 32
0 1
0 2
0 3
0 4
0 5_8
2 7
3 18
3 16_20
3 21_23_25
3 36_37_56_58_59
7 12_15_17_19_24_26_30_35_44
7 10_13_28_39_53
16_20 38
16_20 40
16_20 49_51_54_57_68
21_23_25 29_31
12_15_17_19_24_26_30_35_44 9_11_14_22_27_33_34_47
17 #edges, tree 33
38 40
21_23_25 29_31
16_20 49_51_54_57_68
16_20 38
7 10_13_28_39_53
7 12_15_17_19_24_26_30_35_44
4 9_11_14_22_27_33_34_47
3 36_37_56_58_59
3 21_23_25
3 16_20
3 18
2 7
1 5_8
0 4
0 3
0 2
0 1
17 #edges, tree 34
12_15_17_19_24_26_30_35_44 9_11_14_22_27_33_34_47
38 40
21_23_25 29_31
16_20 49_51_54_57_68
16_20 38
7 10_13_28_39_53
7 12_15_17_19_24_26_30_35_44
3 36_37_56_58_59
3 21_23_25
3 16_20
3 18
2 7
1 5_8
0 4
0 3
0 2
0 1
17 #edges, tree 35
38 40
21_23_25 29_31
16_20 49_51_54_57_68
16_20 38
7 10_13_28_39_53
7 12_15_17_19_24_26_30_35_44
4 9_11_14_22_27_33_34_47
3 36_37_56_58_59
3 21_23_25
3 16_20
3 18
2 7
0 5_8
0 4
0 3
0 2
0 1
17 #edges, tree 36
12_15_17_19_24_26_30_35_44 9_11_14_22_27_33_34_47
38 40
21_23_25 29_31
16_20 49_51_54_57_68
16_20 38
7 10_13_28_39_53
7 12_15_17_19_24_26_30_35_44
3 36_37_56_58_59
3 21_23_25
3 16_20
3 18
2 7
0 5_8
0 4
0 3
0 2
0 1
17 #edges, tree 37
38 40
16_20 49_51_54_57_68
16_20 38
7 10_13_28_39_53
7 12_15_17_19_24_26_30_35_44
4 9_11_14_22_27_33_34_47
3 36_37_56_58_59
3 21_23_25
3 16_20
3 18
2 7
2 4
0 29_31
0 5_8
0 3
0 2
0 1
17 #edges, tree 38
16_20 49_51_54_57_68
16_20 40
16_20 38
7 10_13_28_39_53
7 12_15_17_19_24_26_30_35_44
4 9_11_14_22_27_33_34_47
3 36_37_56_58_59
3 21_23_25
3 16_20
3 18
2 7
2 4
