# 17 out of 18 mutations
8 #trees
16 #edges, tree 1
0 1
0 2
0 47_48
0 5_13_14_28_35_46_51_58_62
2 19
2 3_6_10_26_31_32
2 9_15_16_27_33_43
2 22_23_25_34_37_40_44_53_56
19 29_30
29_30 36
9_15_16_27_33_43 54_59
9_15_16_27_33_43 50_52_61
9_15_16_27_33_43 55_57_64
22_23_25_34_37_40_44_53_56 60
5_13_14_28_35_46_51_58_62 69_71_72_73
55_57_64 67
16 #edges, tree 2
55_57_64 67
5_13_14_28_35_46_51_58_62 69_71_72_73
22_23_25_34_37_40_44_53_56 60
9_15_16_27_33_43 55_57_64
9_15_16_27_33_43 50_52_61
9_15_16_27_33_43 54_59
9_15_16_27_33_43 47_48
29_30 36
19 29_30
2 22_23_25_34_37_40_44_53_56
2 9_15_16_27_33_43
2 3_6_10_26_31_32
2 19
0 5_13_14_28_35_46_51_58_62
0 2
0 1
16 #edges, tree 3
0 1
0 2
0 5_13_14_28_35_46_51_58_62
2 19
2 3_6_10_26_31_32
2 9_15_16_27_33_43
2 22_23_25_34_37_40_44_53_56
19 29_30
29_30 36
9_15_16_27_33_43 54_59
9_15_16_27_33_43 50_52_61
9_15_16_27_33_43 55_57_64
22_23_25_34_37_40_44_53_56 60
5_13_14_28_35_46_51_58_62 69_71_72_73
55_57_64 47_48
55_57_64 67
16 #edges, tree 4
0 1
0 2
0 5_13_14_28_35_46_51_58_62
2 19
2 3_6_10_26_31_32
2 9_15_16_27_33_43
2 47_48
2 22_23_25_34_37_40_44_53_56
19 29_30
29_30 36
9_15_16_27_33_43 54_59
9_15_16_27_33_43 50_52_61
9_15_16_27_33_43 55_57_64
22_23_25_34_37_40_44_53_56 60
5_13_14_28_35_46_51_58_62 69_71_72_73
55_57_64 67
16 #edges, tree 5
67 1
55_57_64 67
5_13_14_28_35_46_51_58_62 69_71_72_73
22_23_25_34_37_40_44_53_56 60
9_15_16_27_33_43 55_57_64
9_15_16_27_33_43 50_52_61
9_15_16_27_33_43 54_59
29_30 36
19 29_30
2 22_23_25_34_37_40_44_53_56
2 9_15_16_27_33_43
2 3_6_10_26_31_32
2 19
0 5_13_14_28_35_46_51_58_62
0 47_48
0 2
16 #edges, tree 6
67 1
55_57_64 67
5_13_14_28_35_46_51_58_62 69_71_72_73
22_23_25_34_37_40_44_53_56 60
9_15_16_27_33_43 55_57_64
9_15_16_27_33_43 50_52_61
9_15_16_27_33_43 54_59
29_30 36
19 29_30
2 22_23_25_34_37_40_44_53_56
2 47_48
2 9_15_16_27_33_43
2 3_6_10_26_31_32
2 19
0 5_13_14_28_35_46_51_58_62
0 2
16 #edges, tree 7
67 1
55_57_64 67
5_13_14_28_35_46_51_58_62 69_71_72_73
22_23_25_34_37_40_44_53_56 60
9_15_16_27_33_43 55_57_64
9_15_16_27_33_43 50_52_61
9_15_16_27_33_43 54_59
9_15_16_27_33_43 47_48
29_30 36
19 29_30
2 22_23_25_34_37_40_44_53_56
2 9_15_16_27_33_43
2 3_6_10_26_31_32
2 19
0 5_13_14_28_35_46_51_58_62
0 2
16 #edges, tree 8
67 1
55_57_64 67
55_57_64 47_48
5_13_14_28_35_46_51_58_62 69_71_72_73
22_23_25_34_37_40_44_53_56 60
9_15_16_27_33_43 55_57_64
9_15_16_27_33_43 50_52_61
9_15_16_27_33_43 54_59
29_30 36
19 29_30
2 22_23_25_34_37_40_44_53_56
2 9_15_16_27_33_43
2 3_6_10_26_31_32
2 19
0 5_13_14_28_35_46_51_58_62
0 2
