# 19 out of 19 mutations
48 #trees
18 #edges, tree 1
48_56_61_79 82
40 80
24_28_29 96_99_100_103
24_28_29 66_78_89_102
24_28_29 41_43_54_57_87
24_28_29 75_81
24_28_29 48_56_61_79
24_28_29 42
24_28_29 40
4_19_22 77_84_90_91
4_19_22 27_31_36_37_47_50_58_59_63_64_86
4_19_22 68
4_19_22 32_49
4_19_22 24_28_29
4_19_22 25
0 2_8_9_12_16_18_23_35_53
0 5_10_15_20_21_44_51
0 4_19_22
18 #edges, tree 2
0 4_19_22
0 5_10_15_20_21_44_51
0 2_8_9_12_16_18_23_35_53
4_19_22 25
4_19_22 24_28_29
4_19_22 32_49
4_19_22 68
4_19_22 27_31_36_37_47_50_58_59_63_64_86
4_19_22 77_84_90_91
24_28_29 40
24_28_29 42
24_28_29 48_56_61_79
24_28_29 75_81
24_28_29 41_43_54_57_87
24_28_29 66_78_89_102
40 80
48_56_61_79 82
75_81 96_99_100_103
18 #edges, tree 3
48_56_61_79 82
40 66_78_89_102
40 80
24_28_29 96_99_100_103
24_28_29 41_43_54_57_87
24_28_29 75_81
24_28_29 48_56_61_79
24_28_29 42
24_28_29 40
4_19_22 77_84_90_91
4_19_22 27_31_36_37_47_50_58_59_63_64_86
4_19_22 68
4_19_22 32_49
4_19_22 24_28_29
4_19_22 25
0 2_8_9_12_16_18_23_35_53
0 5_10_15_20_21_44_51
0 4_19_22
18 #edges, tree 4
48_56_61_79 82
42 66_78_89_102
40 80
24_28_29 96_99_100_103
24_28_29 41_43_54_57_87
24_28_29 75_81
24_28_29 48_56_61_79
24_28_29 42
24_28_29 40
4_19_22 77_84_90_91
4_19_22 27_31_36_37_47_50_58_59_63_64_86
4_19_22 68
4_19_22 32_49
4_19_22 24_28_29
4_19_22 25
0 2_8_9_12_16_18_23_35_53
0 5_10_15_20_21_44_51
0 4_19_22
18 #edges, tree 5
0 4_19_22
0 5_10_15_20_21_44_51
0 2_8_9_12_16_18_23_35_53
4_19_22 25
4_19_22 24_28_29
4_19_22 32_49
4_19_22 68
4_19_22 27_31_36_37_47_50_58_59_63_64_86
4_19_22 77_84_90_91
24_28_29 40
24_28_29 42
24_28_29 48_56_61_79
24_28_29 75_81
24_28_29 41_43_54_57_87
24_28_29 96_99_100_103
40 80
48_56_61_79 82
80 66_78_89_102
18 #edges, tree 6
0 4_19_22
0 5_10_15_20_21_44_51
0 2_8_9_12_16_18_23_35_53
4_19_22 25
4_19_22 24_28_29
4_19_22 32_49
4_19_22 68
4_19_22 27_31_36_37_47_50_58_59_63_64_86
4_19_22 77_84_90_91
24_28_29 40
24_28_29 42
24_28_29 48_56_61_79
24_28_29 75_81
24_28_29 41_43_54_57_87
40 80
42 66_78_89_102
48_56_61_79 82
75_81 96_99_100_103
18 #edges, tree 7
0 4_19_22
0 5_10_15_20_21_44_51
0 2_8_9_12_16_18_23_35_53
4_19_22 25
4_19_22 24_28_29
4_19_22 32_49
4_19_22 68
4_19_22 27_31_36_37_47_50_58_59_63_64_86
4_19_22 77_84_90_91
24_28_29 40
24_28_29 42
24_28_29 48_56_61_79
24_28_29 75_81
24_28_29 41_43_54_57_87
40 80
40 66_78_89_102
48_56_61_79 82
75_81 96_99_100_103
18 #edges, tree 8
0 4_19_22
0 5_10_15_20_21_44_51
0 2_8_9_12_16_18_23_35_53
4_19_22 25
4_19_22 24_28_29
4_19_22 32_49
4_19_22 68
4_19_22 27_31_36_37_47_50_58_59_63_64_86
4_19_22 77_84_90_91
24_28_29 40
24_28_29 42
24_28_29 48_56_61_79
24_28_29 75_81
24_28_29 41_43_54_57_87
40 80
48_56_61_79 82
80 66_78_89_102
75_81 96_99_100_103
18 #edges, tree 9
48_56_61_79 82
40 80
24_28_29 96_99_100_103
24_28_29 66_78_89_102
24_28_29 41_43_54_57_87
24_28_29 75_81
24_28_29 48_56_61_79
24_28_29 42
24_28_29 40
25 68
4_19_22 77_84_90_91
4_19_22 27_31_36_37_47_50_58_59_63_64_86
4_19_22 32_49
4_19_22 24_28_29
4_19_22 25
0 2_8_9_12_16_18_23_35_53
0 5_10_15_20_21_44_51
0 4_19_22
18 #edges, tree 10
75_81 96_99_100_103
48_56_61_79 82
40 80
24_28_29 66_78_89_102
24_28_29 41_43_54_57_87
24_28_29 75_81
24_28_29 48_56_61_79
24_28_29 42
24_28_29 40
25 68
4_19_22 77_84_90_91
4_19_22 27_31_36_37_47_50_58_59_63_64_86
4_19_22 32_49
4_19_22 24_28_29
4_19_22 25
0 2_8_9_12_16_18_23_35_53
0 5_10_15_20_21_44_51
0 4_19_22
18 #edges, tree 11
75_81 96_99_100_103
48_56_61_79 82
40 66_78_89_102
40 80
24_28_29 41_43_54_57_87
24_28_29 75_81
24_28_29 48_56_61_79
24_28_29 42
24_28_29 40
25 68
4_19_22 77_84_90_91
4_19_22 27_31_36_37_47_50_58_59_63_64_86
4_19_22 32_49
4_19_22 24_28_29
4_19_22 25
0 2_8_9_12_16_18_23_35_53
0 5_10_15_20_21_44_51
0 4_19_22
18 #edges, tree 12
48_56_61_79 82
40 66_78_89_102
40 80
24_28_29 96_99_100_103
24_28_29 41_43_54_57_87
24_28_29 75_81
24_28_29 48_56_61_79
24_28_29 42
24_28_29 40
25 68
4_19_22 77_84_90_91
4_19_22 27_31_36_37_47_50_58_59_63_64_86
4_19_22 32_49
4_19_22 24_28_29
4_19_22 25
0 2_8_9_12_16_18_23_35_53
0 5_10_15_20_21_44_51
0 4_19_22
18 #edges, tree 13
48_56_61_79 82
42 66_78_89_102
40 80
24_28_29 96_99_100_103
24_28_29 41_43_54_57_87
24_28_29 75_81
24_28_29 48_56_61_79
24_28_29 42
24_28_29 40
25 68
4_19_22 77_84_90_91
4_19_22 27_31_36_37_47_50_58_59_63_64_86
4_19_22 32_49
4_19_22 24_28_29
4_19_22 25
0 2_8_9_12_16_18_23_35_53
0 5_10_15_20_21_44_51
0 4_19_22
18 #edges, tree 14
80 66_78_89_102
48_56_61_79 82
40 80
24_28_29 96_99_100_103
24_28_29 41_43_54_57_87
24_28_29 75_81
24_28_29 48_56_61_79
24_28_29 42
24_28_29 40
25 68
4_19_22 77_84_90_91
4_19_22 27_31_36_37_47_50_58_59_63_64_86
4_19_22 32_49
4_19_22 24_28_29
4_19_22 25
0 2_8_9_12_16_18_23_35_53
0 5_10_15_20_21_44_51
0 4_19_22
