# 14 out of 14 mutations
6 #trees
13 #edges, tree 1
0 1_2_3
0 7_18
0 17_38_40_42
0 10_23_30_39_65
1_2_3 4_11_14_20_41
7_18 26
7_18 24_33
7_18 36
7_18 27_43
7_18 32_50_55
7_18 29_56
17_38_40_42 53_58_66
27_43 47_48
13 #edges, tree 2
27_43 47_48
17_38_40_42 53_58_66
24_33 36
7_18 29_56
7_18 32_50_55
7_18 27_43
7_18 24_33
7_18 26
1_2_3 4_11_14_20_41
0 10_23_30_39_65
0 17_38_40_42
0 7_18
0 1_2_3
13 #edges, tree 3
0 1_2_3
0 7_18
0 17_38_40_42
1_2_3 4_11_14_20_41
1_2_3 10_23_30_39_65
7_18 26
7_18 24_33
7_18 36
7_18 27_43
7_18 32_50_55
7_18 29_56
17_38_40_42 53_58_66
27_43 47_48
13 #edges, tree 4
0 1_2_3
0 7_18
0 17_38_40_42
1_2_3 4_11_14_20_41
1_2_3 10_23_30_39_65
7_18 26
7_18 24_33
7_18 27_43
7_18 32_50_55
7_18 29_56
24_33 36
17_38_40_42 53_58_66
27_43 47_48
13 #edges, tree 5
27_43 47_48
17_38_40_42 53_58_66
4_11_14_20_41 10_23_30_39_65
24_33 36
7_18 29_56
7_18 32_50_55
7_18 27_43
7_18 24_33
7_18 26
1_2_3 4_11_14_20_41
0 17_38_40_42
0 7_18
0 1_2_3
13 #edges, tree 6
27_43 47_48
17_38_40_42 53_58_66
4_11_14_20_41 10_23_30_39_65
7_18 29_56
7_18 32_50_55
7_18 27_43
7_18 36
7_18 24_33
7_18 26
1_2_3 4_11_14_20_41
0 17_38_40_42
0 7_18
0 1_2_3
