# 20 out of 20 mutations
2 #trees
19 #edges, tree 1
0 1_3
0 4_6_9_10_12
1_3 7_8_13
1_3 5_11_18_20_24_29_32_33_38
7_8_13 14
7_8_13 16
14 15
14 19
15 25_40
15 26_31_39_62_65
16 21_27
16 30_34
16 37_43
16 22_23_28_35_46_51
21_27 49_52_53
30_34 36
5_11_18_20_24_29_32_33_38 45
25_40 48
25_40 59
19 #edges, tree 2
48 59
25_40 48
5_11_18_20_24_29_32_33_38 45
30_34 36
21_27 49_52_53
16 22_23_28_35_46_51
16 37_43
16 30_34
16 21_27
15 26_31_39_62_65
15 25_40
14 19
14 15
7_8_13 16
7_8_13 14
1_3 5_11_18_20_24_29_32_33_38
1_3 7_8_13
0 4_6_9_10_12
0 1_3
