sample_id	cluster_id	size	mean	std
omentum_site_2	0	85	0.9848763511876956	0.017061916313096625
right_ovary_site_1	0	85	0.9898147904233043	0.01320805880510607
omentum_site_1	0	85	0.9985367492915559	0.00407519208427839
left_ovary_site_1	0	85	0.9942520254023595	0.008969726445478856
left_ovary_site_2	0	85	0.9943267847488174	0.009065746670748843
omentum_site_2	1	41	0.018342576006328236	0.004265637902757403
right_ovary_site_1	1	41	0.021005899710278057	0.0038485143707643146
omentum_site_1	1	41	0.034729030782225334	0.008782461667169238
left_ovary_site_1	1	41	0.01017454936643822	0.0013101396993451637
left_ovary_site_2	1	41	0.01979191054601353	0.003502947713218766
omentum_site_2	2	40	0.014754014709806258	0.005024588465899487
right_ovary_site_1	2	40	0.016339509051332687	0.00492426416096097
omentum_site_1	2	40	0.0550877495354791	0.011774119663089964
left_ovary_site_1	2	40	0.9604668295481821	0.038064335470009286
left_ovary_site_2	2	40	0.29485962838694624	0.03063352115135847
omentum_site_2	3	60	0.6240370611190996	0.04924626594805207
right_ovary_site_1	3	60	0.5090954682196625	0.04584833247550455
omentum_site_1	3	60	0.9914432593900728	0.012230441377037696
left_ovary_site_1	3	60	0.020093777407864034	0.0014837506312444543
left_ovary_site_2	3	60	0.13483271021711485	0.01432721903711923
omentum_site_2	4	3	0.021762151048362634	0.016492518055792528
right_ovary_site_1	4	3	0.010559659576777031	0.012192142428935824
omentum_site_1	4	3	0.07400755208995566	0.05461756986211381
left_ovary_site_1	4	3	0.5842801151055088	0.22166831791572464
left_ovary_site_2	4	3	0.020444716504267144	0.016285551212325243
