10 #anatomical sites
11 #samples
99 #mutations
#sample_index	sample_label	anatomical_site_index	anatomical_site_label	character_index	character_label	ref	var
0	P_0	0	P	0	0	102	95
0	P_0	0	P	1	1	206	0
0	P_0	0	P	2	2	161	43
0	P_0	0	P	3	3	169	16
0	P_0	0	P	4	4	186	16
0	P_0	0	P	5	6	194	1
0	P_0	0	P	6	7	182	0
0	P_0	0	P	7	8	229	0
0	P_0	0	P	8	9	175	0
0	P_0	0	P	9	10	207	0
0	P_0	0	P	10	11	183	0
0	P_0	0	P	11	12	188	1
0	P_0	0	P	12	13	185	0
0	P_0	0	P	13	14	216	0
0	P_0	0	P	14	15	176	0
0	P_0	0	P	15	16	196	1
0	P_0	0	P	16	17	186	0
0	P_0	0	P	17	18	202	0
0	P_0	0	P	18	19	218	0
0	P_0	0	P	19	20	204	0
0	P_0	0	P	20	21	214	1
0	P_0	0	P	21	22	179	1
0	P_0	0	P	22	23	205	1
0	P_0	0	P	23	24	201	0
0	P_0	0	P	24	25	204	0
0	P_0	0	P	25	26	213	0
0	P_0	0	P	26	27	190	1
0	P_0	0	P	27	28	198	0
0	P_0	0	P	28	29	230	0
0	P_0	0	P	29	30	215	0
0	P_0	0	P	30	31	211	0
0	P_0	0	P	31	32	196	0
0	P_0	0	P	32	33	212	0
0	P_0	0	P	33	34	189	0
0	P_0	0	P	34	35	219	0
0	P_0	0	P	35	36	216	0
0	P_0	0	P	36	37	214	0
0	P_0	0	P	37	39	196	0
0	P_0	0	P	38	41	199	0
0	P_0	0	P	39	44	200	1
0	P_0	0	P	40	45	211	1
0	P_0	0	P	41	46	198	0
0	P_0	0	P	42	47	179	0
0	P_0	0	P	43	48	208	1
0	P_0	0	P	44	49	199	0
0	P_0	0	P	45	50	216	1
0	P_0	0	P	46	51	190	0
0	P_0	0	P	47	52	198	0
0	P_0	0	P	48	53	201	0
0	P_0	0	P	49	55	213	0
0	P_0	0	P	50	56	196	0
0	P_0	0	P	51	57	217	1
0	P_0	0	P	52	59	197	0
0	P_0	0	P	53	61	212	0
0	P_0	0	P	54	62	225	1
0	P_0	0	P	55	63	207	0
0	P_0	0	P	56	64	237	0
0	P_0	0	P	57	65	199	1
0	P_0	0	P	58	66	221	0
0	P_0	0	P	59	67	226	0
0	P_0	0	P	60	68	194	0
0	P_0	0	P	61	69	178	0
0	P_0	0	P	62	70	169	0
0	P_0	0	P	63	71	210	0
0	P_0	0	P	64	72	204	0
0	P_0	0	P	65	73	201	0
0	P_0	0	P	66	74	194	1
0	P_0	0	P	67	75	190	0
0	P_0	0	P	68	76	192	0
0	P_0	0	P	69	77	252	0
0	P_0	0	P	70	78	186	0
0	P_0	0	P	71	79	209	0
0	P_0	0	P	72	80	199	0
0	P_0	0	P	73	81	195	0
0	P_0	0	P	74	82	188	0
0	P_0	0	P	75	83	211	0
0	P_0	0	P	76	84	191	2
0	P_0	0	P	77	85	182	0
0	P_0	0	P	78	86	206	0
0	P_0	0	P	79	87	191	0
0	P_0	0	P	80	88	184	0
0	P_0	0	P	81	89	213	0
0	P_0	0	P	82	90	206	0
0	P_0	0	P	83	93	184	1
0	P_0	0	P	84	94	214	1
0	P_0	0	P	85	95	203	0
0	P_0	0	P	86	96	196	2
0	P_0	0	P	87	97	192	1
0	P_0	0	P	88	98	209	0
0	P_0	0	P	89	100	236	0
0	P_0	0	P	90	101	218	0
0	P_0	0	P	91	103	182	0
0	P_0	0	P	92	104	178	0
0	P_0	0	P	93	106	203	0
0	P_0	0	P	94	108	211	1
0	P_0	0	P	95	109	204	0
0	P_0	0	P	96	110	219	1
0	P_0	0	P	97	114	199	0
0	P_0	0	P	98	115	213	0
1	P_1	0	P	0	0	93	109
1	P_1	0	P	1	1	199	0
1	P_1	0	P	2	2	102	103
1	P_1	0	P	3	3	150	23
1	P_1	0	P	4	4	193	27
1	P_1	0	P	5	6	183	0
1	P_1	0	P	6	7	179	0
1	P_1	0	P	7	8	178	0
1	P_1	0	P	8	9	198	2
1	P_1	0	P	9	10	184	0
1	P_1	0	P	10	11	240	1
1	P_1	0	P	11	12	199	0
1	P_1	0	P	12	13	185	0
1	P_1	0	P	13	14	171	0
1	P_1	0	P	14	15	229	0
1	P_1	0	P	15	16	190	0
1	P_1	0	P	16	17	190	0
1	P_1	0	P	17	18	216	0
1	P_1	0	P	18	19	200	0
1	P_1	0	P	19	20	200	0
1	P_1	0	P	20	21	192	0
1	P_1	0	P	21	22	187	0
