# 10 out of 10 mutations
6 #trees
9 #edges, tree 1
0 3;4;5;7
0 1;2;6;9;11;13;16;20;24;27;31;35
0 19;22;25;29;32;33;48
3;4;5;7 14;17;28;34;37;41;44
3;4;5;7 12;15;18;21;23;26;30;39;42;43;46;51;55
8 36
1;2;6;9;11;13;16;20;24;27;31;35 8
36 38;47;57;58
14;17;28;34;37;41;44 45
9 #edges, tree 2
14;17;28;34;37;41;44 45
36 8
1;2;6;9;11;13;16;20;24;27;31;35 36
8 38;47;57;58
3;4;5;7 12;15;18;21;23;26;30;39;42;43;46;51;55
3;4;5;7 14;17;28;34;37;41;44
0 19;22;25;29;32;33;48
0 1;2;6;9;11;13;16;20;24;27;31;35
0 3;4;5;7
9 #edges, tree 3
0 3;4;5;7
0 8
0 19;22;25;29;32;33;48
3;4;5;7 14;17;28;34;37;41;44
3;4;5;7 12;15;18;21;23;26;30;39;42;43;46;51;55
8 1;2;6;9;11;13;16;20;24;27;31;35
1;2;6;9;11;13;16;20;24;27;31;35 36
36 38;47;57;58
14;17;28;34;37;41;44 45
9 #edges, tree 4
0 3;4;5;7
0 8
0 19;22;25;29;32;33;48
3;4;5;7 14;17;28;34;37;41;44
3;4;5;7 12;15;18;21;23;26;30;39;42;43;46;51;55
8 36
1;2;6;9;11;13;16;20;24;27;31;35 38;47;57;58
36 1;2;6;9;11;13;16;20;24;27;31;35
14;17;28;34;37;41;44 45
9 #edges, tree 5
14;17;28;34;37;41;44 45
36 8
1;2;6;9;11;13;16;20;24;27;31;35 38;47;57;58
8 1;2;6;9;11;13;16;20;24;27;31;35
3;4;5;7 12;15;18;21;23;26;30;39;42;43;46;51;55
3;4;5;7 14;17;28;34;37;41;44
0 19;22;25;29;32;33;48
0 36
0 3;4;5;7
9 #edges, tree 6
14;17;28;34;37;41;44 45
36 1;2;6;9;11;13;16;20;24;27;31;35
1;2;6;9;11;13;16;20;24;27;31;35 8
8 38;47;57;58
3;4;5;7 12;15;18;21;23;26;30;39;42;43;46;51;55
3;4;5;7 14;17;28;34;37;41;44
0 19;22;25;29;32;33;48
0 36
0 3;4;5;7
