# 12 out of 12 mutations
438 #trees
11 #edges, tree 1
0 1
0 9
0 2;7;8;11
0 21
0 27
0 4;18;23;28;29;30
0 31;34;35
1 14
1 6;13;17;20
1 10;15;16;22
10;15;16;22 32;38
11 #edges, tree 2
4;18;23;28;29;30 31;34;35
10;15;16;22 32;38
1 10;15;16;22
1 6;13;17;20
1 14
0 4;18;23;28;29;30
0 27
0 21
0 2;7;8;11
0 9
0 1
11 #edges, tree 3
0 1
0 2;7;8;11
0 21
0 27
0 4;18;23;28;29;30
1 14
1 6;13;17;20
1 10;15;16;22
2;7;8;11 9
10;15;16;22 32;38
4;18;23;28;29;30 31;34;35
11 #edges, tree 4
0 1
0 2;7;8;11
0 21
0 27
0 4;18;23;28;29;30
0 31;34;35
1 14
1 6;13;17;20
1 10;15;16;22
2;7;8;11 9
10;15;16;22 32;38
11 #edges, tree 5
4;18;23;28;29;30 31;34;35
10;15;16;22 32;38
1 10;15;16;22
1 6;13;17;20
1 14
1 9
0 4;18;23;28;29;30
0 27
0 21
0 2;7;8;11
0 1
11 #edges, tree 6
10;15;16;22 32;38
1 10;15;16;22
1 6;13;17;20
1 14
1 9
0 31;34;35
0 4;18;23;28;29;30
0 27
0 21
0 2;7;8;11
0 1
11 #edges, tree 7
4;18;23;28;29;30 31;34;35
10;15;16;22 32;38
9 21
1 10;15;16;22
1 6;13;17;20
1 14
0 4;18;23;28;29;30
0 27
0 2;7;8;11
0 9
0 1
11 #edges, tree 8
4;18;23;28;29;30 31;34;35
10;15;16;22 32;38
1 10;15;16;22
1 21
1 6;13;17;20
1 14
0 4;18;23;28;29;30
0 27
0 2;7;8;11
0 9
0 1
11 #edges, tree 9
0 1
0 9
0 2;7;8;11
0 27
0 4;18;23;28;29;30
1 14
1 6;13;17;20
1 10;15;16;22
14 21
10;15;16;22 32;38
4;18;23;28;29;30 31;34;35
11 #edges, tree 10
0 1
0 9
0 2;7;8;11
0 27
0 4;18;23;28;29;30
1 14
1 6;13;17;20
1 10;15;16;22
10;15;16;22 32;38
27 21
4;18;23;28;29;30 31;34;35
11 #edges, tree 11
0 1
0 9
0 2;7;8;11
0 27
0 4;18;23;28;29;30
0 31;34;35
1 14
1 6;13;17;20
1 10;15;16;22
10;15;16;22 32;38
27 21
11 #edges, tree 12
0 1
0 9
0 2;7;8;11
0 27
0 4;18;23;28;29;30
0 31;34;35
1 14
1 6;13;17;20
1 10;15;16;22
9 21
10;15;16;22 32;38
11 #edges, tree 13
0 1
0 9
0 2;7;8;11
0 27
0 4;18;23;28;29;30
0 31;34;35
1 14
1 6;13;17;20
1 21
1 10;15;16;22
10;15;16;22 32;38
11 #edges, tree 14
0 1
0 9
0 2;7;8;11
0 27
0 4;18;23;28;29;30
0 31;34;35
1 14
1 6;13;17;20
1 10;15;16;22
14 21
10;15;16;22 32;38
11 #edges, tree 15
0 1
0 2;7;8;11
0 27
0 4;18;23;28;29;30
1 14
1 6;13;17;20
1 21
1 10;15;16;22
2;7;8;11 9
10;15;16;22 32;38
4;18;23;28;29;30 31;34;35
11 #edges, tree 16
0 1
0 2;7;8;11
0 27
0 4;18;23;28;29;30
1 14
1 6;13;17;20
1 10;15;16;22
2;7;8;11 9
10;15;16;22 32;38
27 21
4;18;23;28;29;30 31;34;35
11 #edges, tree 17
4;18;23;28;29;30 31;34;35
10;15;16;22 32;38
14 21
2;7;8;11 9
1 10;15;16;22
1 6;13;17;20
1 14
0 4;18;23;28;29;30
0 27
0 2;7;8;11
0 1
11 #edges, tree 18
27 21
10;15;16;22 32;38
2;7;8;11 9
1 10;15;16;22
1 6;13;17;20
1 14
0 31;34;35
0 4;18;23;28;29;30
0 27
0 2;7;8;11
0 1
11 #edges, tree 19
10;15;16;22 32;38
2;7;8;11 9
1 10;15;16;22
1 21
1 6;13;17;20
1 14
0 31;34;35
0 4;18;23;28;29;30
0 27
0 2;7;8;11
0 1
11 #edges, tree 20
10;15;16;22 32;38
14 21
2;7;8;11 9
1 10;15;16;22
1 6;13;17;20
1 14
0 31;34;35
0 4;18;23;28;29;30
0 27
0 2;7;8;11
0 1
11 #edges, tree 21
27 21
10;15;16;22 32;38
1 10;15;16;22
1 6;13;17;20
1 14
1 9
0 31;34;35
0 4;18;23;28;29;30
0 27
0 2;7;8;11
0 1
11 #edges, tree 22
10;15;16;22 32;38
14 21
1 10;15;16;22
1 6;13;17;20
1 14
1 9
0 31;34;35
0 4;18;23;28;29;30
0 27
0 2;7;8;11
0 1
11 #edges, tree 23
10;15;16;22 32;38
1 10;15;16;22
1 21
1 6;13;17;20
1 14
1 9
0 31;34;35
0 4;18;23;28;29;30
0 27
0 2;7;8;11
0 1
11 #edges, tree 24
10;15;16;22 32;38
9 21
1 10;15;16;22
1 6;13;17;20
1 14
1 9
0 31;34;35
0 4;18;23;28;29;30
0 27
0 2;7;8;11
0 1
11 #edges, tree 25
4;18;23;28;29;30 31;34;35
27 21
10;15;16;22 32;38
1 10;15;16;22
1 6;13;17;20
1 14
1 9
0 4;18;23;28;29;30
0 27
0 2;7;8;11
0 1
11 #edges, tree 26
4;18;23;28;29;30 31;34;35
10;15;16;22 32;38
1 10;15;16;22
1 21
1 6;13;17;20
1 14
1 9
0 4;18;23;28;29;30
0 27
0 2;7;8;11
0 1
11 #edges, tree 27
4;18;23;28;29;30 31;34;35
10;15;16;22 32;38
9 21
1 10;15;16;22
1 6;13;17;20
1 14
1 9
0 4;18;23;28;29;30
0 27
0 2;7;8;11
0 1
11 #edges, tree 28
4;18;23;28;29;30 31;34;35
10;15;16;22 32;38
14 21
1 10;15;16;22
1 6;13;17;20
1 14
1 9
0 4;18;23;28;29;30
0 27
0 2;7;8;11
0 1
11 #edges, tree 29
10;15;16;22 32;38
9 2;7;8;11
1 10;15;16;22
1 6;13;17;20
1 14
0 31;34;35
0 4;18;23;28;29;30
0 27
0 21
0 9
0 1
11 #edges, tree 30
10;15;16;22 32;38
1 10;15;16;22
1 6;13;17;20
1 14
1 2;7;8;11
0 31;34;35
0 4;18;23;28;29;30
0 27
0 21
0 9
0 1
11 #edges, tree 31
4;18;23;28;29;30 31;34;35
10;15;16;22 32;38
1 10;15;16;22
1 6;13;17;20
1 14
1 2;7;8;11
0 4;18;23;28;29;30
0 27
0 21
0 9
0 1
11 #edges, tree 32
4;18;23;28;29;30 31;34;35
10;15;16;22 32;38
9 2;7;8;11
1 10;15;16;22
1 6;13;17;20
1 14
0 4;18;23;28;29;30
0 27
0 21
0 9
0 1
11 #edges, tree 33
0 1
0 9
0 27
0 4;18;23;28;29;30
0 31;34;35
1 2;7;8;11
1 14
1 6;13;17;20
1 10;15;16;22
10;15;16;22 32;38
27 21
11 #edges, tree 34
0 1
0 9
0 27
0 4;18;23;28;29;30
1 2;7;8;11
1 14
1 6;13;17;20
1 10;15;16;22
10;15;16;22 32;38
27 21
4;18;23;28;29;30 31;34;35
11 #edges, tree 35
0 1
0 9
0 27
0 4;18;23;28;29;30
1 14
1 6;13;17;20
1 10;15;16;22
9 2;7;8;11
10;15;16;22 32;38
27 21
4;18;23;28;29;30 31;34;35
11 #edges, tree 36
0 1
0 9
0 27
0 4;18;23;28;29;30
0 31;34;35
1 14
1 6;13;17;20
1 10;15;16;22
9 2;7;8;11
10;15;16;22 32;38
27 21
11 #edges, tree 37
0 1
0 9
0 27
0 4;18;23;28;29;30
1 2;7;8;11
1 14
1 6;13;17;20
1 21
1 10;15;16;22
10;15;16;22 32;38
4;18;23;28;29;30 31;34;35
11 #edges, tree 38
0 1
0 9
0 27
0 4;18;23;28;29;30
0 31;34;35
1 2;7;8;11
1 14
1 6;13;17;20
1 21
1 10;15;16;22
10;15;16;22 32;38
11 #edges, tree 39
0 1
0 9
0 27
0 4;18;23;28;29;30
0 31;34;35
1 2;7;8;11
1 14
1 6;13;17;20
1 10;15;16;22
9 21
10;15;16;22 32;38
11 #edges, tree 40
0 1
0 9
0 27
0 4;18;23;28;29;30
1 2;7;8;11
1 14
1 6;13;17;20
1 10;15;16;22
9 21
10;15;16;22 32;38
4;18;23;28;29;30 31;34;35
11 #edges, tree 41
0 1
0 9
0 27
0 4;18;23;28;29;30
0 31;34;35
1 2;7;8;11
1 14
1 6;13;17;20
1 10;15;16;22
14 21
10;15;16;22 32;38
11 #edges, tree 42
0 1
0 9
0 27
0 4;18;23;28;29;30
1 2;7;8;11
1 14
1 6;13;17;20
1 10;15;16;22
14 21
10;15;16;22 32;38
4;18;23;28;29;30 31;34;35
11 #edges, tree 43
0 1
0 9
0 27
0 4;18;23;28;29;30
0 31;34;35
1 14
1 6;13;17;20
1 21
1 10;15;16;22
9 2;7;8;11
10;15;16;22 32;38
11 #edges, tree 44
0 1
0 9
0 27
0 4;18;23;28;29;30
1 14
1 6;13;17;20
1 21
1 10;15;16;22
9 2;7;8;11
10;15;16;22 32;38
4;18;23;28;29;30 31;34;35
11 #edges, tree 45
0 1
0 9
0 27
0 4;18;23;28;29;30
0 31;34;35
1 14
1 6;13;17;20
1 10;15;16;22
9 2;7;8;11
14 21
10;15;16;22 32;38
11 #edges, tree 46
0 1
0 9
0 27
0 4;18;23;28;29;30
0 31;34;35
1 14
1 6;13;17;20
1 10;15;16;22
9 2;7;8;11
9 21
10;15;16;22 32;38
11 #edges, tree 47
0 1
0 9
0 27
0 4;18;23;28;29;30
1 14
1 6;13;17;20
1 10;15;16;22
9 2;7;8;11
9 21
10;15;16;22 32;38
4;18;23;28;29;30 31;34;35
11 #edges, tree 48
0 1
0 9
0 27
0 4;18;23;28;29;30
1 14
