# 10 out of 10 mutations
4 #trees
9 #edges, tree 1
32 33
10;12;13;15;17;19;21 32
6;7;8;9;11;14;16;20 29;31;35;38
6;7;8;9;11;14;16;20 25;28;30;34;37
3;4 10;12;13;15;17;19;21
3;4 6;7;8;9;11;14;16;20
0 5;18
0 3;4
0 1
9 #edges, tree 2
0 3;4
0 5;18
3;4 1
3;4 6;7;8;9;11;14;16;20
3;4 10;12;13;15;17;19;21
6;7;8;9;11;14;16;20 25;28;30;34;37
6;7;8;9;11;14;16;20 29;31;35;38
10;12;13;15;17;19;21 32
32 33
9 #edges, tree 3
32 33
10;12;13;15;17;19;21 32
10;12;13;15;17;19;21 1
6;7;8;9;11;14;16;20 29;31;35;38
6;7;8;9;11;14;16;20 25;28;30;34;37
3;4 10;12;13;15;17;19;21
3;4 6;7;8;9;11;14;16;20
0 5;18
0 3;4
9 #edges, tree 4
32 33
10;12;13;15;17;19;21 32
6;7;8;9;11;14;16;20 29;31;35;38
6;7;8;9;11;14;16;20 25;28;30;34;37
6;7;8;9;11;14;16;20 1
3;4 10;12;13;15;17;19;21
3;4 6;7;8;9;11;14;16;20
0 5;18
0 3;4
