5 #anatomical sites
5 #samples
9 #mutations
#sample_index	sample_label	anatomical_site_index	anatomical_site_label	character_index	character_label	f_lb	f_ub	ref	var
0	primary	0	primary	0	0	0.0	0.02535853958009685	3238	24
0	primary	0	primary	1	1	0.0	0.00633412311041391	1260	0
0	primary	0	primary	2	2	0.23332287550041703	0.28947464784903865	4300	644
0	primary	0	primary	3	3	0.022406550830206935	0.04630772047754689	3880	65
0	primary	0	primary	4	4	0.4597382151652205	0.46875154852723777	232357	70237
1	locoregional_1	1	locoregional_1	0	0	0.0	0.0024539876145369607	3257	0
1	locoregional_1	1	locoregional_1	1	1	0.7182132507377732	0.8799571099486336	756	502
1	locoregional_1	1	locoregional_1	2	2	0.0	0.001817355700473037	4399	0
1	locoregional_1	1	locoregional_1	3	3	0.0	0.002156915532239237	3706	0
1	locoregional_1	1	locoregional_1	4	4	0.7975564297161792	0.8084733379464588	166433	111654
2	locoregional_2	2	locoregional_2	0	0	0.30977508742473964	0.38150089879673127	3156	657
2	locoregional_2	2	locoregional_2	1	1	0.0	0.004886987480457273	1634	0
2	locoregional_2	2	locoregional_2	2	2	0.0	0.0016032063806199735	4987	0
2	locoregional_2	2	locoregional_2	3	3	0.32472527491130143	0.39211022577680255	3652	795
2	locoregional_2	2	locoregional_2	4	4	0.4676534110835442	0.4763966271466431	248537	76776
