5 #anatomical sites
5 #samples
8 #characters
#sample_index	sample_label	anatomical_site_index	anatomical_site_label	character_index	character_label	f-	f+
0	primary	0	primary	0	ASPM:1:197060168_KCNK1:1:233807087_MUC16:19:9072482	0	0
0	primary	0	primary	1	ZNF829:19:37406815	0	0
0	primary	0	primary	2	MLL4:19:36211214	0	0
0	primary	0	primary	3	ORC1:1:52850393_RAD51AP2:2:17696599_IL18R1:2:103011049_SCRN1:7:29980330_DUSP26:8:33454974_TCRBV20S1:16:2025101_SPATA20:17:48626794	0	0
0	primary	0	primary	4	ERBB4:2:212285183_PTX4:16:1537558_HILS1:17:48249194	0	0
0	primary	0	primary	5	RNF148:7:122342617_ECI1:16:2301430	0.464521	0.599603
0	primary	0	primary	6	EXOSC10:1:11128702_ARID1A:1:27099361_CCDC24:1:44459562_DNAJC6:1:65852606_ZZZ3:1:78046751_LPPR5:1:99470089_NRAS:1:115256530_PTPRC:1:198685924_MYT1L:2:1893031_HADHA:2:26414190_PROM2:2:95941845_FSIP2:2:186603579_DALRD3:3:49053077_FBXL7:5:15936624_CDH9:5:26881707_UTP15:5:72875812_FBN2:5:127673762_SLC4A9:5:139742611_GAT10:5:153760138_GUSB:7:65432802_RP1L1:8:10480324_SLC18A1:8:20007188_NCOA2:8:71025880_EMG1:12:7080212_RERGL:12:18238603_KDM2B:12:121932424_TRPM1:15:31323220_MESDC1:15:81295379_ISG20:15:89195411_MRPL28:16:418526_ZNF629:16:30795478_ZNF267:16:31927691_MYO15A:17:18024313_UBE2O:17:74387542_SPPL2B:19:2353156_SBSN:19:36017654_MAP3K10:19:40715098_SHANK1:19:51171672_LILRA2:19:55088934_ZNF865:19:56125610_SLC5A1:22:32464539	0.741976	0.791688
0	primary	0	primary	7	LACTB:15:63433599	0.00993791	0.0751306
1	locoregional_1	1	locoregional_1	0	ASPM:1:197060168_KCNK1:1:233807087_MUC16:19:9072482	0	0
1	locoregional_1	1	locoregional_1	1	ZNF829:19:37406815	0.0180317	0.0614007
1	locoregional_1	1	locoregional_1	2	MLL4:19:36211214	0	0
1	locoregional_1	1	locoregional_1	3	ORC1:1:52850393_RAD51AP2:2:17696599_IL18R1:2:103011049_SCRN1:7:29980330_DUSP26:8:33454974_TCRBV20S1:16:2025101_SPATA20:17:48626794	0	0
1	locoregional_1	1	locoregional_1	4	ERBB4:2:212285183_PTX4:16:1537558_HILS1:17:48249194	0.822115	1
1	locoregional_1	1	locoregional_1	5	RNF148:7:122342617_ECI1:16:2301430	0	0
