Patient	Sample	final.purity	final.ploidy
CRUK0090	CRUK0090_SU_T1.R2	0.54	3.15
CRUK0090	CRUK0090_BP_T1.R1	0.74	3.25
CRUK0090	CRUK0090_BR_T1.R1	0.2	3.3
CRUK0090	CRUK0090_SU_T1.R1	0.58	3.2
CRUK0090	CRUK0090_BP_T2.R1	0.23	3.4
CRUK0063	CRUK0063_SU_FLN1	0.16	3.4
CRUK0063	CRUK0063_SU_T1.R7	0.13	3.6
CRUK0063	CRUK0063_SU_T1.R5	0.25	3.6
CRUK0063	CRUK0063_SU_T1.R6	0.14	3.6
CRUK0063	CRUK0063_BR_T1.R1	0.19	2.7
CRUK0063	CRUK0063_SU_T1.R3	0.12	2.9
CRUK0063	CRUK0063_SU_T1.R4	0.26	3.5
CRUK0092	CRUK0092_SU_T1.R2	0.11	2.1
CRUK0092	CRUK0092_SU_T1.R1	0.19	3.4
CRUK0092	CRUK0092_SU_FLN1	0.52	2.6
CRUK0004	CRUK0004_SU_T1.R1	0.23	2.9
CRUK0004	CRUK0004_SU_T1.R3	0.22	4.2
CRUK0004	CRUK0004_SU_T1.R4	0.2	3.05
CRUK0004	CRUK0004_SU_T1.R2	0.1	3
CRUK0004	CRUK0004_BP_LN1	0.19	5.05
CRUK0003	CRUK0003_SU_T1.R6	0.33	3.8
CRUK0003	CRUK0003_SU_T1.R3	0.36	3.75
CRUK0003	CRUK0003_SU_T1.R4	0.53	3.55
CRUK0003	CRUK0003_SU_T1.R1	0.54	3.4
CRUK0003	CRUK0003_SU_T1.R2	0.51	3.5
CRUK0003	CRUK0003_SU_FLN1	0.35	3.55
CRUK0027	CRUK0027_SU_T1.R1	0.23	1.75
CRUK0027	CRUK0027_SU_FLN1	0.24	1.7
CRUK0027	CRUK0027_SU_T1.R2	0.21	1.65
CRUK0029	CRUK0029_SU_LN5	0.16	2.6
CRUK0029	CRUK0029_SU_T1.R2	0.17	2.5
CRUK0029	CRUK0029_SU_FLN1	0.35	2.3
CRUK0029	CRUK0029_BR_T1.R1	0.26	2.1
CRUK0029	CRUK0029_SU_T1.R4	0.3	2.65
CRUK0029	CRUK0029_SU_LN7	0.52	2.5
CRUK0029	CRUK0029_SU_T1.R8	0.26	2.5
CRUK0029	CRUK0029_SU_T1.R7	0.13	2.5
CRUK0029	CRUK0029_SU_T1.R6	0.35	2.65
CRUK0029	CRUK0029_SU_T1.R5	0.23	2.75
CRUK0035	CRUK0035_SU_T1.R3	0.15	2.7
CRUK0035	CRUK0035_SU_FLN2	0.27	2.7
CRUK0035	CRUK0035_SU_LN01	0.1	2.75
CRUK0035	CRUK0035_SU_FLN1	0.35	2.75
CRUK0035	CRUK0035_BR_T1.R1	0.22	3.05
CRUK0035	CRUK0035_SU_T1.R2	0.11	3.1
CRUK0035	CRUK0035_SU_T1.R1	0.12	2.85
CRUK0035	CRUK0035_BP_T1.R1	0.28	3.15
CRUK0044	CRUK0044_SU_T1.R2	0.14	2.2
CRUK0044	CRUK0044_BR_T1.R1	0.53	2.1
CRUK0044	CRUK0044_SU_T1.R1	0.13	1.9
CRUK0089	CRUK0089_SU_T1.R2	0.17	2.1
CRUK0089	CRUK0089_SU_FLN1	0.2	1.7
CRUK0183	CRUK0183_SU_FLN1	0.5	1.7
CRUK0183	CRUK0183_SU_T1.R1	0.34	1.9
CRUK0183	CRUK0183_SU_T1.R2	0.34	1.85
CRUK0052	CRUK0052_SU_T1.R2	0.1	3.4
CRUK0052	CRUK0052_SU_T1.R3	0.13	3.85
CRUK0052	CRUK0052_SU_T1.R4	0.14	3.05
CRUK0052	CRUK0052_SU_T1.R1	0.35	2.8
CRUK0052	CRUK0052_SU_FLN1	0.18	3
CRUK0100	CRUK0100_SU_FLN1	0.58	2.55
CRUK0100	CRUK0100_SU_T1.R1	0.69	2.95
CRUK0100	CRUK0100_SU_T1.R2	0.77	2.4
CRUK0100	CRUK0100_SU_T1.R3	0.84	2.5
CRUK0010	CRUK0010_SU_T1.R1	0.61	2.35
CRUK0010	CRUK0010_BR_LN1	0.25	2
CRUK0010	CRUK0010_BR_LN2	0.2	2.15
CRUK0010	CRUK0010_BR_LN3	0.22	2.2
CRUK0010	CRUK0010_SU_T1.R2	0.34	2.1
CRUK0010	CRUK0010_SU_FLN1	0.25	1.9
CRUK0084	CRUK0084_MR_T1.R1	0.19	3.35
CRUK0084	CRUK0084_BR_LN10	0.4	3.45
CRUK0084	CRUK0084_MR_T1.R2	0.3	3.75
CRUK0084	CRUK0084_MR_T1.R3	0.3	3.5
CRUK0041	CRUK0041_BR_T1.R1	0.2	4.95
CRUK0041	CRUK0041_SU_T1.R3	0.22	5.3
CRUK0041	CRUK0041_SU_T1.R4	0.14	5.2
CRUK0041	CRUK0041_SU_T1.R1	0.26	5.15
CRUK0041	CRUK0041_SU_T1.R2	0.19	5.35
CRUK0036	CRUK0036_BR_FLN1	0.31	2.7
CRUK0036	CRUK0036_SU_T1.R1	0.14	2.6
