CRUK0003_SU_FLN1	CRUK0003_SU_T1.R1	CRUK0003_SU_T1.R2	CRUK0003_SU_T1.R3	CRUK0003_SU_T1.R4	CRUK0003_SU_T1.R6	clusterID	treeID
36	0	0	0	0	0	1	16
0	0	0	10	0	38	2	16
0	0	0	30	0	0	3	16
21	0	0	0	0	0	4	16
0	0	26	0	0	0	5	16
0	32	0	0	0	0	6	16
0	0	0	10	0	6	7	16
0	0	0	0	0	15	8	16
0	0	0	0	0	20	9	16
0	44	43	0	0	2	10	16
0	0	11	0	45	0	11	16
0	0	0	50	0	0	12	16
0	18	0	0	0	0	13	16
0	0	0	0	17	0	14	16
0	0	0	0	30	0	15	16
43	0	0	0	0	0	16	16
0	0	0	0	0	19	17	16
0	6	1	0	8	0	18	16
0	0	19	0	0	0	19	16
36	0	0	0	0	0	1	61
0	0	0	10	0	38	2	61
0	0	0	30	0	0	3	61
21	0	0	0	0	0	4	61
0	0	25.1176470588235	0	0	0	5	61
0	32	0	0	0	0	6	61
0	0	0	10	0	6	7	61
0	0	0	0	0	15	8	61
0	0	0	0	0	20	9	61
0	44	0	0	0	2	10	61
0	0	55.8823529411765	0	45	0	11	61
0	0	0	50	0	0	12	61
0	18	0	0	0	0	13	61
0	0	0	0	17	0	14	61
0	0	0	0	30	0	15	61
43	0	0	0	0	0	16	61
0	0	0	0	0	19	17	61
0	6	0	0	8	0	18	61
0	0	19	0	0	0	19	61
