CRUK0010_BR_LN1	CRUK0010_BR_LN2	CRUK0010_BR_LN3	CRUK0010_SU_FLN1	CRUK0010_SU_T1.R1	CRUK0010_SU_T1.R2	clusterID	treeID
0	0	0	0	0	0	1	1
0	0	0	0	53	0	2	1
0	0	0	0	0	19	3	1
0	0	0	0	0	0	4	1
35	0	0	0	0	0	5	1
0	0	0	0	0	34	6	1
0	0	0	25	0	0	7	1
0	0	0	0	0	47	8	1
65	49	0	75	0	0	9	1
0	0	47	0	0	0	10	1
0	51	0	0	0	0	11	1
0	0	0	0	47	0	12	1
0	0	26	0	0	0	14	1
0	0	27	0	0	0	15	1
0	0	0	0	0	0	1	6
0	0	0	0	53	0	2	6
0	0	0	0	0	19	3	6
0	0	0	0	0	0	4	6
35	0	0	0	0	0	5	6
0	0	0	0	0	34	6	6
0	0	0	20	0	0	7	6
0	0	0	0	0	47	8	6
65	49	0	80	0	0	9	6
0	0	47	0	0	0	10	6
0	51	0	0	0	0	11	6
0	0	0	0	47	0	12	6
0	0	26	0	0	0	14	6
0	0	27	0	0	0	15	6
