CRUK0029_BR_T1.R1	CRUK0029_SU_FLN1	CRUK0029_SU_LN5	CRUK0029_SU_LN7	CRUK0029_SU_T1.R2	CRUK0029_SU_T1.R4	CRUK0029_SU_T1.R5	CRUK0029_SU_T1.R6	CRUK0029_SU_T1.R7	CRUK0029_SU_T1.R8	clusterID	treeID
0	0	0	0	0	0	0	0	0	0	1	9
0	0	0	0	0	0	13	0	0	8	2	9
7.18796992481202	0	0	0	0	0	0	0	0	0	3	9
0	0	0	0	0	0	0	50	0	0	4	9
23	0	0	0	0	0	0	0	0	0	5	9
1.81203007518797	0	0	0	0	0	0	0	0	0	6	9
0	0	0	0	0	0	0	0	53.6585365853659	24	7	9
68	0	0	0	0	0	0	0	0	0	8	9
0	0	40	0	0	0	0	0	0	0	9	9
0	49	0	0	0	0	0	1	30	12	10	9
0	0	0	0	100	0	15	0	0	0	11	9
0	0	0	19	0	0	0	0	0	0	12	9
0	0	0	0	0	49	47	0	0	56	13	9
0	0	60	0	0	0	0	0	0	0	14	9
0	51	0	81	0	0	0	0	0	0	15	9
0	0	0	0	0	51	25	0	0	0	16	9
0	0	0	0	0	0	0	32.8859060402685	0	0	17	9
0	0	0	0	0	0	0	16.1140939597315	16.3414634146341	0	18	9
