CRUK0048_BR_T1.R1	CRUK0048_BR_T1.R2	CRUK0048_SU_T1.R1	CRUK0048_SU_T1.R2	CRUK0048_SU_T1.R3	clusterID	treeID
0	0	0	32	24	1	1
0	0	0	18	40	2	1
54	0	0	0	0	3	1
0	0	14	0	0	4	1
0	0	23.740157480315	0	0	6	1
0	0	21.259842519685	0	0	7	1
0	0	0	50	36	8	1
22	0	0	0	0	9	1
0	25	0	0	0	10	1
24	27	0	0	0	11	1
0	48	0	0	0	12	1
0	0	41	0	0	13	1
0	0	0	32	24	1	6
0	0	0	18	40	2	6
32	0	0	0	0	3	6
0	0	14	0	0	4	6
0	0	23.740157480315	0	0	6	6
0	0	21.259842519685	0	0	7	6
0	0	0	50	36	8	6
22	0	0	0	0	9	6
0	25	0	0	0	10	6
46	27	0	0	0	11	6
0	48	0	0	0	12	6
0	0	41	0	0	13	6
0	0	0	32	24	1	9
0	0	0	18	40	2	9
54	0	0	0	0	3	9
0	0	14	0	0	4	9
0	0	23.740157480315	0	0	6	9
0	0	21.259842519685	0	0	7	9
0	0	0	50	36	8	9
22	0	0	0	0	9	9
0	25	0	0	0	10	9
24	52	0	0	0	11	9
0	23	0	0	0	12	9
0	0	41	0	0	13	9
