CRUK0063_BR_T1.R1	CRUK0063_SU_FLN1	CRUK0063_SU_T1.R3	CRUK0063_SU_T1.R4	CRUK0063_SU_T1.R5	CRUK0063_SU_T1.R6	CRUK0063_SU_T1.R7	clusterID	treeID
0	0	0	50	7	1	7	1	1
0	0	0	0	0	0	0	2	1
0	0	22	0	0	0	0	3	1
28	0	0	0	0	0	0	4	1
0	0	7.64462809917356	0	0	0	0	5	1
0	0	0	25	0	50	50	6	1
42	0	0	0	0	0	0	7	1
0	0	0	0	0	23	1	8	1
0	23	0	0	0	0	0	9	1
0	0	0	0	0	0	0	10	1
0	55	0	0	0	0	0	11	1
0	0	0	7	12	3	4	12	1
0	22	0	0	0	0	0	14	1
0	0	0	18	0	23	11	15	1
17	0	0	0	0	0	0	16	1
13	0	0	0	0	0	0	17	1
0	0	0	0	19	0	0	18	1
0	0	0	0	15	0	27	19	1
0	0	17.3553719008264	0	0	0	0	20	1
0	0	53	0	0	0	0	21	1
0	0	0	0	47	0	0	22	1
