CRUK0090_BP_T1.R1	CRUK0090_BP_T2.R1	CRUK0090_BR_T1.R1	CRUK0090_SU_T1.R1	CRUK0090_SU_T1.R2	clusterID	treeID
0	0	0	0	0	1	1
9	0	0	0	0	2	1
7.33980582524272	0	14	0	0	3	1
0	66	0	0	0	4	1
12	0	0	0	0	5	1
20	0	0	0	0	6	1
16	0	15	0	0	7	1
32	0	47	0	0	8	1
0	0	0	0	0	9	1
0	34	0	0	0	10	1
0	0	0	100	100	11	1
3.66019417475728	0	24	0	0	13	1
0	0	0	0	0	1	4
29	0	0	0	0	2	4
7.33980582524272	0	14	0	0	3	4
0	66	0	0	0	4	4
12	0	0	0	0	5	4
20	0	0	0	0	6	4
16	0	15	0	0	7	4
12	0	47	0	0	8	4
0	0	0	0	0	9	4
0	34	0	0	0	10	4
0	0	0	100	100	11	4
3.66019417475728	0	24	0	0	13	4
0	0	0	0	0	1	7
21	0	0	0	0	2	7
7.33980582524272	0	14	0	0	3	7
0	66	0	0	0	4	7
12	0	0	0	0	5	7
20	0	0	0	0	6	7
16	0	15	0	0	7	7
20	0	47	0	0	8	7
0	0	0	0	0	9	7
0	34	0	0	0	10	7
0	0	0	100	100	11	7
3.66019417475728	0	24	0	0	13	7
0	0	0	0	0	1	9
19.875173370319	0	0	0	0	2	9
1.41054091539529	0	14	0	0	3	9
0	66	0	0	0	4	9
10.7142857142857	0	0	0	0	5	9
20	0	0	0	0	6	9
16	0	15	0	0	7	9
32	0	47	0	0	8	9
0	0	0	0	0	9	9
0	34	0	0	0	10	9
0	0	0	100	100	11	9
0	0	24	0	0	13	9
