CRUK0178_SU_FLN1	CRUK0178_SU_T1.R1	CRUK0178_SU_T1.R2	CRUK0178_SU_T1.R3	CRUK0178_SU_T1.R4	clusterID	treeID
0	30	58	40	0	1	1
0	0	0	0	19	2	1
0	17	0	0	0	3	1
0	19	0	0	0	4	1
0	0	0	17	0	5	1
0	0	13	0	0	6	1
20	0	0	0	0	7	1
16	34	18	29	0	8	1
28	0	0	0	0	11	1
0	0	11	0	0	12	1
0	0	0	14	81	13	1
17	0	0	0	0	14	1
19	0	0	0	0	16	1
0	30	58	40	0	1	2
0	0	0	0	15.9663865546218	2	2
0	17	0	0	0	3	2
0	19	0	0	0	4	2
0	0	0	17	0	5	2
0	0	13	0	0	6	2
20	0	0	0	0	7	2
16	34	18	29	0	8	2
28	0	0	0	0	11	2
0	0	11	0	0	12	2
0	0	0	14	84.0336134453782	13	2
17	0	0	0	0	14	2
19	0	0	0	0	16	2
0	30	58	23	0	1	7
0	0	0	0	19	2	7
0	17	0	0	0	3	7
0	19	0	0	0	4	7
0	0	0	17	0	5	7
0	0	13	0	0	6	7
20	0	0	0	0	7	7
16	34	18	29	0	8	7
28	0	0	0	0	11	7
0	0	11	0	0	12	7
0	0	0	31	81	13	7
17	0	0	0	0	14	7
19	0	0	0	0	16	7
0	30	58	40	0	1	8
0	0	0	0	19	2	8
0	17	0	0	0	3	8
0	19	0	0	0	4	8
0	0	0	17	0	5	8
0	0	13	0	0	6	8
20	0	0	0	0	7	8
16	34	18	12	0	8	8
28	0	0	0	0	11	8
0	0	11	0	0	12	8
0	0	0	31	81	13	8
17	0	0	0	0	14	8
19	0	0	0	0	16	8
0	30	34	40	0	1	9
0	0	0	0	19	2	9
0	17	0	0	0	3	9
0	19	0	0	0	4	9
0	0	0	17	0	5	9
0	0	13	0	0	6	9
20	0	0	0	0	7	9
16	34	42	29	0	8	9
28	0	0	0	0	11	9
0	0	11	0	0	12	9
0	0	0	14	81	13	9
17	0	0	0	0	14	9
19	0	0	0	0	16	9
0	30	34	40	0	1	51
0	0	0	0	19	2	51
0	17	0	0	0	3	51
0	19	0	0	0	4	51
0	0	0	17	0	5	51
0	0	13	0	0	6	51
20	0	0	0	0	7	51
16	34	42	12	0	8	51
28	0	0	0	0	11	51
0	0	11	0	0	12	51
0	0	0	31	81	13	51
17	0	0	0	0	14	51
19	0	0	0	0	16	51
