CRUK0206_MR_T1.R1	CRUK0206_MR_T1.R2	CRUK0206_MR_T1.R3	CRUK0206_MR_T1.R4	CRUK0206_MR_T1.R5	CRUK0206_SU_FLN1	CRUK0206_SU_T1.R1	CRUK0206_SU_T1.R2	CRUK0206_SU_T1.R3	CRUK0206_SU_T1.R4	CRUK0206_SU_T1.R5	clusterID	treeID
0	0	0	0	0	40	0	0	0	0	15	1	4
0	0	12	0	0	28	13	38	67	0	24	2	4
0	0	0	0	0	31	0	0	0	0	0	4	4
0	0	24	0	0	0	0	0	0	0	0	5	4
44	39	1	29	32	0	0	0	0	0	0	6	4
18	14	0	26	0	0	0	0	0	0	0	7	4
8	5	20	0	11	0	0	0	0	0	0	8	4
0	0	23	0	0	1	34	0	0	0	0	9	4
30	42	20	45	57	0	53	62	0	100	61	10	4
0	0	0	0	0	0	0	0	33	0	0	12	4
