CRUK0256_SU_FLN1	CRUK0256_SU_LN1	CRUK0256_SU_T1.R1	CRUK0256_SU_T1.R2	CRUK0256_SU_T1.R3	clusterID	treeID
0	0	0	0	0	1	1
0	0	0	0	36	2	1
0	0	0	0	39	4	1
0	0	37	0	0	5	1
0	0	0	0	25	6	1
24	0	0	0	0	7	1
0	0	19	0	0	8	1
33	0	0	0	0	9	1
0	0	0	9	0	10	1
0	74	0	0	0	11	1
15	0	0	0	0	12	1
28	26	0	0	0	13	1
0	0	17	0	0	14	1
0	0	27	0	0	15	1
0	0	0	91	0	16	1
0	0	0	0	0	1	3
0	0	0	0	36	2	3
0	0	0	0	39	4	3
0	0	37	0	0	5	3
0	0	0	0	25	6	3
24	0	0	0	0	7	3
0	0	19	0	0	8	3
9	0	0	0	0	9	3
0	0	0	9	0	10	3
0	74	0	0	0	11	3
15	0	0	0	0	12	3
52	26	0	0	0	13	3
0	0	17	0	0	14	3
0	0	27	0	0	15	3
0	0	0	91	0	16	3
