CRUK0284_BP_T1.R1	CRUK0284_BR_T1.R1	CRUK0284_SU_T1.R1	CRUK0284_SU_T1.R2	CRUK0284_SU_T1.R3	CRUK0284_SU_T1.R4	CRUK0284_SU_T1.R5	clusterID	treeID
0	0	0	0	0	0	0	1	1
0	0	73	0	0	0	0	2	1
68	0	0	0	0	0	0	3	1
0	0	0	61	0	0	0	4	1
0	0	0	0	0	0	0	5	1
0	0	0	39	0	0	0	6	1
0	0	0	0	0	0	0	7	1
0	0	0	0	0	0	0	8	1
0	0	0	0	0	26	0	9	1
32	0	0	0	0	0	0	10	1
0	100	0	0	0	0	0	11	1
0	0	0	0	0	0	65.5925925925926	12	1
0	0	27	0	0	0	0	13	1
0	0	0	0	44	0	0	14	1
0	0	0	0	0	0	7.40740740740741	16	1
0	0	0	0	0	44	0	17	1
0	0	0	0	0	30	0	18	1
0	0	0	0	0	0	0	20	1
0	0	0	0	0	0	17	21	1
0	0	0	0	0	0	10	22	1
0	0	0	0	56	0	0	23	1
