CRUK0311_SU_FLN1	CRUK0311_SU_FLN2	CRUK0311_SU_LN1	CRUK0311_SU_LN2	CRUK0311_SU_T1.R1	CRUK0311_SU_T1.R2	CRUK0311_SU_T1.R3	CRUK0311_SU_T1.R4	clusterID	treeID
35	0	0	0	0	0	0	0	1	9
0	0	0	0	0	0	0	0	2	9
0	0	0	0	0	0	30	0	3	9
0	0	0	0	26	0	0	0	4	9
0	0	0	0	22	0	0	0	5	9
0	12	0	0	0	0	0	0	6	9
0	8	0	0	0	0	5	0	7	9
0	0	0	0	0	13.0434782608696	0	59	8	9
0	0	100	0	0	0	0	0	9	9
0	0	0	0	0	0	28	0	11	9
0	0	0	0	0	0	28	0	12	9
0	25	0	0	0	0	0	0	13	9
0	0	0	0	0	0	0	0	14	9
0	0	0	53	0	0	0	0	16	9
0	0	0	0	24	0	0	0	17	9
0	0	0	24	0	0	0	0	18	9
0	22	0	0	0	0	0	0	19	9
0	0	0	0	13	0	0	0	20	9
20	0	0	0	0	0	0	0	21	9
27	0	0	0	0	0	7	0	22	9
0	0	0	0	0	11	0	0	25	9
0	0	0	0	0	12.9565217391304	0	0	26	9
0	0	0	0	0	0	0	41	27	9
0	0	0	23	0	0	0	0	28	9
0	21	0	0	0	0	2	0	29	9
0	0	0	0	15	0	0	0	30	9
0	0	0	0	0	39	0	0	33	9
0	0	0	0	0	12	0	0	36	9
0	0	0	0	0	12	0	0	37	9
18	0	0	0	0	0	0	0	38	9
0	12	0	0	0	0	0	0	39	9
