CRUK0352_SU_FLN1	CRUK0352_SU_T1.R1	CRUK0352_SU_T1.R2	CRUK0352_SU_T1.R3	CRUK0352_SU_T1.R4	CRUK0352_SU_T1.R5	CRUK0352_SU_T1.R6	CRUK0352_SU_T1.R7	clusterID	treeID
0	0	0	0	0	0	0	0	1	130
33	0	0	0	17	0	0	0	2	130
0	0	0	0	0	11.1111111111111	0	0	3	130
0	0	0	0	9	4.48484848484848	0	0	4	130
0	0	0	0	0	0	0	0	5	130
0	0	0	0	0	0	0	11.5044247787611	6	130
0	0	0	0	0	0	0	0	7	130
0	0	0	0	0	0	0	28	9	130
0	0	0	0	0	0	30	0	10	130
0	73	0	52	0	0	0	0	11	130
0	0	0	0	0	0	12.2857142857143	0	12	130
0	0	0	0	0	21	0	0	13	130
0	13.6071428571429	0	10.9565217391304	0	0	0	0	16	130
0	0	0	0	21.9491525423729	0	21	0	17	130
0	0	0	24	0	0	0	0	18	130
0	0	0	0	0	0	0	0	20	130
12.7037037037037	0	0	0	0	0	0	0	24	130
0	0	0	0	52.0508474576271	0	0	0	25	130
0	0	0	0	0	0	24.7142857142857	44.5862583275331	26	130
0	0	0	0	0	44	0	15.9093168937059	27	130
0	13.3928571428571	0	0	0	0	0	0	28	130
0	0	31	0	0	0	0	0	29	130
0	0	0	0	0	19	0	0	31	130
0	0	69	0	0	0	0	0	33	130
36.2962962962963	0	0	0	0	0	0	0	35	130
0	0	0	0	0	0	12	0	36	130
0	0	0	13.0434782608696	0	0	0	0	37	130
18	0	0	0	0	0.404040404040401	0	0	39	130
