CRUK0368_BR_T1.R1	CRUK0368_SU_FLN3	CRUK0368_SU_T1.R1	CRUK0368_SU_T1.R2	CRUK0368_SU_T1.R3	CRUK0368_SU_T1.R4	clusterID	treeID
0	0	0	0	0	24	1	1
0	0	100	0	0	0	2	1
54	42	0	0	0	44	3	1
0	0	0	0	0	25	4	1
0	0	0	9	0	0	5	1
46	0	0	0	0	0	7	1
0	46	0	0	0	0	9	1
0	0	0	0	10	0	11	1
0	12	0	57	25	7	12	1
0	0	0	0	51	0	13	1
0	0	0	23	0	0	14	1
0	0	0	11	0	0	16	1
0	0	0	0	14	0	17	1
0	0	0	0	0	0	1	2
0	0	100	0	0	0	2	2
54	42	0	0	0	43.2475247524752	3	2
0	0	0	0	0	24.7524752475248	4	2
0	0	0	9	0	0	5	2
46	0	0	0	0	0	7	2
0	46	0	0	0	0	9	2
0	0	0	0	10	0	11	2
0	12	0	57	25	32	12	2
0	0	0	0	51	0	13	2
0	0	0	23	0	0	14	2
0	0	0	11	0	0	16	2
0	0	0	0	14	0	17	2
0	0	0	0	0	24	1	3
0	0	100	0	0	0	2	3
54	42	0	0	0	19	3	3
0	0	0	0	0	25	4	3
0	0	0	9	0	0	5	3
46	0	0	0	0	0	7	3
0	46	0	0	0	0	9	3
0	0	0	0	10	0	11	3
0	12	0	57	25	32	12	3
0	0	0	0	51	0	13	3
0	0	0	23	0	0	14	3
0	0	0	11	0	0	16	3
0	0	0	0	14	0	17	3
