CRUK0369_SU_LN3	CRUK0369_SU_T1.R1	CRUK0369_SU_T1.R2	CRUK0369_SU_T1.R3	CRUK0369_SU_T1.R4	CRUK0369_SU_T1.R6	CRUK0369_SU_T1.R7	CRUK0369_SU_T1.R8	clusterID	treeID
0	0	0	0	0	0	0	0	1	1
0	61	0	0	0	0	0	0	2	1
0	0	0	0	0	0	0	0	3	1
0	0	0	0	0	0	0	0	4	1
0	0	0	0	0	0	0	0	5	1
33	0	0	0	0	0	0	0	6	1
0	39	0	0	0	0	0	0	7	1
0	0	0	0	0	0	0	0	9	1
0	0	0	0	0	21	0	0	10	1
0	0	0	25	0	0	0	0	11	1
67	0	0	0	0	0	0	0	12	1
0	0	0	0	0	0	82	0	13	1
0	0	0	0	0	0	18	0	14	1
0	0	0	0	0	0	0	14	15	1
0	0	2	0	0	0	0	0	18	1
0	0	0	14	0	0	0	0	20	1
0	0	15	0	0	0	0	0	22	1
0	0	0	0	0	0	0	10.8461538461538	23	1
0	0	0	0	12.3333333333333	0	0	0	24	1
0	0	0	0	0	0	0	9.61538461538461	25	1
0	0	0	0	0	0	0	13	27	1
0	0	0	0	0	43	0	0	29	1
0	0	0	0	0	36	0	0	30	1
0	0	0	14	0	0	0	0	31	1
0	0	0	0	29	0	0	0	32	1
0	0	0	0	20	0	0	0	33	1
0	0	0	0	14	0	0	0	34	1
0	0	17	0	0	0	0	0	35	1
0	0	0	0	0	0	0	19	37	1
0	0	13	0	0	0	0	0	38	1
0	0	0	0	18	0	0	0	39	1
0	0	3.75	0	6.66666666666667	0	0	0	41	1
0	0	0	0	0	0	0	11	42	1
0	0	0	0	0	0	0	16	43	1
0	0	0	47	0	0	0	0	44	1
0	0	26.25	0	0	0	0	0	45	1
0	0	23	0	0	0	0	0	46	1
0	0	0	0	0	0	0	6.53846153846155	47	1
