CRUK0410_BR_LN1	CRUK0410_SU_T1.R1	CRUK0410_SU_T1.R2	CRUK0410_SU_T1.R3	CRUK0410_SU_T1.R4	clusterID	treeID
0	0	100	0	0	1	1
0	0	0	0	0	2	1
0	0	0	29	0	3	1
0	0	0	0	38	4	1
0	0	0	13.1957643225631	0	5	1
0	0	0	8.06407819712191	2	6	1
0	0	0	49.740157480315	0	7	1
19	0	0	0	0	9	1
0	14	0	0	0	11	1
81	0	0	0	0	12	1
0	41	0	0	0	13	1
0	0	0	0	60	14	1
0	17	0	0	0	15	1
0	0	0	0	0	16	1
0	28	0	0	0	17	1
0	0	100	0	0	1	3
0	0	0	0	0	2	3
0	0	0	29	0	3	3
0	0	0	0	38	4	3
0	0	0	13.1957643225631	0	5	3
0	0	0	8.06407819712191	40	6	3
0	0	0	49.740157480315	0	7	3
19	0	0	0	0	9	3
0	14	0	0	0	11	3
81	0	0	0	0	12	3
0	41	0	0	0	13	3
0	0	0	0	22	14	3
0	17	0	0	0	15	3
0	0	0	0	0	16	3
0	28	0	0	0	17	3
