CRUK0415_SU_FLN2	CRUK0415_SU_FLN4	CRUK0415_SU_T1.R1	CRUK0415_SU_T1.R2	CRUK0415_SU_T1.R3	CRUK0415_SU_T1.R4	CRUK0415_SU_T1.R5	clusterID	treeID
0	3	0	0	0	0	0	1	3
19	0	15.4128440366972	0	0	0	100	2	3
0	2	0	30	0	0	0	3	3
10	0	32.5871559633027	0	0	0	0	5	3
0	0	0	0	0	0	0	6	3
0	19.5051546391753	0	0	0	0	0	7	3
0	0	0	57	0	0	0	8	3
0	0	0	0	0	67	0	9	3
0	0	0	0	53.6451612903226	0	0	10	3
0	0	52	0	0	0	0	11	3
0	0	0	0	0	0	0	12	3
18	0	0	0	0	0	0	13	3
0	0	0	13	0	0	0	14	3
0	0	0	0	27	0	0	15	3
0	9	0	0	0	0	0	16	3
0	66.4948453608247	0	0	0	0	0	17	3
0	0	0	0	0	33	0	18	3
15	0	0	0	0	0	0	19	3
38	0	0	0	19.3548387096774	0	0	20	3
