CRUK0468_SU_FLN1	CRUK0468_SU_LN1	CRUK0468_SU_T1.R1	CRUK0468_SU_T1.R2	CRUK0468_SU_T1.R3	CRUK0468_SU_T1.R4	CRUK0468_SU_T1.R5	CRUK0468_SU_T1.R6	CRUK0468_SU_T1.R7	CRUK0468_SU_T1.R8	clusterID	treeID
0	0	0	0	0	0	0	0	0	0	1	1
0	0	0	0	0	64	0	0	0	0	2	1
0	0	0	0	0	0	0	25	0	0	3	1
0	0	0	0	0	0	26	0	0	0	4	1
0	0	0	0	0	0	50	0	0	0	5	1
0	0	0	0	32	0	0	0	0	0	6	1
0	0	0	0	0	0	0	0	0	0	7	1
0	0	0	0	0	0	0	0	57	65	8	1
49	0	0	0	0	0	0	0	0	0	9	1
0	0	0	0	0	0	0	0	0	0	10	1
0	0	0	0	0	0	0	0	0	0	11	1
0	0	0	0	0	0	0	25	0	0	12	1
0	0	0	100	0	0	0	0	0	0	13	1
0	0	15	0	0	0	0	0	0	0	14	1
0	0	0	0	0	0	0	30	0	0	15	1
0	0	11.4285714285714	0	0	0	0	0	0	0	16	1
0	0	0	0	0	0	0	0	0	35	17	1
0	0	22	0	0	0	0	0	0	0	18	1
0	0	0	0	0	0	7	0	0	0	19	1
0	0	0	0	0	0	0	20	0	0	21	1
0	0	13.5714285714286	0	0	0	0	0	0	0	22	1
0	0	38	0	0	0	0	0	0	0	23	1
51	100	0	0	0	0	0	0	0	0	26	1
0	0	0	0	68	0	0	0	0	0	27	1
0	0	0	0	0	0	0	0	43	0	28	1
0	0	0	0	0	0	17	0	0	0	29	1
0	0	0	0	0	36	0	0	0	0	30	1
