CRUK0472_BR_T1.R1	CRUK0472_SU_FLN1	CRUK0472_SU_T1.R1	CRUK0472_SU_T1.R2	CRUK0472_SU_T1.R3	clusterID	treeID
0	0	0	0	0	1	1
39	0	0	0	0	2	1
0	0	13	0	0	3	1
0	0	15	0	0	4	1
0	0	0	23	0	5	1
19	0	0	0	0	6	1
0	24	0	0	0	7	1
20	0	0	0	0	8	1
0	0	0	0	39	9	1
0	0	0	9	43	10	1
0	0	0	11	0	12	1
0	13	0	0	0	13	1
0	0	12.280701754386	0	0	14	1
0	0	0	46	0	15	1
10	0	0	0	0	18	1
12	0	0	0	0	19	1
0	0	18.719298245614	0	0	20	1
0	63	0	0	0	21	1
0	0	0	0	8	22	1
0	0	0	0	10	23	1
0	0	13	0	0	24	1
0	0	0	11	0	25	1
0	0	28	0	0	27	1
0	0	0	0	0	1	6
39	0	0	0	0	2	6
0	0	13	0	0	3	6
0	0	15	0	0	4	6
0	0	0	23	0	5	6
19	0	0	0	0	6	6
0	24	0	0	0	7	6
20	0	0	0	0	8	6
0	0	0	0	39	9	6
0	0	0	54	43	10	6
0	0	0	11	0	12	6
0	13	0	0	0	13	6
0	0	12.280701754386	0	0	14	6
0	0	0	1	0	15	6
10	0	0	0	0	18	6
12	0	0	0	0	19	6
0	0	18.719298245614	0	0	20	6
0	63	0	0	0	21	6
0	0	0	0	8	22	6
0	0	0	0	10	23	6
0	0	13	0	0	24	6
0	0	0	11	0	25	6
0	0	28	0	0	27	6
